keyword,doc_freq,total_freq,tfidf
util,28,47490,0.02
data,26,61409,0.04
utils,22,36426,0.02
factory,20,33100,0.02
query,19,79643,0.19
exception,19,54325,0.03
type,19,43516,0.03
client,17,50881,0.08
service,17,59563,0.05
impl,16,76711,0.07
filter,16,34342,0.04
manager,15,32029,0.04
table,14,18044,0.04
model,14,42967,0.03
node,14,74300,0.12
config,13,42672,0.04
server,12,48712,0.07
api,12,37486,0.05
core,12,44642,0.07
file,12,22703,0.02
index,12,27461,0.07
source,12,16001,0.03
event,11,34789,0.04
resource,11,26448,0.06
stream,11,14920,0.03
cache,11,35929,0.07
handler,11,38569,0.04
result,10,25190,0.04
storage,10,19596,0.06
store,10,25359,0.06
array,10,9018,0.02
time,10,9111,0.02
metadata,9,28524,0.1
context,9,24244,0.04
input,9,14950,0.03
map,9,18270,0.03
kafka,9,8035,0.04
provider,9,19963,0.03
reader,9,10355,0.02
function,9,18288,0.04
user,8,10345,0.02
key,8,14290,0.03
engine,8,7561,0.02
record,8,10651,0.03
builder,8,25254,0.04
tree,8,15370,0.03
hive,7,14799,0.11
example,7,6712,0.01
operator,7,40876,0.19
value,7,13288,0.02
state,7,25080,0.05
serializer,7,15512,0.05
parser,7,22520,0.03
json,7,13139,0.02
task,7,26881,0.04
metric,7,8473,0.04
jdbc,6,8556,0.04
set,6,10064,0.02
stats,6,10244,0.03
random,6,2290,0.01
test,6,8127,0.01
output,6,14478,0.03
meta,6,8443,0.03
iterator,6,22383,0.07
security,6,10596,0.03
cluster,6,72563,0.28
job,6,12741,0.05
common,6,11481,0.02
sql,6,32529,0.1
container,6,18349,0.06
message,6,16047,0.03
object,6,13323,0.02
info,6,19686,0.02
group,6,17391,0.04
sink,6,5272,0.03
field,6,10111,0.03
spark,5,6746,0.04
metrics,5,11026,0.04
base,5,14974,0.02
window,5,6793,0.02
application,5,6671,0.01
benchmark,5,6794,0.03
instance,5,10483,0.04
plugin,5,4840,0.01
response,5,14508,0.03
request,5,21559,0.03
processor,5,10750,0.02
executor,5,13809,0.04
column,5,10194,0.05
dataset,5,8849,0.05
operation,5,17174,0.05
converter,5,23449,0.05
connector,5,11085,0.05
date,5,6475,0.02
expression,5,15669,0.05
scheduler,4,5641,0.02
regression,4,4583,0.03
connection,4,11106,0.03
range,4,9181,0.03
examples,4,3717,0.02
writer,4,5691,0.01
format,4,3555,0.01
aggregator,4,9444,0.06
hash,4,7031,0.03
hbase,4,4669,0.04
entry,4,23616,0.06
list,4,13516,0.01
buffer,4,3493,0.01
entity,4,13312,0.03
helper,4,13460,0.02
configuration,4,12716,0.02
page,4,3855,0.01
controller,4,19413,0.03
rule,4,2634,0.01
aggregation,4,10433,0.06
component,4,13045,0.03
types,4,6227,0.02
local,4,11259,0.03
execution,4,12350,0.04
plan,4,7559,0.04
operators,4,1988,0.01
system,4,12514,0.04
app,4,4026,0.01
streaming,4,2570,0.02
strategy,4,8227,0.02
listener,4,14824,0.02
schema,4,11715,0.05
rest,4,8176,0.02
error,3,7847,0.01
cli,3,5671,0.02
collection,3,3803,0.01
join,3,6284,0.03
count,3,6028,0.03
read,3,6417,0.03
filters,3,6867,0.03
word,3,1195,0.01
reduce,3,1589,0.01
histogram,3,451,0.0
generator,3,8381,0.02
pool,3,5695,0.02
internal,3,8693,0.02
constants,3,7450,0.01
proxy,3,14465,0.04
domain,3,8442,0.02
chart,3,3350,0.02
repository,3,6484,0.02
consumer,3,3961,0.02
role,3,2885,0.01
dao,3,7419,0.02
thread,3,7090,0.02
zookeeper,3,5171,0.04
simple,3,5708,0.01
with,3,2655,0.01
udf,3,8505,0.07
actor,3,2775,0.02
mapper,3,7308,0.02
java,3,2696,0.01
access,3,3819,0.01
space,3,75888,0.39
operations,3,11065,0.05
bean,3,16423,0.05
yarn,3,7032,0.06
network,3,6432,0.02
text,3,4518,0.01
planner,3,7862,0.06
spi,3,8920,0.05
block,3,7268,0.02
cassandra,3,12263,0.07
tuple,3,9784,0.05
webapp,3,5634,0.05
predicate,3,9501,0.04
counter,3,2494,0.01
report,3,1551,0.01
grouping,3,1461,0.01
module,3,4484,0.01
graph,3,10492,0.04
commons,3,7354,0.04
tools,3,13010,0.04
action,3,11289,0.02
document,3,9767,0.04
resources,3,8766,0.03
flink,3,4184,0.04
hdfs,3,2869,0.02
reporter,3,1978,0.01
distribution,3,2369,0.01
registry,3,10587,0.04
parse,2,9244,0.03
algo,2,5174,0.04
session,2,5730,0.02
metastore,2,1776,0.02
save,2,1315,0.01
events,2,5405,0.01
lib,2,8363,0.03
partition,2,5982,0.04
log,2,16578,0.03
mapreduce,2,1604,0.02
ingest,2,5197,0.04
shard,2,3772,0.03
batch,2,5877,0.03
chunk,2,1213,0.01
redis,2,2716,0.01
misc,2,1962,0.01
port,2,3761,0.02
sum,2,3405,0.02
condition,2,2377,0.01
string,2,6038,0.01
benchmarks,2,902,0.01
heap,2,1896,0.01
non,2,1534,0.01
unsafe,2,363,0.0
algorithm,2,569,0.0
workflow,2,13939,0.08
process,2,8184,0.02
notification,2,5716,0.02
channel,2,4489,0.02
policy,2,7445,0.04
replication,2,31553,0.23
spec,2,1137,0.01
exceptions,2,3805,0.01
widget,2,1883,0.01
datasource,2,4096,0.03
validation,2,5877,0.02
jvm,2,2776,0.02
sort,2,2445,0.01
hadoop,2,2090,0.02
concurrent,2,5141,0.03
multi,2,8626,0.03
worker,2,5519,0.02
creator,2,2914,0.01
score,2,938,0.01
master,2,2426,0.01
basic,2,3212,0.01
conf,2,2499,0.01
wrapper,2,4064,0.01
fixed,2,2293,0.01
csv,2,2752,0.01
from,2,1233,0.01
sub,2,2078,0.01
packet,2,12911,0.06
transaction,2,14174,0.06
sync,2,11148,0.05
flow,2,7106,0.03
template,2,10814,0.03
credential,2,4971,0.03
aws,2,3491,0.02
objects,2,1959,0.01
name,2,4983,0.01
strings,2,155,0.0
regex,2,2375,0.01
files,2,251,0.0
code,2,7151,0.02
orc,2,4576,0.04
handle,2,5229,0.03
raptor,2,4278,0.04
split,2,6380,0.03
scalar,2,3086,0.03
tpch,2,2676,0.03
annotation,2,4126,0.01
web,2,3101,0.01
attribute,2,3076,0.01
ops,2,572,0.0
vector,2,582,0.0
indexed,2,725,0.01
search,2,2833,0.01
analysis,2,750,0.0
hazelcast,2,13249,0.11
http,2,3063,0.01
series,2,471,0.0
xml,2,9227,0.02
transform,2,4182,0.02
runner,2,4167,0.01
transport,2,3828,0.02
element,2,2145,0.01
datasets,2,2106,0.02
sequence,2,2484,0.01
write,2,4230,0.02
engines,2,9872,0.08
services,2,7097,0.02
statement,2,3821,0.02
components,2,2117,0.01
socket,2,3499,0.01
listeners,2,2737,0.01
dialog,2,3382,0.01
property,2,7679,0.02
tracking,2,4290,0.03
utility,2,2051,0.01
aggregators,2,4970,0.04
visitor,2,7097,0.03
edge,2,6229,0.03
parquet,2,2246,0.03
loader,2,8979,0.02
collector,2,1883,0.01
windowing,2,1068,0.01
trigger,2,3362,0.02
managed,2,2903,0.02
management,2,6551,0.04
aggregate,2,3219,0.02
phoenix,2,1602,0.02
net,2,355,0.0
monitoring,2,6150,0.04
messaging,2,3116,0.02
monitor,2,6682,0.03
item,2,3636,0.01
parameter,2,3777,0.01
path,2,4895,0.01
partitioner,2,4563,0.04
gui,2,4493,0.02
cube,1,6982,0.05
lens,1,4482,0.04
driver,1,7587,0.03
commands,1,4212,0.01
cost,1,1172,0.01
resolver,1,4495,0.02
collect,1,1017,0.01
formatter,1,2097,0.01
filedata,1,208,0.0
bloom,1,557,0.01
bulk,1,3762,0.03
dirlist,1,104,0.0
combiner,1,637,0.01
opts,1,98,0.0
constraints,1,1246,0.01
scanner,1,3240,0.01
sample,1,1377,0.0
helloworld,1,178,0.0
row,1,3153,0.01
required,1,520,0.0
gram,1,456,0.0
isolation,1,269,0.0
interference,1,26,0.0
unique,1,2203,0.02
columns,1,537,0.0
counting,1,580,0.01
verifying,1,146,0.0
receiver,1,843,0.0
character,1,244,0.0
tera,1,48,0.0
malhar,1,9748,0.14
math,1,6163,0.02
appdata,1,2876,0.03
contrib,1,2391,0.02
streamquery,1,2246,0.03
val,1,1991,0.02
testbench,1,1976,0.03
serde,1,3171,0.03
dimensions,1,1370,0.01
single,1,8792,0.03
logs,1,1194,0.01
unifier,1,1368,0.02
schemas,1,1046,0.01
pojo,1,3885,0.02
memory,1,5851,0.02
halo,1,117,0.0
off,1,2374,0.02
allocator,1,577,0.01
uns,1,57,0.0
segment,1,1278,0.01
linked,1,296,0.0
entries,1,3727,0.03
tombstone,1,30,0.0
histo,1,26,0.0
estimated,1,183,0.0
jna,1,19,0.0
ext,1,773,0.0
hasher,1,61,0.0
options,1,1148,0.0
compaction,1,334,0.0
oozie,1,2253,0.03
rerun,1,2006,0.03
feed,1,1700,0.01
falcon,1,1589,0.02
designer,1,1165,0.01
lineage,1,651,0.01
extension,1,5120,0.02
extensions,1,771,0.0
catalog,1,1731,0.01
helpers,1,712,0.0
druid,1,1929,0.02
workbook,1,1047,0.01
dataprep,1,955,0.01
configurations,1,1056,0.01
shaker,1,832,0.01
prep,1,880,0.01
teddy,1,594,0.01
ingestion,1,577,0.01
notebook,1,408,0.01
workspace,1,1493,0.01
workbench,1,372,0.0
preparation,1,345,0.0
queries,1,917,0.01
algorithms,1,3918,0.03
leetcode,1,1356,0.01
solution,1,1203,0.01
curator,1,1106,0.01
snmp,1,974,0.01
html,1,1342,0.0
producer,1,2677,0.01
reverse,1,763,0.01
rpc,1,849,0.0
spring,1,1184,0.0
camel,1,546,0.0
nio,1,7718,0.05
number,1,3110,0.01
lock,1,3962,0.02
classloader,1,1261,0.01
red,1,377,0.0
black,1,607,0.0
prop,1,476,0.0
dtrain,1,6855,0.07
pmml,1,2878,0.03
binning,1,2835,0.03
obj,1,3013,0.02
train,1,1532,0.01
dvarsel,1,1328,0.01
var,1,1717,0.01
eval,1,1062,0.01
layer,1,1088,0.0
wdl,1,911,0.01
correlation,1,900,0.01
update,1,7483,0.02
varselect,1,668,0.01
sel,1,614,0.01
shifu,1,605,0.01
reducer,1,1751,0.01
norm,1,554,0.0
weight,1,1496,0.01
bigsorter,1,289,0.0
lines,1,69,0.0
line,1,1980,0.01
size,1,1115,0.0
sorter,1,76,0.0
delimiter,1,164,0.0
closing,1,16,0.0
groups,1,9749,0.06
packets,1,8161,0.06
async,1,13246,0.05
backlog,1,10953,0.13
spaceproxy,1,9766,0.11
spaces,1,1736,0.02
blob,1,8831,0.06
replica,1,8558,0.09
cloud,1,21505,0.12
stack,1,15933,0.08
orchestrator,1,4848,0.04
endpoint,1,7127,0.03
platform,1,4556,0.02
reactor,1,3964,0.03
stacks,1,1251,0.01
ambari,1,3809,0.05
azure,1,3605,0.04
view,1,8229,0.01
status,1,9052,0.02
gcp,1,2760,0.03
blueprint,1,2601,0.03
termination,1,2271,0.03
cloudbreak,1,2209,0.03
shell,1,2365,0.01
unit,1,6766,0.03
mock,1,2376,0.01
abstraction,1,535,0.01
seq,1,260,0.0
networking,1,221,0.0
financial,1,217,0.0
celebrities,1,200,0.0
address,1,1367,0.01
