keyword,doc_freq,total_freq,tfidf
adapter,7,518,0.01
data,7,11614,0.06
utils,6,1451,0.0
listener,6,459,0.0
app,6,362,0.0
service,6,1370,0.01
filter,6,3157,0.03
fragment,5,549,0.01
activity,5,316,0.0
view,5,5127,0.04
impl,5,14416,0.09
api,5,490,0.0
core,5,4046,0.04
wallpaper,4,988,0.09
fragments,4,477,0.01
activities,4,265,0.01
adapters,4,364,0.01
callback,4,287,0.01
about,4,151,0.0
settings,4,1768,0.03
report,4,241,0.01
provider,4,4588,0.04
client,4,11844,0.13
manager,4,1311,0.01
board,3,1692,0.07
helpers,3,409,0.01
helper,3,532,0.01
items,3,288,0.01
tasks,3,70,0.0
task,3,146,0.0
listeners,3,130,0.0
wallpapers,3,84,0.01
muzei,3,86,0.01
billing,3,125,0.01
configuration,3,374,0.0
splash,3,116,0.0
services,3,492,0.01
loader,3,200,0.0
preferences,3,67,0.0
license,3,53,0.0
rest,3,1100,0.02
handler,3,1131,0.01
request,3,454,0.01
exception,3,1072,0.0
model,3,5449,0.02
dialog,3,2359,0.04
list,3,1997,0.01
resources,3,1813,0.05
resource,3,1015,0.02
json,3,1701,0.02
status,3,233,0.0
application,3,244,0.0
chart,3,3521,0.11
search,3,1435,0.02
dialogs,2,80,0.0
applications,2,39,0.0
callbacks,2,21,0.0
favorites,2,20,0.0
category,2,52,0.0
licenses,2,27,0.0
languages,2,30,0.0
credits,2,44,0.0
local,2,48,0.0
crash,2,36,0.0
refresh,2,254,0.01
duration,2,24,0.0
prometheus,2,47,0.0
base,2,143,0.0
tracker,2,22,0.0
aggregator,2,56,0.0
emitter,2,19,0.0
receiver,2,41,0.0
factory,2,1450,0.01
collector,2,19,0.0
components,2,7030,0.19
actions,2,5648,0.13
card,2,3146,0.11
models,2,2094,0.04
action,2,838,0.01
component,2,822,0.01
editor,2,8272,0.21
dao,2,1388,0.03
server,2,1217,0.01
cache,2,1395,0.02
file,2,1137,0.01
storage,2,1173,0.02
sql,2,2451,0.05
function,2,1885,0.03
engine,2,3205,0.06
tag,2,157,0.0
reader,2,504,0.01
single,2,121,0.0
index,2,1690,0.03
push,2,141,0.0
event,2,2590,0.02
util,2,773,0.0
user,2,188,0.0
controller,2,343,0.0
google,2,2050,0.07
type,2,1620,0.01
csv,2,1187,0.03
exceptions,2,407,0.01
test,2,208,0.0
device,2,31,0.0
sample,1,16,0.0
details,1,284,0.01
screen,1,468,0.01
backup,1,20,0.0
popup,1,103,0.01
agent,1,176,0.0
instrument,1,134,0.01
javametrics,1,129,0.01
web,1,563,0.01
spring,1,75,0.0
dataproviders,1,78,0.01
metrics,1,288,0.01
http,1,176,0.0
bucket,1,57,0.0
analysis,1,33,0.0
servlet,1,47,0.0
topic,1,32,0.0
codewind,1,30,0.0
socket,1,27,0.0
environment,1,25,0.0
context,1,376,0.0
endpoint,1,29,0.0
cpu,1,16,0.0
advice,1,16,0.0
memory,1,313,0.01
pool,1,669,0.01
call,1,31,0.0
back,1,82,0.0
transformer,1,16,0.0
configurer,1,76,0.0
string,1,282,0.0
array,1,170,0.0
java,1,62,0.0
processor,1,143,0.0
mtg,1,4752,0.48
panel,1,4553,0.1
magic,1,4125,0.26
cards,1,2650,0.16
renderer,1,3662,0.08
deck,1,2758,0.21
beans,1,2711,0.11
export,1,2286,0.07
exports,1,1867,0.16
gui,1,2480,0.06
table,1,2889,0.04
dashlet,1,1531,0.13
pictures,1,1304,0.1
pricers,1,1020,0.1
providers,1,631,0.02
pricer,1,958,0.08
sniffer,1,960,0.08
stock,1,929,0.05
turns,1,860,0.09
price,1,742,0.03
charts,1,968,0.05
network,1,882,0.01
decksniffer,1,842,0.08
phase,1,791,0.06
abilities,1,730,0.05
prices,1,539,0.04
cell,1,686,0.02
game,1,645,0.02
collection,1,769,0.02
edition,1,500,0.04
dash,1,587,0.05
functions,1,266,0.01
compression,1,329,0.02
cluster,1,402,0.01
predicates,1,195,0.01
predicate,1,199,0.01
gorilla,1,209,0.01
operators,1,151,0.01
aggregators,1,150,0.01
windowed,1,154,0.01
calcite,1,267,0.02
mem,1,231,0.01
sidewinder,1,137,0.01
grafana,1,129,0.01
writer,1,186,0.0
operator,1,85,0.0
equals,1,113,0.01
series,1,223,0.01
disk,1,127,0.01
routing,1,112,0.01
than,1,108,0.01
filters,1,157,0.0
byzantine,1,95,0.01
rpc,1,87,0.0
measurement,1,75,0.0
point,1,223,0.0
time,1,556,0.01
archiver,1,70,0.0
not,1,283,0.0
influx,1,66,0.0
value,1,478,0.01
bit,1,69,0.0
ops,1,60,0.0
gitlabpanorama,1,374,0.04
gitlab,1,128,0.01
webhook,1,96,0.01
state,1,151,0.0
pipeline,1,40,0.0
initialization,1,40,0.0
project,1,16,0.0
ccmenu,1,16,0.0
fullstate,1,16,0.0
html,1,118,0.0
branch,1,16,0.0
instant,1,129,0.01
pipelines,1,8,0.0
initializer,1,26,0.0
bashboard,1,8,0.0
shell,1,9,0.0
root,1,16,0.0
pair,1,23,0.0
reflection,1,31,0.0
exporter,1,62,0.0
matcher,1,16,0.0
deserializer,1,86,0.0
mapper,1,37,0.0
deleted,1,103,0.01
clean,1,89,0.01
set,1,9763,0.13
widgets,1,5351,0.19
def,1,5368,0.23
displayer,1,3373,0.3
dataset,1,2839,0.1
builder,1,2856,0.03
group,1,1799,0.03
widget,1,652,0.02
backend,1,1695,0.06
chartjs,1,1614,0.14
validator,1,1668,0.04
attributes,1,1437,0.04
lib,1,1416,0.04
events,1,1001,0.02
column,1,1323,0.04
constraints,1,1273,0.07
defs,1,506,0.03
interval,1,1222,0.05
constants,1,1292,0.02
validation,1,1235,0.03
elasticsearch,1,1115,0.06
date,1,1040,0.02
lienzo,1,912,0.08
gallery,1,883,0.05
editors,1,208,0.01
selector,1,754,0.02
managed,1,723,0.04
utility,1,719,0.02
framework,1,555,0.02
jaxb,1,462,0.02
rule,1,368,0.01
connection,1,402,0.01
rules,1,263,0.01
management,1,387,0.02
source,1,584,0.01
jdbc,1,326,0.01
delete,1,335,0.01
efwd,1,266,0.02
resourceloader,1,262,0.02
xml,1,444,0.01
efw,1,243,0.02
authentication,1,213,0.01
security,1,277,0.01
operation,1,184,0.0
global,1,165,0.01
query,1,512,0.01
cas,1,165,0.01
role,1,135,0.0
hwf,1,135,0.01
objects,1,677,0.02
droplet,1,111,0.01
common,1,468,0.01
image,1,929,0.01
statistics,1,60,0.0
size,1,509,0.01
select,1,76,0.0
domain,1,38,0.0
droplets,1,24,0.0
floating,1,36,0.0
digital,1,36,0.0
ocean,1,36,0.0
volume,1,28,0.0
center,1,29,0.0
rate,1,24,0.0
limit,1,39,0.0
serializer,1,104,0.0
account,1,48,0.0
detail,1,207,0.01
object,1,192,0.0
create,1,307,0.01
images,1,212,0.01
mockapi,1,16,0.0
mock,1,16,0.0
sizes,1,12,0.0
domains,1,12,0.0
tags,1,154,0.01
credit,1,91,0.0
views,1,32,0.0
databases,1,30,0.0
database,1,114,0.0
candybar,1,1130,0.11
dashboard,1,1881,0.07
transition,1,117,0.0
candy,1,116,0.01
bar,1,705,0.02
licensing,1,116,0.01
vending,1,110,0.01
icons,1,71,0.0
launcher,1,143,0.01
intent,1,50,0.0
icon,1,257,0.01
home,1,288,0.01
changelog,1,26,0.0
config,1,297,0.0
exit,1,34,0.0
sensor,1,30,0.0
messaging,1,30,0.0
visualization,1,24,0.0
message,1,98,0.0
update,1,73,0.0
sensors,1,9,0.0
get,1,280,0.0
response,1,560,0.01
reachability,1,6,0.0
phone,1,6,0.0
logging,1,8,0.0
wear,1,6,0.0
checker,1,227,0.01
node,1,391,0.0
selected,1,143,0.01
available,1,33,0.0
path,1,184,0.0
selection,1,281,0.01
updated,1,18,0.0
messenger,1,3,0.0
mobile,1,3,0.0
unit,1,7,0.0
changed,1,375,0.01
ping,1,10,0.0
line,1,384,0.01
