keyword,doc_freq,total_freq,tfidf
model,11,21344,0.04
chat,10,7149,0.1
user,9,3674,0.02
message,9,6151,0.03
service,8,5373,0.01
bot,8,2620,0.04
adapter,8,3985,0.02
response,8,33931,0.17
exception,7,1602,0.0
api,7,19654,0.08
type,7,4647,0.01
group,6,4037,0.03
listener,6,2374,0.01
activity,6,2133,0.01
handler,6,10687,0.03
file,6,2321,0.0
utils,6,1452,0.0
command,6,1441,0.01
list,6,4419,0.01
impl,5,6869,0.02
config,5,3186,0.01
data,5,5562,0.01
info,5,2810,0.01
configuration,4,1392,0.01
parser,4,1434,0.01
client,4,2591,0.01
test,4,1252,0.0
view,4,4884,0.01
event,4,12298,0.04
comment,4,1404,0.02
notification,4,1247,0.01
reply,4,732,0.01
click,4,692,0.01
text,4,1411,0.01
button,4,571,0.01
example,4,140,0.0
app,4,11402,0.05
element,4,2618,0.02
request,4,28896,0.13
commands,4,1485,0.01
category,4,778,0.01
action,4,1084,0.01
channel,4,3860,0.04
repository,4,3707,0.03
token,3,404,0.0
store,3,5800,0.04
conversation,3,7672,0.15
provider,3,1507,0.01
http,3,1793,0.01
resource,3,1722,0.01
util,3,3662,0.0
base,3,1505,0.0
room,3,653,0.01
item,3,1036,0.0
account,3,759,0.01
helper,3,519,0.0
builder,3,642,0.0
main,3,161,0.0
splash,3,96,0.0
instrumented,3,136,0.0
attachment,3,800,0.02
payload,3,9650,0.13
manager,3,919,0.0
learn,3,116,0.0
name,3,705,0.01
method,3,653,0.0
set,3,2533,0.01
java,3,86,0.0
map,3,177,0.0
string,3,157,0.0
auto,3,490,0.0
facebook,3,221,0.01
search,3,2147,0.01
json,3,1028,0.0
auth,3,2751,0.02
add,3,1410,0.01
xml,3,3658,0.02
entity,3,1742,0.01
context,3,2465,0.01
application,2,351,0.0
rest,2,10402,0.08
module,2,1621,0.01
internal,2,1331,0.01
engine,2,1004,0.01
factory,2,1782,0.0
bots,2,745,0.02
memory,2,765,0.01
task,2,2678,0.01
properties,2,516,0.0
nlp,2,5071,0.12
core,2,3630,0.02
presenter,2,655,0.01
fragment,2,1623,0.01
image,2,835,0.0
link,2,362,0.0
receiver,2,306,0.0
sync,2,446,0.01
wat,2,253,0.01
