keyword,doc_freq,total_freq,tfidf
service,23,68543,0.09
util,18,38252,0.02
config,17,29425,0.04
exception,17,31211,0.03
impl,16,40093,0.05
resource,15,22786,0.08
controller,15,31837,0.07
factory,14,13949,0.01
user,14,11353,0.03
api,13,44533,0.09
model,13,38780,0.04
utils,13,13879,0.01
task,12,24994,0.06
data,12,11436,0.01
request,12,17406,0.04
configuration,12,13898,0.03
base,11,8868,0.01
type,11,21521,0.02
rest,11,23721,0.09
client,10,12413,0.03
app,10,5302,0.01
manager,10,27066,0.04
provider,10,14225,0.03
event,10,20235,0.04
handler,10,19318,0.03
application,10,8105,0.01
security,10,9982,0.04
cloud,9,28503,0.23
auth,9,7118,0.03
response,9,8404,0.02
http,9,9235,0.02
group,8,12709,0.04
repository,8,13561,0.05
server,8,14530,0.03
instance,8,11443,0.06
context,8,12253,0.03
filter,7,9323,0.02
web,7,4985,0.01
cluster,7,27785,0.16
template,7,11217,0.05
token,6,4912,0.02
message,6,5880,0.02
file,6,8511,0.01
common,6,11466,0.03
key,6,6540,0.02
policy,6,14237,0.1
core,6,52629,0.12
node,6,16361,0.04
entity,6,57128,0.2
sql,5,2998,0.01
value,5,5501,0.01
authentication,5,2024,0.01
mapper,5,7171,0.03
dao,5,6164,0.02
services,5,6435,0.03
log,5,4800,0.01
command,5,4068,0.01
domain,5,16665,0.07
list,5,3987,0.01
ssh,5,11188,0.13
endpoint,5,6404,0.04
listener,5,5466,0.01
query,5,5954,0.02
internal,5,21875,0.08
dto,5,9085,0.05
property,5,12364,0.05
strategy,4,3741,0.01
test,4,10411,0.01
aws,4,7173,0.07
azure,4,7157,0.11
result,4,6045,0.01
persistence,4,3257,0.02
object,4,4534,0.01
bean,4,4051,0.02
converter,4,16657,0.06
builder,4,8572,0.02
operation,4,10144,0.05
store,4,11838,0.04
access,4,4201,0.02
validation,4,6870,0.04
network,4,5603,0.02
messaging,4,7965,0.08
driver,4,10007,0.07
state,4,12740,0.03
location,4,30113,0.17
auto,4,2185,0.01
resources,4,7485,0.04
plugin,3,3286,0.01
environment,3,3340,0.02
error,3,3611,0.01
expression,3,1280,0.01
credentials,3,2082,0.02
parser,3,6617,0.01
session,3,1093,0.0
source,3,1335,0.0
item,3,5519,0.01
formatter,3,595,0.0
get,3,2943,0.01
input,3,3314,0.01
cli,3,1377,0.01
path,3,1686,0.01
resolver,3,6150,0.03
notification,3,6828,0.04
metric,3,2237,0.02
flow,3,9640,0.06
json,3,8827,0.02
view,3,5975,0.01
status,3,6881,0.03
connector,3,2798,0.02
servlet,3,965,0.01
constants,3,4243,0.01
tags,3,1625,0.01
info,3,3115,0.01
jclouds,3,8689,0.14
database,3,3466,0.01
main,3,4137,0.01
helper,3,3395,0.01
preference,3,1758,0.01
search,3,3631,0.01
job,3,2297,0.01
dynamic,3,3619,0.02
annotation,3,2785,0.01
java,3,4392,0.02
transformer,3,4024,0.03
events,3,3677,0.01
catalog,3,10445,0.12
storage,3,6862,0.03
process,3,5124,0.02
variable,3,2766,0.02
module,3,688,0.0
