keyword,doc_freq,total_freq,tfidf
exception,11,3974,0.02
utils,8,8390,0.02
util,7,3298,0.01
file,6,1947,0.01
config,6,19119,0.11
object,6,474,0.0
string,6,590,0.01
property,5,2510,0.04
type,5,1369,0.01
configuration,5,1575,0.02
impl,5,3647,0.02
parser,5,1137,0.01
converter,5,4298,0.07
factory,5,1327,0.01
api,4,8169,0.08
internal,4,11196,0.18
value,4,1616,0.02
name,4,397,0.01
system,4,399,0.01
path,4,522,0.01
properties,4,662,0.01
bean,4,682,0.01
field,4,134,0.0
provider,4,634,0.01
manager,4,2305,0.02
builder,4,1146,0.01
array,4,302,0.0
integer,4,136,0.0
map,4,329,0.0
service,3,8503,0.05
context,3,928,0.01
date,3,173,0.0
naming,3,13844,0.69
source,3,1182,0.02
server,3,21770,0.2
info,3,1945,0.01
environment,3,219,0.01
not,3,427,0.01
core,3,9848,0.1
data,3,1270,0.01
json,3,1389,0.01
collection,3,232,0.01
yaml,3,307,0.01
annotation,3,836,0.01
conversion,3,909,0.03
loader,2,997,0.01
test,2,455,0.0
jndi,2,170,0.01
proxy,2,454,0.01
registrar,2,123,0.01
time,2,169,0.0
registry,2,423,0.01
mongo,2,304,0.01
event,2,2229,0.02
http,2,3265,0.04
listener,2,1692,0.01
list,2,685,0.0
repository,2,3889,0.07
token,2,704,0.01
resource,2,977,0.01
simple,2,438,0.0
injectable,2,53,0.0
stream,2,143,0.0
runtime,2,200,0.0
auth,2,4481,0.08
client,2,10659,0.11
common,2,6237,0.07
central,2,1394,0.11
operation,2,1304,0.03
cache,2,1235,0.02
change,2,1638,0.04
entry,2,785,0.01
request,2,3586,0.04
atomic,2,74,0.0
comment,2,136,0.0
section,2,63,0.0
memory,2,224,0.0
sql,2,163,0.0
processing,2,16,0.0
invalid,2,66,0.0
handler,2,1443,0.01
uuid,2,75,0.0
cached,2,82,0.0
cluster,2,1788,0.05
write,2,459,0.02
instance,2,910,0.02
remote,2,3259,0.09
access,2,117,0.0
xml,2,38,0.0
filter,2,1535,0.01
writer,2,504,0.01
node,2,753,0.01
convert,2,213,0.01
wrapper,2,461,0.01
generic,2,256,0.01
hocon,2,271,0.03
,2,176,
found,2,333,0.01
locale,2,73,0.0
task,2,2749,0.03
processor,2,2092,0.03
input,2,176,0.0
set,2,197,0.0
prop,1,439,0.02
load,1,551,0.01
and,1,641,0.01
how,1,335,0.03
std,1,332,0.02
sample,1,378,0.01
base,1,666,0.0
compile,1,302,0.01
values,1,178,0.01
valuetype,1,237,0.02
group,1,887,0.01
export,1,208,0.01
validator,1,275,0.01
problem,1,196,0.01
validated,1,161,0.01
valid,1,162,0.01
ext,1,149,0.0
with,1,288,0.0
printer,1,118,0.0
immutable,1,116,0.0
