keyword,doc_freq,total_freq,tfidf
exception,11,6304,0.01
storage,10,4854,0.05
file,10,6556,0.01
model,9,3980,0.01
key,9,4451,0.03
view,9,9064,0.03
impl,9,8267,0.02
utils,8,3729,0.01
activity,8,535,0.0
main,8,325,0.0
data,8,3941,0.01
list,8,1373,0.0
factory,8,3102,0.01
type,8,3137,0.01
client,7,11463,0.06
test,7,731,0.0
manager,7,6090,0.02
application,6,1786,0.01
get,6,3318,0.03
object,6,1652,0.01
util,6,3855,0.01
create,6,991,0.01
item,5,3190,0.02
api,5,2352,0.01
handler,5,3933,0.01
service,5,6874,0.02
app,5,789,0.0
info,5,2444,0.01
builder,5,2118,0.01
memory,4,78,0.0
base,4,663,0.0
store,4,1006,0.01
user,4,2352,0.01
server,4,3628,0.02
request,4,12942,0.07
configuration,4,1959,0.01
filter,4,5708,0.02
simple,4,223,0.0
listener,4,2776,0.01
value,4,2801,0.02
adapter,4,304,0.0
helper,4,822,0.0
entity,3,6060,0.05
block,3,683,0.01
setting,3,329,0.0
input,3,628,0.0
dao,3,1941,0.02
context,3,5656,0.03
unit,3,122,0.0
models,3,98,0.0
sample,3,7394,0.06
operation,3,1337,0.01
book,3,100,0.0
encryption,3,325,0.01
task,3,2039,0.01
node,3,12652,0.07
event,3,1795,0.01
text,3,1241,0.01
response,3,3543,0.02
array,3,2472,0.02
files,3,930,0.01
job,3,2569,0.03
controller,3,1062,0.0
error,3,1526,0.01
provider,3,480,0.0
string,3,863,0.0
name,3,2625,0.02
command,3,1511,0.01
misc,2,665,0.01
lock,2,676,0.01
network,2,589,0.0
items,2,87,0.0
proxy,2,787,0.01
content,2,2560,0.02
example,2,246,0.0
mock,2,46,0.0
component,2,387,0.0
realm,2,37,0.0
presenter,2,828,0.01
instrumented,2,5,0.0
converter,2,265,0.0
fragment,2,363,0.0
gson,2,26,0.0
access,2,485,0.01
wrapper,2,932,0.01
random,2,381,0.0
add,2,109,0.0
showcase,2,2648,0.07
cell,2,1302,0.02
shared,2,754,0.01
common,2,7257,0.04
mutable,2,690,0.01
core,2,2852,0.01
http,2,1211,0.01
status,2,2934,0.02
put,2,1366,0.03
pool,2,1211,0.01
callbacks,2,913,0.02
sort,2,191,0.0
mode,2,428,0.0
metadata,2,2596,0.03
cache,2,3327,0.02
resource,2,2934,0.02
source,2,1824,0.01
bean,2,1472,0.01
cipher,2,409,0.01
preferences,2,100,0.0
android,2,19,0.0
strategy,2,1118,0.01
directory,2,179,0.0
output,2,337,0.0
concurrent,2,990,0.02
aes,2,29,0.0
receiver,2,182,0.0
function,2,3900,0.02
immutable,2,3173,0.06
algorithm,2,1387,0.02
stream,2,1765,0.01
database,2,1364,0.01
bucket,2,286,0.01
preference,2,409,0.01
device,2,146,0.0
method,2,293,0.0
security,2,403,0.0
change,2,688,0.01
encrypt,2,14,0.0
mem,2,229,0.01
delete,2,304,0.0
download,2,191,0.0
reader,2,1325,0.01
local,2,811,0.01
not,2,478,0.0
already,2,37,0.0
exists,2,73,0.0
group,2,651,0.0
settings,2,74,0.0
open,2,404,0.0
bar,2,205,0.0
size,2,106,0.0
rename,2,36,0.0
update,2,520,0.0
archive,2,43,0.0
betterstorage,1,5621,0.26
tile,1,1641,0.03
inventory,1,708,0.01
recipe,1,640,0.02
cardboard,1,619,0.03
renderer,1,683,0.01
better,1,566,0.02
backpack,1,557,0.03
crate,1,544,0.03
crafting,1,541,0.02
addon,1,470,0.01
container,1,1222,0.01
attachment,1,428,0.01
thaumcraft,1,384,0.02
armor,1,354,0.01
stand,1,340,0.01
packet,1,337,0.0
gui,1,1010,0.01
station,1,407,0.01
config,1,1077,0.0
chest,1,201,0.01
locker,1,194,0.01
reinforced,1,156,0.01
lockable,1,160,0.01
enchantment,1,134,0.0
handlers,1,108,0.0
box,1,260,0.0
render,1,111,0.0
slot,1,246,0.01
pile,1,95,0.0
locking,1,92,0.0
keyring,1,87,0.0
injection,1,31,0.0
module,1,179,0.0
post,1,220,0.0
services,1,96,0.0
per,1,18,0.0
has,1,46,0.0
other,1,131,0.0
exceptions,1,405,0.0
unable,1,4,0.0
perform,1,4,0.0
person,1,319,0.01
paper,1,4,0.0
collection,1,210,0.0
buffer,1,212,0.0
converted,1,7,0.0
stored,1,7,0.0
record,1,869,0.01
mapped,1,4,0.0
edit,1,344,0.0
noodle,1,4,0.0
description,1,11,0.0
mobilewebapp,1,1828,0.06
ipfs,1,1698,0.05
tests,1,1496,0.02
dynatablerf,1,1262,0.04
hash,1,1533,0.02
constants,1,1736,0.01
erasure,1,824,0.03
asymmetric,1,833,0.03
qrcode,1,816,0.03
validation,1,975,0.01
widgets,1,665,0.01
multibase,1,733,0.03
decoder,1,714,0.01
mail,1,604,0.01
panel,1,689,0.01
mobile,1,560,0.01
galois,1,525,0.02
slow,1,514,0.01
lambdaworks,1,475,0.02
symmetric,1,480,0.01
srm,1,9768,0.45
space,1,3294,0.05
nfs,1,2032,0.09
permission,1,1613,0.02
xdr,1,1725,0.07
plugin,1,1476,0.01
scheduler,1,1887,0.03
copy,1,1078,0.02
map,1,1753,0.01
sql,1,1699,0.02
requests,1,155,0.0
meta,1,1223,0.01
unixfs,1,678,0.03
bring,1,669,0.03
online,1,669,0.02
dataaccess,1,640,0.02
plugins,1,422,0.01
reserve,1,612,0.03
authorization,1,648,0.01
release,1,578,0.02
events,1,561,0.0
observer,1,363,0.0
sorting,1,11,0.0
custom,1,170,0.0
optional,1,2,0.0
linkis,1,15860,0.64
label,1,3341,0.04
persistence,1,3200,0.04
cli,1,2929,0.03
annotation,1,2424,0.02
protocol,1,2631,0.03
entrance,1,2230,0.09
engine,1,2163,0.02
bml,1,1930,0.08
execution,1,1912,0.02
condition,1,1766,0.03
restful,1,1711,0.05
mdq,1,1340,0.05
domain,1,1644,0.01
parser,1,2273,0.01
interactor,1,1146,0.03
datasourcemanager,1,1072,0.04
message,1,1548,0.01
query,1,1477,0.01
udf,1,922,0.03
keystore,1,49,0.0
crypto,1,231,0.0
failed,1,232,0.01
serialization,1,813,0.01
serializer,1,1680,0.02
persistable,1,185,0.01
transaction,1,1278,0.02
fetch,1,63,0.0
binary,1,494,0.01
bridge,1,61,0.0
editor,1,208,0.0
executor,1,652,0.01
dump,1,32,0.0
set,1,663,0.0
integer,1,61,0.0
process,1,195,0.0
candidates,1,22,0.0
candidate,1,22,0.0
barrier,1,21,0.0
nio,1,27,0.0
future,1,302,0.01
scheduled,1,137,0.0
background,1,16,0.0
broadcast,1,97,0.0
firebase,1,51,0.0
cast,1,95,0.0
,1,380,
xml,1,13530,0.09
json,1,8616,0.04
xpath,1,5398,0.17
trx,1,5483,0.25
index,1,5386,0.04
axis,1,5504,0.1
path,1,4805,0.04
sunburst,1,3592,0.17
page,1,3389,0.03
cas,1,2295,0.06
expr,1,2220,0.05
sdb,1,1694,0.07
sirix,1,1699,0.08
diff,1,1666,0.03
functions,1,876,0.01
visitor,1,1647,0.02
fmse,1,1503,0.07
tree,1,2133,0.01
temporal,1,1399,0.03
shredder,1,1331,0.06
jaxrx,1,1170,0.05
scan,1,1006,0.02
read,1,1286,0.02
smallmultiple,1,936,0.04
hadoop,1,947,0.02
evaluator,1,861,0.01
usage,1,702,0.02
admin,1,696,0.01
rgw,1,75,0.0
credential,1,340,0.01
auth,1,542,0.0
sub,1,353,0.0
quota,1,222,0.01
entries,1,35,0.0
summary,1,1163,0.02
cap,1,88,0.0
swift,1,18,0.0
entities,1,178,0.0
components,1,80,0.0
generator,1,614,0.0
profile,1,135,0.0
room,1,82,0.0
junit,1,57,0.0
converters,1,58,0.0
annotated,1,42,0.0
field,1,203,0.0
pet,1,23,0.0
inject,1,48,0.0
processor,1,219,0.0
login,1,626,0.01
injector,1,21,0.0
runner,1,52,0.0
changed,1,102,0.0
encoder,1,460,0.01
cluster,1,353,0.0
promise,1,110,0.0
named,1,217,0.0
ledger,1,59,0.0
entry,1,487,0.0
filters,1,27,0.0
herd,1,28,0.0
keeper,1,28,0.0
blob,1,28,0.0
ensure,1,28,0.0
increment,1,28,0.0
accumulator,1,28,0.0
writer,1,909,0.01
buckets,1,12,0.0
location,1,142,0.0
runtime,1,171,0.0
handle,1,112,0.0
help,1,63,0.0
found,1,260,0.0
stat,1,66,0.0
options,1,15,0.0
prefix,1,12,0.0
fastselect,1,819,0.04
callback,1,498,0.0
demo,1,119,0.0
multi,1,478,0.01
compressed,1,66,0.0
fast,1,62,0.0
select,1,218,0.0
between,1,46,0.0
limit,1,65,0.0
like,1,42,0.0
jmx,1,37,0.0
count,1,470,0.01
layout,1,345,0.0
round,1,25,0.0
column,1,187,0.0
repository,1,367,0.0
meter,1,13,0.0
counter,1,106,0.0
special,1,43,0.0
comparator,1,339,0.0
range,1,307,0.0
multiple,1,27,0.0
saver,1,7,0.0
thread,1,62,0.0
save,1,11,0.0
load,1,157,0.0
zeros,1,4,0.0
bloom,1,1,0.0
and,1,347,0.0
direct,1,106,0.0
classes,1,202,0.0
showcaseview,1,185,0.01
activities,1,179,0.0
targets,1,79,0.0
ocr,1,84,0.0
abbyy,1,70,0.0
listview,1,60,0.0
dragsort,1,60,0.0
target,1,70,0.0
barcode,1,84,0.0
drag,1,45,0.0
reflector,1,40,0.0
snippet,1,36,0.0
bus,1,152,0.0
