keyword,doc_freq,total_freq,tfidf
demo,3,1368,0.09
main,3,339,0.01
impl,3,793,0.02
util,3,508,0.01
utils,3,226,0.0
event,3,2037,0.07
exception,3,423,0.01
file,2,628,0.01
builder,2,301,0.01
object,2,358,0.01
action,2,447,0.02
factory,2,540,0.01
model,2,573,0.01
base,2,176,0.0
property,2,275,0.02
converter,2,495,0.03
events,2,148,0.01
table,2,942,0.05
types,2,148,0.01
command,2,223,0.01
list,2,229,0.01
test,1,1739,0.04
javaprimer,1,1108,0.36
javase,1,668,0.21
code,1,666,0.04
src,1,506,0.15
itcast,1,503,0.16
thread,1,420,0.03
string,1,366,0.01
method,1,229,0.01
generic,1,209,0.02
reflect,1,199,0.03
fkjava,1,193,0.06
collection,1,204,0.02
javabook,1,197,0.06
annotation,1,187,0.01
dao,1,171,0.01
proxy,1,177,0.01
stream,1,153,0.01
socket,1,150,0.01
lambda,1,153,0.02
tcp,1,150,0.02
client,1,154,0.01
server,1,200,0.01
observer,1,136,0.01
template,1,133,0.01
javaenhance,1,132,0.04
lock,1,120,0.02
chain,1,116,0.01
designpattern,1,115,0.04
with,1,115,0.01
strategy,1,214,0.01
responsibility,1,116,0.04
filter,1,112,0.0
primer,1,112,0.04
udp,1,98,0.02
time,1,164,0.01
lang,1,87,0.01
firstssm,1,87,0.03
source,1,90,0.0
local,1,85,0.01
map,1,90,0.0
workflow,1,3824,0.58
skin,1,1136,0.23
node,1,745,0.03
flow,1,594,0.06
connection,1,533,0.03
window,1,545,0.05
connector,1,447,0.05
value,1,265,0.01
lookup,1,210,0.03
persistent,1,219,0.04
control,1,160,0.02
generator,1,240,0.01
result,1,187,0.01
pane,1,128,0.02
controller,1,165,0.01
icon,1,132,0.02
fxml,1,122,0.02
playground,1,103,0.02
visualization,1,78,0.01
request,1,99,0.0
layout,1,77,0.01
content,1,76,0.01
canvas,1,76,0.01
optimization,1,59,0.01
rule,1,59,0.0
storage,1,59,0.0
listener,1,120,0.0
selectable,1,57,0.01
thru,1,56,0.02
mouse,1,57,0.01
constants,1,66,0.0
scalable,1,45,0.01
compatibility,1,45,0.01
root,1,45,0.0
visible,1,42,0.01
title,1,42,0.01
state,1,102,0.0
bar,1,42,0.0
selected,1,39,0.01
incubating,1,39,0.01
roman,1,9,0.0
tdd,1,6,0.0
siriusxi,1,6,0.0
authc,1,252,0.07
databasetools,1,172,0.06
jdbc,1,189,0.02
dialogs,1,123,0.02
builders,1,90,0.01
info,1,144,0.0
dialog,1,52,0.0
message,1,76,0.0
box,1,79,0.01
manager,1,71,0.0
authz,1,63,0.02
type,1,134,0.0
account,1,102,0.01
user,1,104,0.0
login,1,88,0.01
database,1,36,0.0
permission,1,31,0.0
session,1,37,0.0
authentication,1,32,0.0
authorization,1,27,0.0
credentials,1,81,0.01
product,1,32,0.0
button,1,60,0.01
tools,1,24,0.0
password,1,25,0.0
role,1,24,0.0
simple,1,28,0.0
osinfo,1,18,0.01
messages,1,9,0.0
buttons,1,12,0.0
edition,1,14,0.0
ver,1,13,0.0
other,1,13,0.0
methods,1,13,0.0
suite,1,13,0.0
registry,1,60,0.01
misc,1,13,0.0
geryon,1,1,0.0
ambiguous,1,1,0.0
routing,1,1,0.0
initialization,1,1,0.0
lua,1,1681,0.35
classes,1,1635,0.26
spell,1,1045,0.25
module,1,943,0.05
nbt,1,865,0.2
processor,1,517,0.02
entity,1,504,0.03
block,1,461,0.04
function,1,461,0.02
api,1,437,0.02
wol,1,302,0.1
doc,1,284,0.04
item,1,269,0.01
wrapper,1,311,0.02
merger,1,256,0.06
resource,1,262,0.02
player,1,224,0.02
chunk,1,218,0.03
scheduling,1,218,0.04
searcher,1,185,0.03
extension,1,177,0.02
gist,1,175,0.04
named,1,170,0.03
config,1,168,0.0
view,1,161,0.0
loader,1,167,0.01
limit,1,136,0.02
print,1,198,0.03
generate,1,132,0.02
cursor,1,132,0.02
java,1,125,0.01
compiler,1,112,0.01
context,1,127,0.0
instance,1,111,0.01
patched,1,109,0.03
