keyword,doc_freq,total_freq,tfidf
user,5,3983,0.07
service,5,7140,0.07
impl,5,1658,0.02
exception,5,1609,0.01
controller,5,8293,0.14
model,4,1042,0.01
rest,4,1105,0.03
config,4,2443,0.02
web,4,765,0.02
file,3,442,0.0
factory,3,584,0.0
manager,3,575,0.01
data,3,2962,0.02
security,3,2152,0.07
dao,3,2831,0.08
search,3,1935,0.05
util,3,1471,0.01
resource,3,1187,0.03
handler,3,1089,0.01
utils,3,418,0.0
configuration,3,439,0.01
repository,3,1589,0.05
article,3,2808,0.22
comment,3,1345,0.08
blog,3,878,0.09
property,2,1013,0.03
content,2,1129,0.03
node,2,679,0.01
system,2,1093,0.04
servlet,2,1145,0.05
role,2,399,0.02
html,2,196,0.01
folder,2,1695,0.14
media,2,473,0.02
item,2,235,0.0
client,2,12431,0.22
common,2,4582,0.09
services,2,1929,0.07
template,2,597,0.02
details,2,650,0.03
authentication,2,1133,0.05
properties,2,805,0.02
task,2,438,0.01
server,2,779,0.01
dto,2,716,0.03
api,2,573,0.01
domain,2,766,0.02
page,2,1701,0.05
query,2,87,0.0
entity,2,301,0.01
code,2,1017,0.03
application,2,432,0.01
tag,2,1374,0.05
category,2,1049,0.06
custom,2,1491,0.04
editor,1,1611,0.07
table,1,340,0.01
tree,1,391,0.01
navigation,1,241,0.02
browser,1,152,0.01
flat,1,108,0.01
container,1,104,0.0
jease,1,103,0.02
sequence,1,180,0.01
constructor,1,68,0.0
link,1,132,0.01
text,1,166,0.0
script,1,68,0.0
parameter,1,116,0.0
redirect,1,129,0.01
session,1,322,0.01
linkcheck,1,51,0.01
trash,1,67,0.01
renderer,1,51,0.0
desktop,1,51,0.0
contents,1,17,0.0
engine,1,212,0.01
persistence,1,80,0.0
nodes,1,17,0.0
perst,1,46,0.01
stream,1,167,0.0
converter,1,348,0.01
listener,1,466,0.01
string,1,120,0.0
selection,1,34,0.0
integer,1,41,0.0
choice,1,34,0.0
date,1,210,0.01
lines,1,34,0.0
access,1,200,0.01
frontend,1,7496,0.78
panel,1,2731,0.1
document,1,2590,0.11
gui,1,1117,0.04
beans,1,1020,0.07
metadata,1,1024,0.04
settings,1,882,0.02
parser,1,828,0.01
automation,1,790,0.07
soap,1,770,0.07
async,1,748,0.03
dialog,1,731,0.02
workflow,1,716,0.05
widgets,1,585,0.03
impex,1,583,0.07
doc,1,480,0.03
folders,1,249,0.03
hibernate,1,466,0.03
documents,1,176,0.02
grid,1,435,0.02
dashlet,1,413,0.06
history,1,415,0.02
email,1,453,0.03
menu,1,423,0.02
attribute,1,410,0.02
message,1,413,0.01
cache,1,506,0.01
lock,1,350,0.02
hazelcast,1,194,0.02
exceptions,1,132,0.0
htmltopdf,1,120,0.02
version,1,322,0.01
dataobjects,1,107,0.02
not,1,286,0.01
distributed,1,66,0.01
pdf,1,108,0.01
validation,1,109,0.0
tenant,1,382,0.04
zip,1,205,0.01
dummy,1,86,0.01
cms,1,38,0.0
found,1,160,0.01
entities,1,36,0.0
repositories,1,52,0.0
general,1,50,0.0
retry,1,24,0.0
revision,1,24,0.0
error,1,157,0.0
directory,1,54,0.0
downloader,1,131,0.01
socket,1,155,0.0
interceptor,1,178,0.01
dev,1,48,0.0
social,1,161,0.01
weather,1,37,0.0
aspect,1,92,0.01
sign,1,156,0.01
based,1,28,0.0
param,1,117,0.01
weixin,1,20,0.0
response,1,85,0.0
expression,1,39,0.0
msg,1,14,0.0
dispatch,1,14,0.0
image,1,187,0.0
advice,1,14,0.0
command,1,13,0.0
method,1,135,0.0
module,1,12,0.0
disabled,1,44,0.0
jdbc,1,12,0.0
proxy,1,76,0.0
helper,1,114,0.0
connection,1,155,0.0
cors,1,47,0.0
graph,1,25,0.0
sql,1,64,0.0
graphql,1,11,0.0
traversal,1,5,0.0
edge,1,4,0.0
builder,1,166,0.0
simple,1,107,0.0
element,1,3,0.0
type,1,179,0.0
fetcher,1,2,0.0
select,1,89,0.01
health,1,2,0.0
spel,1,1,0.0
smart,1,1,0.0
arguments,1,1,0.0
giraphe,1,1,0.0
auto,1,66,0.0
clause,1,1,0.0
from,1,1,0.0
fields,1,33,0.0
json,1,165,0.0
mutation,1,1,0.0
types,1,17,0.0
admin,1,3295,0.18
form,1,1859,0.08
request,1,1541,0.03
support,1,1287,0.06
delete,1,1111,0.05
bulk,1,850,0.07
guest,1,689,0.07
create,1,705,0.03
update,1,801,0.02
post,1,510,0.02
invitation,1,424,0.06
field,1,539,0.02
analytics,1,403,0.03
index,1,403,0.01
edit,1,342,0.01
object,1,422,0.01
ride,1,310,0.04
wall,1,310,0.03
signup,1,263,0.02
google,1,274,0.02
setup,1,479,0.03
language,1,318,0.02
describe,1,221,0.02
password,1,396,0.02
resolver,1,173,0.01
customfield,1,170,0.03
preview,1,335,0.02
validate,1,1234,0.1
backstage,1,766,0.11
log,1,750,0.02
base,1,648,0.01
sms,1,597,0.05
mapper,1,574,0.02
filter,1,711,0.01
captcha,1,399,0.04
rpc,1,395,0.02
opt,1,346,0.03
redis,1,344,0.02
auth,1,424,0.01
token,1,433,0.01
pojo,1,294,0.02
login,1,616,0.02
tags,1,394,0.03
provider,1,322,0.01
tweets,1,204,0.02
processor,1,365,0.01
dict,1,192,0.02
fallback,1,176,0.01
http,1,440,0.01
