keyword,doc_freq,total_freq,tfidf
configuration,3,4929,0.05
log,3,2210,0.03
exception,3,2577,0.01
result,2,1551,0.01
report,2,1310,0.03
filter,2,1508,0.01
main,2,622,0.0
manager,2,2948,0.02
task,2,6093,0.06
runtime,2,9622,0.22
parser,2,1709,0.02
project,2,7585,0.17
runner,2,8146,0.19
utils,2,3502,0.01
step,2,2025,0.06
service,2,2334,0.01
test,1,662,0.0
tools,1,425,0.01
ant,1,396,0.02
taskdefs,1,381,0.03
cvslib,1,341,0.02
maven,1,502,0.02
listener,1,1189,0.01
action,1,465,0.01
archiver,1,254,0.01
lifecycle,1,200,0.01
cvs,1,186,0.01
artifact,1,211,0.01
aggregated,1,153,0.01
stream,1,231,0.0
surefire,1,134,0.01
change,1,683,0.02
interceptor,1,463,0.01
bean,1,240,0.0
tabulated,1,100,0.01
svn,1,99,0.01
record,1,99,0.0
plugin,1,155,0.0
executor,1,395,0.01
output,1,93,0.0
redirecting,1,80,0.01
builder,1,506,0.0
handler,1,645,0.0
spring,1,72,0.0
abort,1,75,0.0
tar,1,71,0.0
component,1,72,0.0
crumb,1,68,0.0
eye,1,63,0.0
view,1,64,0.0
fish,1,63,0.0
item,1,123,0.0
unit,1,59,0.0
object,1,457,0.0
server,1,33703,0.3
process,1,16472,0.31
plugins,1,8514,0.22
yaml,1,7354,0.3
org,1,6349,0.39
processor,1,4821,0.06
processors,1,3465,0.13
agent,1,4426,0.11
ansible,1,4129,0.34
pipelines,1,3715,0.31
secret,1,3720,0.15
model,1,3646,0.02
resource,1,3360,0.05
form,1,3277,0.08
security,1,3206,0.06
event,1,2775,0.02
repository,1,3122,0.05
api,1,2963,0.03
common,1,2953,0.03
policy,1,2754,0.09
converter,1,2743,0.04
sdk,1,2604,0.1
cfg,1,2518,0.12
user,1,2499,0.03
response,1,2394,0.03
client,1,2413,0.02
entry,1,2254,0.04
queue,1,2142,0.05
inventory,1,2072,0.08
key,1,1939,0.03
dao,1,2014,0.03
provider,1,1915,0.02
engine,1,1910,0.03
events,1,1188,0.02
ldap,1,1741,0.08
tasks,1,772,0.02
policyengine,1,1636,0.15
concord,1,1567,0.15
config,1,1089,0.01
web,1,1072,0.01
browser,1,498,0.02
lineup,1,476,0.04
file,1,1276,0.01
run,1,415,0.01
writer,1,254,0.0
cli,1,1262,0.03
image,1,204,0.0
json,1,1032,0.01
screenshot,1,145,0.01
url,1,150,0.0
http,1,962,0.01
job,1,739,0.02
context,1,1557,0.02
comparator,1,87,0.0
not,1,220,0.0
state,1,812,0.01
controller,1,84,0.0
error,1,458,0.01
jackson,1,74,0.0
generator,1,139,0.0
check,1,167,0.0
exceptions,1,45,0.0
tracker,1,60,0.0
factory,1,1084,0.01
mix,1,638,0.04
cookie,1,58,0.0
comparison,1,57,0.0
html,1,55,0.0
graalvm,1,54,0.0
summary,1,54,0.0
used,1,53,0.0
template,1,804,0.01
properties,1,46,0.0
status,1,362,0.01
application,1,94,0.0
invalid,1,203,0.0
installed,1,42,0.0
