keyword,doc_freq,total_freq,tfidf
base,2,42,0.04
camera,2,28,0.1
view,2,22,0.02
connection,1,120,0.27
sql,1,82,0.23
exception,1,82,0.05
exceptions,1,52,0.12
statement,1,54,0.21
optional,1,46,0.27
mysql,1,48,0.31
data,1,44,0.03
xmlrpc,1,38,0.36
result,1,32,0.04
set,1,30,0.06
test,1,36,0.03
wrapper,1,26,0.06
fabric,1,26,0.2
util,1,26,0.01
interceptor,1,24,0.09
prepared,1,20,0.13
factory,1,22,0.01
server,1,22,0.03
load,1,20,0.06
replication,1,20,0.14
log,1,20,0.04
group,1,18,0.04
balance,1,18,0.11
jdbc,1,16,0.07
meta,1,14,0.05
proxy,1,14,0.04
profiler,1,14,0.09
row,1,14,0.06
regression,1,16,0.1
non,1,12,0.05
manager,1,12,0.01
callable,1,12,0.07
proto,1,12,0.07
authentication,1,12,0.04
multi,1,12,0.04
shard,1,12,0.09
driver,1,12,0.05
error,1,12,0.02
method,1,10,0.02
info,1,10,0.01
balanced,1,10,0.08
mapping,1,10,0.04
strategy,1,10,0.02
source,1,10,0.02
socket,1,10,0.03
properties,1,10,0.02
plugin,1,10,0.02
client,1,10,0.01
mat,1,60,0.36
numtrans,1,31,0.3
tonemap,1,20,0.15
point,1,16,0.04
merge,1,16,0.07
callback,1,12,0.03
subtractor,1,12,0.09
loader,1,12,0.02
detector,1,18,0.06
background,1,12,0.05
rect,1,12,0.07
calibrate,1,12,0.09
renderer,1,12,0.04
stereo,1,12,0.08
classifier,1,16,0.07
descriptor,1,12,0.04
video,1,12,0.05
key,1,8,0.02
match,1,8,0.03
cascade,1,8,0.06
optical,1,8,0.06
helper,1,14,0.02
flow,1,16,0.06
trees,1,8,0.04
robertson,1,8,0.06
matcher,1,8,0.03
align,1,8,0.05
debevec,1,8,0.06
utils,1,14,0.01
exposures,1,8,0.06
ann,1,4,0.03
open,1,4,0.01
line,1,4,0.01
sgbm,1,4,0.03
dual,1,4,0.03
mlp,1,4,0.03
imgcodecs,1,4,0.04
core,1,4,0.01
reinhard,1,4,0.04
svm,1,4,0.02
converters,1,4,0.02
mantiuk,1,4,0.03
meter,1,4,0.02
capture,1,4,0.02
service,1,4,0.0
criteria,1,4,0.02
segment,1,4,0.02
tests,1,6,0.02
activity,1,12,0.01
auto,1,6,0.02
basic,1,4,0.01
fragment,1,6,0.01
sample,1,2,0.0
fit,1,4,0.03
texture,1,4,0.02
neural,1,2,0.01
network,1,4,0.01
convolution,1,1,0.01
bar,1,1,0.0
lenet,1,1,0.01
mnist,1,1,0.01
example,1,1,0.0
idx,1,1,0.01
reader,1,1,0.0
accuracy,1,1,0.01
calculator,1,1,0.01
edge,1,1,0.0
detection,1,3,0.02
convolutional,1,1,0.01
draw,1,1,0.01
area,1,1,0.0
labeled,1,1,0.01
image,1,9,0.02
progress,1,1,0.0
