keyword,doc_freq,total_freq,tfidf
list,11,572,0.03
tree,11,756,0.08
linked,9,392,0.11
array,9,581,0.06
node,9,352,0.03
sort,8,929,0.22
stack,8,358,0.08
binary,8,544,0.09
queue,8,260,0.04
heap,7,791,0.23
search,7,701,0.08
graph,7,1104,0.18
merge,6,359,0.08
recursion,5,307,0.11
fibonacci,5,144,0.06
map,4,85,0.01
quick,4,425,0.12
insertion,4,92,0.04
utils,4,195,0.0
sum,4,409,0.13
max,4,234,0.06
min,4,196,0.05
traversal,4,207,0.06
find,4,296,0.08
first,4,453,0.13
sorted,3,180,0.05
main,3,184,0.01
simple,3,77,0.01
linear,3,71,0.02
bst,3,227,0.11
number,3,344,0.06
unique,3,89,0.03
longest,3,173,0.07
depth,3,262,0.08
data,2,55,0.0
sorting,2,275,0.11
hash,2,41,0.01
util,2,37,0.0
selection,2,189,0.04
bubble,2,82,0.03
string,2,349,0.03
circular,2,63,0.03
doubly,2,18,0.01
unsorted,2,46,0.02
singly,2,84,0.04
activity,2,11,0.0
test,2,17,0.0
anagram,2,39,0.02
tile,2,6,0.0
trie,2,71,0.02
rank,2,34,0.01
solution,2,874,0.3
impl,2,101,0.0
all,2,144,0.03
lists,2,213,0.06
trees,2,308,0.09
order,2,213,0.04
with,2,133,0.01
reverse,2,116,0.04
matrix,2,156,0.03
palindrome,2,111,0.06
from,2,109,0.02
paths,2,38,0.01
union,2,123,0.05
base,2,60,0.0
generic,2,72,0.01
maps,2,17,0.0
exception,2,44,0.0
console,1,4,0.0
reinforcement,1,57,0.03
priority,1,42,0.01
entry,1,6,0.0
comparator,1,62,0.01
positional,1,6,0.0
deque,1,6,0.0
adaptable,1,4,0.0
creativity,1,3,0.0
position,1,24,0.01
factorial,1,26,0.01
game,1,18,0.0
random,1,17,0.0
credit,1,3,0.0
card,1,3,0.0
circulary,1,3,0.0
match,1,14,0.0
elements,1,20,0.01
drawner,1,3,0.0
ruler,1,3,0.0
disk,1,3,0.0
usage,1,3,0.0
pseudo,1,3,0.0
length,1,8,0.0
prority,1,3,0.0
brazilian,1,3,0.0
ghost,1,16,0.01
anagrams,1,44,0.03
dictionary,1,30,0.01
wordstack,1,8,0.0
application,1,4,0.0
letter,1,22,0.01
stacked,1,2,0.0
layout,1,2,0.0
fast,1,3,0.0
addressable,1,150,0.09
radix,1,151,0.08
integer,1,222,0.04
time,1,56,0.01
pairing,1,55,0.02
weak,1,44,0.02
reflected,1,41,0.02
dary,1,38,0.02
soft,1,28,0.01
big,1,28,0.01
log,1,34,0.0
ended,1,16,0.01
bulk,1,14,0.0
insert,1,62,0.02
constant,1,14,0.0
unsigned,1,14,0.01
skew,1,14,0.01
meld,1,14,0.01
visible,1,14,0.0
costless,1,14,0.01
logarithmic,1,14,0.01
leftist,1,14,0.01
testing,1,15,0.0
beta,1,14,0.01
value,1,64,0.01
hollow,1,7,0.0
fixed,1,7,0.0
interval,1,13,0.0
dll,1,8,0.0
sll,1,8,0.0
avl,1,28,0.01
