keyword,doc_freq,total_freq,tfidf
model,15,7462,0.01
utils,11,6420,0.01
data,8,18710,0.03
image,8,2940,0.01
util,7,10180,0.01
flow,7,858,0.01
view,7,302,0.0
reader,6,6662,0.03
handler,6,1692,0.0
example,6,308,0.0
test,6,941,0.0
info,6,2356,0.01
service,6,440,0.0
exception,6,3146,0.0
type,6,3126,0.01
controller,5,575,0.0
factory,5,5467,0.01
table,5,854,0.0
parser,5,1152,0.0
file,5,3445,0.01
list,5,1375,0.0
activity,5,70,0.0
callback,5,835,0.01
api,5,51166,0.17
server,5,2008,0.01
response,5,1624,0.01
classifier,5,142,0.0
tensor,5,1334,0.03
object,5,734,0.0
result,5,1423,0.0
map,4,3533,0.01
record,4,6387,0.04
camera,4,52,0.0
client,4,838,0.0
device,4,611,0.01
main,4,301,0.0
application,4,238,0.0
request,4,1773,0.01
input,4,2868,0.01
impl,4,50988,0.11
detector,4,43,0.0
renderer,4,76,0.0
open,4,116,0.0
json,4,1444,0.01
loader,4,2644,0.01
base,4,10334,0.03
helper,4,2467,0.01
analysis,3,7043,0.06
sequence,3,8251,0.07
progress,3,121,0.0
container,3,156,0.0
instrumented,3,16,0.0
manager,3,1597,0.0
learning,3,6276,0.11
job,3,641,0.01
context,3,1323,0.0
conf,3,12117,0.16
iterator,3,15399,0.12
transform,3,28514,0.24
process,3,688,0.0
processor,3,2921,0.01
streams,3,102,0.0
kafka,3,437,0.01
tensorflow,3,451,0.01
inference,3,1184,0.02
cli,3,396,0.0
models,3,3391,0.02
metrics,3,254,0.0
memory,3,4381,0.03
training,3,2827,0.04
create,3,315,0.0
buffer,3,5345,0.04
max,3,2910,0.04
layer,3,8868,0.09
convolution,3,5474,0.1
path,3,1584,0.01
annotations,3,190,0.0
function,3,12664,0.06
writer,3,1529,0.01
pool,2,532,0.0
distance,2,750,0.01
bar,2,126,0.0
cluster,2,1272,0.01
item,2,207,0.0
connection,2,413,0.0
common,2,1058,0.0
app,2,66,0.0
web,2,58,0.0
