keyword,doc_freq,total_freq,tfidf
view,4,54,0.01
classifier,4,30,0.02
image,4,66,0.01
activity,4,19,0.0
flow,4,37,0.02
simple,3,121,0.02
number,3,27,0.01
tensor,3,10,0.01
test,3,43,0.0
indicator,2,708,0.52
indicators,2,681,0.76
trackers,2,222,0.26
rule,2,108,0.04
rules,2,108,0.06
trading,2,114,0.1
helpers,2,102,0.05
analysis,2,93,0.04
ichimoku,2,72,0.09
criterion,2,72,0.07
criteria,2,75,0.05
oscillators,2,63,0.08
candles,2,60,0.07
bollinger,2,54,0.06
volume,2,54,0.04
directional,2,48,0.05
average,2,48,0.04
price,2,48,0.04
statistics,2,42,0.02
movement,2,36,0.04
keltner,2,36,0.04
down,2,30,0.03
index,2,24,0.01
fixed,2,24,0.01
bands,2,18,0.02
ema,2,18,0.02
channel,2,18,0.01
value,2,21,0.0
and,2,18,0.01
stop,2,18,0.01
loss,2,18,0.01
upper,2,18,0.02
lower,2,18,0.02
span,2,18,0.01
trades,2,12,0.01
trade,2,12,0.01
gain,2,12,0.01
range,2,15,0.01
hold,2,12,0.01
chandelier,2,12,0.02
stochastic,2,12,0.01
random,2,12,0.0
walk,2,12,0.01
senkou,2,12,0.02
camera,2,20,0.01
utils,2,18,0.0
train,2,48,0.04
model,2,24,0.0
feature,2,16,0.01
detector,2,22,0.01
renderer,2,15,0.01
instrumented,2,14,0.0
example,2,14,0.0
main,2,11,0.0
fitness,1,6,0.01
standard,1,12,0.01
deviation,1,12,0.01
bearish,1,12,0.02
middle,1,12,0.02
bullish,1,12,0.02
engulfing,1,12,0.02
crossed,1,12,0.02
env,1,6,0.0
bordered,1,1,0.0
text,1,1,0.0
overlay,1,1,0.0
connection,1,1,0.0
fragment,1,1,0.0
recognition,1,1,0.0
score,1,1,0.0
auto,1,1,0.0
fit,1,1,0.0
texture,1,1,0.0
split,1,1,0.0
timer,1,1,0.0
size,1,4,0.0
logger,1,1,0.0
results,1,1,0.0
card,1,83,0.05
predict,1,82,0.07
training,1,48,0.03
data,1,50,0.0
preprocess,1,48,0.05
create,1,37,0.01
features,1,34,0.02
find,1,28,0.02
set,1,29,0.01
cards,1,15,0.02
images,1,15,0.01
shape,1,15,0.01
predictor,1,15,0.01
raw,1,10,0.01
shading,1,9,0.01
colour,1,8,0.01
conv,1,8,0.01
net,1,11,0.01
geometry,1,7,0.0
processing,1,7,0.0
pipeline,1,7,0.0
finder,1,7,0.0
play,1,6,0.0
labelled,1,6,0.01
check,1,5,0.0
triple,1,11,0.01
sort,1,5,0.0
prediction,1,4,0.0
suppliers,1,3,0.0
diff,1,3,0.0
sets,1,2,0.0
color,1,2,0.0
per,1,2,0.0
attribute,1,2,0.0
label,1,2,0.0
vector,1,1,0.0
using,1,1,0.0
webcam,1,1,0.0
mat,1,48,0.04
optical,1,15,0.01
tonemap,1,15,0.01
matcher,1,12,0.0
descriptor,1,12,0.01
point,1,12,0.0
merge,1,12,0.01
loader,1,12,0.0
base,1,9,0.0
callback,1,9,0.0
subtractor,1,9,0.01
open,1,15,0.01
rect,1,9,0.01
stereo,1,9,0.01
background,1,9,0.0
calibrate,1,9,0.01
recognizer,1,9,0.01
video,1,9,0.0
cascade,1,6,0.01
mlp,1,6,0.01
match,1,6,0.0
key,1,6,0.0
extractor,1,6,0.0
trainer,1,6,0.0
ann,1,6,0.0
align,1,6,0.0
trees,1,6,0.0
meter,1,6,0.0
exposures,1,6,0.01
bow,1,6,0.01
helper,1,6,0.0
java,1,6,0.0
debevec,1,6,0.01
sparse,1,6,0.0
robertson,1,6,0.01
mantiuk,1,3,0.0
agast,1,3,0.0
surface,1,3,0.0
bridge,1,3,0.0
writer,1,3,0.0
bayes,1,3,0.0
draw,1,18,0.01
