keyword,doc_freq,total_freq,tfidf
audio,17,29146,0.18
player,12,2485,0.01
listener,12,4267,0.01
utils,11,5104,0.0
activity,10,283,0.0
test,8,757,0.0
media,8,13086,0.07
video,7,4694,0.03
data,7,4194,0.0
event,7,4778,0.01
service,6,2427,0.0
manager,6,1196,0.0
util,6,2117,0.0
handler,6,4237,0.01
model,5,4295,0.0
example,5,856,0.0
main,5,270,0.0
adapter,5,1635,0.0
callback,5,354,0.0
view,5,774,0.0
state,5,3959,0.01
frame,5,1410,0.01
instrumented,4,86,0.0
base,4,607,0.0
stream,4,6695,0.02
fragment,4,345,0.0
playback,4,268,0.0
notification,4,1022,0.01
item,4,838,0.0
config,4,2785,0.0
list,4,747,0.0
object,4,2165,0.0
packet,4,4071,0.02
input,4,1863,0.0
response,4,1140,0.0
renderer,4,2789,0.01
message,4,3111,0.01
impl,4,7276,0.01
encoder,4,1981,0.01
engine,4,2884,0.01
extractor,3,1145,0.01
async,3,100,0.0
background,3,1377,0.01
network,3,3314,0.01
task,3,376,0.0
settings,3,687,0.0
common,3,268,0.0
output,3,1079,0.0
exception,3,936,0.0
api,3,1787,0.0
messages,3,1921,0.01
recorder,3,625,0.01
module,3,827,0.0
control,3,4700,0.02
buffer,3,4179,0.02
format,3,2953,0.01
generic,3,8644,0.03
socket,3,1507,0.01
muxer,3,14,0.0
surface,3,1001,0.01
factory,3,1918,0.0
track,3,518,0.0
mode,3,129,0.0
image,3,1521,0.0
core,3,4761,0.01
visualizer,2,391,0.0
bar,2,210,0.0
style,2,235,0.0
music,2,68,0.0
playlist,2,266,0.0
youtube,2,495,0.01
helper,2,442,0.0
touch,2,42,0.0
json,2,5009,0.01
loader,2,364,0.0
adapters,2,971,0.0
handlers,2,397,0.0
button,2,70,0.0
database,2,670,0.0
device,2,7048,0.03
connection,2,625,0.0
layout,2,298,0.0
dialog,2,1925,0.01
volume,2,766,0.01
observer,2,156,0.0
objects,2,1688,0.01
header,2,727,0.0
group,2,1090,0.0
models,2,6302,0.02
url,2,144,0.0
request,2,382,0.0
text,2,864,0.0
string,2,164,0.0
actions,2,72,0.0
info,2,318,0.0
holder,2,385,0.0
codec,2,23945,0.12
protocol,2,6552,0.03
configuration,2,2842,0.01
tables,2,1804,0.01
decoder,2,1836,0.01
push,2,2234,0.01
system,2,1581,0.01
modules,2,4907,0.03
client,2,4811,0.01
events,2,1119,0.0
server,2,1175,0.0
application,2,224,0.0
crop,2,137,0.0
rtmp,2,95,0.0
type,2,1422,0.0
reader,2,369,0.0
action,2,670,0.0
user,2,923,0.0
store,2,716,0.0
equalizer,2,184,0.0
bass,2,136,0.0
presets,2,102,0.0
global,2,112,0.0
builder,2,122,0.0
map,2,12705,0.02
metadata,2,179,0.0
tab,2,154,0.0
provider,2,499,0.0
web,2,1259,0.0
animation,2,1296,0.01
camera,2,420,0.0
egl,2,95,0.0
worker,2,443,0.0
window,2,166,0.0
full,2,155,0.0
texture,2,39,0.0
selector,2,1393,0.01
