keyword,doc_freq,total_freq,tfidf
user,5,13824,0.04
event,5,10181,0.02
handler,5,5753,0.01
data,5,10266,0.01
manager,5,10954,0.02
service,4,21209,0.04
model,4,17112,0.02
impl,4,38811,0.06
util,4,18376,0.02
utils,4,6694,0.01
repository,3,5591,0.03
exception,3,9229,0.01
item,3,6336,0.02
api,3,21175,0.05
course,3,10446,0.19
provider,3,9114,0.02
listener,3,9921,0.02
dao,3,8014,0.04
base,3,8349,0.02
services,3,4744,0.03
view,3,22044,0.04
activity,3,6723,0.02
adapter,3,3555,0.01
test,3,5231,0.01
text,3,3538,0.01
security,2,6557,0.03
controller,2,8095,0.02
events,2,2806,0.01
filter,2,4834,0.01
request,2,3108,0.01
config,2,1949,0.0
session,2,2944,0.02
converter,2,1515,0.01
error,2,2473,0.01
exceptions,2,95,0.0
response,2,3065,0.01
assessment,2,28383,0.76
entity,2,11093,0.05
app,2,7480,0.02
helper,2,7768,0.02
component,2,6084,0.03
renderer,2,4924,0.03
search,2,3967,0.02
fragment,2,6471,0.03
dialog,2,3516,0.02
custom,2,2798,0.01
web,2,3807,0.01
form,2,4050,0.03
document,2,1391,0.01
editor,2,1703,0.01
file,2,3265,0.0
info,2,3229,0.01
settings,2,1224,0.0
table,2,2058,0.01
group,2,6453,0.03
run,2,1130,0.01
factory,2,6895,0.01
context,2,4857,0.01
store,2,2789,0.01
mongo,1,894,0.01
token,1,1133,0.01
endpoint,1,832,0.01
jwt,1,763,0.01
oneroster,1,749,0.02
auth,1,1690,0.01
xapi,1,542,0.01
admin,1,1342,0.01
ajax,1,946,0.01
not,1,1363,0.01
authentication,1,1494,0.01
found,1,524,0.0
caliper,1,317,0.01
tenant,1,240,0.0
risk,1,222,0.01
org,1,291,0.01
line,1,598,0.0
enrollment,1,683,0.02
academic,1,258,0.01
extractor,1,171,0.0
verifier,1,187,0.0
result,1,1374,0.0
invalid,1,621,0.0
conversion,1,1202,0.01
processing,1,859,0.01
sync,1,344,0.0
common,1,1930,0.01
tool,1,18732,0.13
bean,1,11356,0.07
sakai,1,8529,0.23
gradebook,1,6761,0.18
facade,1,4759,0.05
rwiki,1,4746,0.13
messageforums,1,4792,0.13
jsf,1,4737,0.11
caret,1,4700,0.1
section,1,4965,0.06
site,1,4655,0.07
tag,1,4459,0.02
logic,1,3882,0.04
pages,1,2854,0.03
message,1,4417,0.02
page,1,3305,0.02
sql,1,3853,0.02
author,1,3680,0.05
content,1,3401,0.02
ifc,1,3106,0.06
type,1,4535,0.01
producer,1,2426,0.02
osid,1,2717,0.07
entityprovider,1,2330,0.06
module,1,6717,0.03
discussion,1,5816,0.16
http,1,5935,0.02
registration,1,3595,0.05
adapters,1,2210,0.01
social,1,2941,0.04
task,1,3238,0.01
profile,1,4213,0.03
download,1,2622,0.03
player,1,2180,0.02
profiles,1,1555,0.02
courses,1,807,0.02
image,1,2579,0.01
callback,1,2382,0.01
notification,1,3145,0.02
video,1,1396,0.01
feature,1,1511,0.01
list,1,3558,0.01
interceptor,1,1729,0.01
interactor,1,1181,0.02
get,1,1414,0.01
operation,1,1140,0.01
decoder,1,1024,0.01
analytics,1,909,0.01
login,1,1871,0.01
edx,1,928,0.02
format,1,2786,0.02
markdown,1,717,0.01
highlighter,1,574,0.01
preference,1,1240,0.01
todotxt,1,448,0.01
span,1,593,0.01
general,1,486,0.0
color,1,696,0.0
todo,1,374,0.01
plaintext,1,361,0.01
txt,1,328,0.01
filesystem,1,460,0.01
actions,1,428,0.0
paragraph,1,257,0.0
creator,1,986,0.01
hleditor,1,208,0.0
viewer,1,301,0.0
share,1,367,0.0
openeditor,1,176,0.0
open,1,504,0.0
compat,1,366,0.0
background,1,284,0.0
property,1,1740,0.01
backend,1,159,0.0
pattern,1,252,0.0
auto,1,415,0.0
builder,1,790,0.0
slider,1,133,0.0
stt,1,147,0.0
parser,1,1703,0.0
gui,1,4731,0.03
nodes,1,2462,0.03
qti,1,4733,0.13
components,1,3555,0.03
node,1,2958,0.01
commons,1,2177,0.02
control,1,2278,0.02
elements,1,1204,0.02
indexer,1,1159,0.02
flexible,1,1053,0.03
generic,1,1281,0.01
element,1,1079,0.01
wiki,1,2101,0.05
modules,1,789,0.01
calendar,1,1764,0.03
edit,1,3547,0.03
statistic,1,838,0.01
tree,1,1536,0.01
feed,1,960,0.01
resource,1,3556,0.02
vfs,1,688,0.01
condition,1,855,0.01
game,1,499,0.0
match,1,326,0.0
avatar,1,211,0.0
datamodel,1,248,0.0
vocab,1,174,0.0
screen,1,650,0.01
scenario,1,159,0.0
over,1,231,0.0
swim,1,140,0.0
sink,1,140,0.0
room,1,159,0.0
the,1,130,0.0
map,1,1282,0.0
minesweeper,1,122,0.0
presenter,1,887,0.01
contract,1,23,0.0
memory,1,511,0.0
virus,1,158,0.0
kill,1,74,0.0
entities,1,146,0.0
blood,1,56,0.0
save,1,486,0.0
tutorials,1,53,0.0
end,1,216,0.0
powerup,1,44,0.0
answer,1,604,0.01
power,1,59,0.0
sound,1,46,0.0
question,1,2270,0.03
history,1,445,0.0
application,1,828,0.0
database,1,759,0.0
start,1,312,0.0
setup,1,383,0.0
pref,1,191,0.0
score,1,698,0.01
pregame,1,22,0.0
about,1,84,0.0
scene,1,19,0.0
portlet,1,10254,0.22
channels,1,5967,0.11
layout,1,8069,0.05
channel,1,5280,0.03
groups,1,5234,0.06
portlets,1,2265,0.06
dlm,1,3587,0.1
portal,1,4226,0.07
url,1,4019,0.03
cache,1,3179,0.01
support,1,2722,0.02
tools,1,1933,0.01
locator,1,2009,0.03
person,1,2593,0.03
spring,1,2067,0.01
registry,1,1955,0.01
container,1,2319,0.01
groupsmanager,1,1336,0.04
preferences,1,2226,0.02
permission,1,2129,0.02
jpa,1,1252,0.01
parameter,1,1359,0.01
xml,1,1988,0.01
properties,1,2297,0.01
rendering,1,1105,0.01
definition,1,1269,0.01
serialize,1,1767,0.03
pags,1,1026,0.03
caching,1,1150,0.02
tests,1,449,0.0
plugins,1,96,0.0
relvar,1,44,0.0
external,1,1048,0.01
xls,1,68,0.0
jdbc,1,128,0.0
csv,1,156,0.0
metadata,1,1102,0.01
hadoop,1,4,0.0
xlsx,1,2,0.0
sqljdbc,1,2,0.0
