keyword,doc_freq,total_freq,tfidf
data,4,694,0.04
exception,4,336,0.01
command,3,1598,0.19
type,3,314,0.02
balance,3,213,0.1
order,3,1191,0.38
util,3,462,0.02
strategy,3,720,0.13
helper,3,249,0.03
config,3,230,0.01
api,2,1159,0.12
trade,2,343,0.17
symbol,2,198,0.08
view,2,167,0.01
tick,2,116,0.07
base,2,308,0.02
transaction,2,169,0.05
error,2,228,0.03
model,2,88,0.0
history,2,50,0.01
market,2,425,0.21
report,2,548,0.15
csv,2,183,0.05
exchange,2,185,0.08
book,2,253,0.09
lib,2,303,0.09
orders,2,146,0.08
common,2,839,0.1
message,1,646,0.09
response,1,374,0.05
records,1,210,0.12
record,1,237,0.05
streaming,1,184,0.09
tester,1,88,0.05
codes,1,70,0.04
sync,1,76,0.03
subscribe,1,96,0.05
stop,1,67,0.03
trades,1,36,0.02
chart,1,45,0.02
presenter,1,45,0.01
status,1,54,0.01
candle,1,38,0.02
code,1,65,0.01
margin,1,40,0.02
info,1,54,0.0
activity,1,33,0.0
profit,1,28,0.02
prices,1,28,0.02
server,1,32,0.0
calendar,1,27,0.02
viewer,1,26,0.01
range,1,25,0.01
content,1,23,0.0
trader,1,22,0.01
client,1,21,0.0
sampler,1,21,0.01
keep,1,21,0.01
alive,1,21,0.01
version,1,21,0.0
step,1,53,0.02
hours,1,21,0.02
demo,1,56,0.01
dao,1,1659,0.32
jpa,1,571,0.26
run,1,442,0.14
service,1,500,0.03
mode,1,449,0.11
xchange,1,426,0.37
factory,1,440,0.02
portfolio,1,303,0.19
bar,1,266,0.06
position,1,260,0.09
update,1,163,0.03
fill,1,132,0.06
listener,1,141,0.01
console,1,132,0.04
listing,1,115,0.07
save,1,126,0.05
ticks,1,105,0.07
ohlc,1,117,0.1
annotation,1,110,0.02
amount,1,106,0.07
parse,1,112,0.03
injector,1,105,0.04
currency,1,138,0.06
plug,1,94,0.08
replay,1,93,0.06
listings,1,68,0.05
generic,1,87,0.02
exchanges,1,70,0.06
criterion,1,154,0.09
observers,1,88,0.07
observer,1,88,0.03
main,1,153,0.01
trading,1,138,0.08
kalman,1,82,0.06
backtest,1,103,0.07
context,1,86,0.01
series,1,66,0.03
back,1,55,0.02
test,1,74,0.0
meanrevertion,1,44,0.04
score,1,44,0.02
exit,1,68,0.03
exist,1,33,0.02
open,1,33,0.01
not,1,56,0.01
runner,1,22,0.01
all,1,36,0.01
symbols,1,54,0.04
enough,1,22,0.02
cointegration,1,27,0.02
bollinger,1,22,0.01
bands,1,22,0.01
closed,1,22,0.01
filter,1,27,0.0
entry,1,25,0.0
simple,1,96,0.01
account,1,95,0.03
calculate,1,22,0.01
application,1,50,0.0
available,1,22,0.01
price,1,92,0.04
multiple,1,22,0.01
yahoo,1,22,0.02
violation,1,11,0.01
beans,1,393,0.18
core,1,387,0.04
processors,1,290,0.13
processor,1,241,0.03
event,1,349,0.03
reports,1,195,0.11
utils,1,242,0.01
user,1,221,0.03
handler,1,219,0.02
orderbook,1,149,0.1
result,1,139,0.01
binary,1,125,0.03
events,1,78,0.02
wait,1,119,0.07
rest,1,116,0.02
state,1,163,0.02
cmd,1,92,0.04
configuration,1,127,0.01
serialization,1,89,0.03
query,1,86,0.01
journaling,1,79,0.06
dsl,1,77,0.04
bucket,1,74,0.03
add,1,73,0.02
commands,1,42,0.01
impl,1,82,0.01
biprocessor,1,68,0.05
specification,1,61,0.03
matcher,1,59,0.02
profile,1,58,0.02
engine,1,58,0.01
hash,1,56,0.02
batch,1,50,0.02
