keyword,doc_freq,total_freq,tfidf
message,10,3172,0.07
exception,9,2072,0.02
email,7,2790,0.17
util,6,6341,0.03
service,6,1681,0.02
send,6,730,0.04
client,6,3850,0.07
response,6,2190,0.05
listener,5,2272,0.03
model,5,4303,0.03
item,5,1707,0.03
template,5,753,0.03
open,5,788,0.03
event,5,1513,0.02
activity,4,2930,0.05
list,4,1448,0.02
search,4,1653,0.05
provider,4,1217,0.02
extension,4,780,0.03
user,4,312,0.01
request,4,390,0.01
configuration,4,546,0.01
config,4,415,0.0
factory,4,419,0.0
handler,4,520,0.01
content,4,419,0.01
fragment,3,3267,0.09
utils,3,1152,0.01
adapter,3,1814,0.03
preferences,3,668,0.04
widget,3,855,0.04
data,3,3213,0.03
smtp,3,794,0.09
recipient,3,581,0.08
sender,3,149,0.01
protocol,3,3564,0.18
resource,3,2917,0.08
test,3,235,0.0
api,3,279,0.0
mail,3,1928,0.13
application,3,355,0.01
messages,3,787,0.04
templates,3,474,0.05
webhook,3,653,0.07
base,3,796,0.01
rule,3,416,0.01
events,3,303,0.01
dao,3,1641,0.05
sample,2,518,0.02
builder,2,253,0.0
main,2,86,0.0
view,2,2999,0.04
contact,2,1544,0.11
contacts,2,966,0.09
attachment,2,1067,0.09
text,2,1243,0.02
database,2,907,0.02
image,2,917,0.02
post,2,184,0.01
html,2,155,0.01
envelope,2,124,0.01
bcc,2,74,0.01
header,2,337,0.01
token,2,59,0.0
call,2,73,0.0
sms,2,258,0.02
trigger,2,100,0.01
notification,2,602,0.03
delete,2,280,0.01
empty,2,79,0.0
type,2,433,0.0
controller,2,219,0.0
entity,2,705,0.02
info,2,729,0.01
outbound,2,524,0.06
webhooks,2,338,0.06
click,2,572,0.03
inbound,2,235,0.03
domains,2,150,0.02
server,2,223,0.0
spam,2,113,0.02
domain,2,102,0.0
invalid,2,118,0.01
validation,2,411,0.02
push,2,144,0.01
file,2,627,0.01
imap,2,2464,0.31
key,2,717,0.02
folder,2,1078,0.1
gmail,2,603,0.08
connection,2,389,0.01
store,2,424,0.01
channel,2,78,0.0
all,2,199,0.01
responses,2,454,0.04
error,2,321,0.01
app,2,104,0.0
settings,2,406,0.01
subscription,2,343,0.03
check,2,313,0.01
address,2,383,0.02
helper,2,1002,0.02
stream,2,1110,0.03
input,2,739,0.02
models,2,194,0.01
options,2,721,0.03
identity,2,438,0.03
json,2,389,0.01
storage,2,185,0.01
intent,1,94,0.01
components,1,5330,0.26
emoji,1,2405,0.25
exoplayer,1,1760,0.27
imageeditor,1,1354,0.24
conversation,1,1146,0.1
photo,1,1099,0.08
cells,1,842,0.08
cell,1,842,0.04
mms,1,996,0.1
video,1,975,0.05
media,1,942,0.05
profile,1,753,0.03
map,1,740,0.01
action,1,751,0.02
bar,1,729,0.03
renderer,1,589,0.02
loader,1,623,0.01
scribbles,1,606,0.11
notifications,1,565,0.04
extractor,1,598,0.03
audio,1,584,0.03
slide,1,571,0.05
layout,1,581,0.02
task,1,455,0.01
receiver,1,601,0.03
avatars,1,468,0.08
audioinfo,1,557,0.1
connect,1,548,0.04
stamp,1,278,0.05
enclosure,1,160,0.03
postman,1,126,0.02
wire,1,113,0.01
binary,1,47,0.0
plain,1,106,0.01
subject,1,62,0.01
drafts,1,31,0.01
loops,1,31,0.01
reply,1,135,0.01
smtps,1,17,0.0
functions,1,45,0.0
funtion,1,36,0.01
phone,1,34,0.0
communication,1,32,0.0
supported,1,9,0.0
context,1,237,0.0
mailjet,1,215,0.04
newsletter,1,200,0.03
campaigndraft,1,168,0.03
easy,1,167,0.02
errors,1,120,0.01
contactslist,1,116,0.02
detailcontent,1,84,0.01
impl,1,121,0.0
statistics,1,72,0.0
custom,1,198,0.01
transactional,1,65,0.01
status,1,241,0.01
dns,1,124,0.01
manage,1,68,0.01
schedule,1,57,0.0
metadata,1,202,0.01
jet,1,42,0.01
campaign,1,55,0.01
many,1,36,0.0
metasender,1,34,0.01
domainstatistics,1,32,0.01
geostatistics,1,32,0.01
