keyword,doc_freq,total_freq,tfidf
exception,2,210,0.0
monkey,1,2369,0.46
chaos,1,2013,0.44
boot,1,1379,0.14
assault,1,434,0.1
configuration,1,465,0.01
assaults,1,272,0.06
watcher,1,358,0.05
chaosdemo,1,355,0.08
controller,1,318,0.01
component,1,283,0.01
aspect,1,270,0.03
repo,1,264,0.03
hello,1,225,0.02
properties,1,191,0.01
endpoints,1,175,0.03
spring,1,183,0.01
rest,1,148,0.01
service,1,127,0.0
latency,1,121,0.02
greeting,1,111,0.02
dto,1,98,0.01
toggledemo,1,96,0.02
metric,1,87,0.01
endpoint,1,67,0.01
toggles,1,72,0.02
repository,1,68,0.0
condition,1,60,0.01
update,1,63,0.0
event,1,58,0.0
conditions,1,52,0.01
outgoing,1,54,0.01
attack,1,52,0.01
scope,1,50,0.0
validator,1,50,0.0
constraint,1,50,0.0
request,1,49,0.0
runtime,1,59,0.0
settings,1,75,0.0
events,1,43,0.0
range,1,57,0.0
jpa,1,45,0.01
web,1,45,0.0
executor,1,44,0.0
demo,1,41,0.0
application,1,41,0.0
app,1,40,0.0
client,1,36,0.0
template,1,36,0.0
base,1,46,0.0
decompiler,1,3731,0.72
code,1,986,0.05
modules,1,880,0.07
struct,1,701,0.07
analysis,1,678,0.04
utils,1,543,0.0
tree,1,563,0.02
util,1,331,0.0
node,1,428,0.01
optinstructions,1,425,0.09
module,1,154,0.01
expression,1,256,0.02
main,1,319,0.01
ast,1,304,0.03
commons,1,308,0.03
helper,1,279,0.01
method,1,244,0.01
adapter,1,242,0.01
list,1,188,0.0
attribute,1,198,0.01
insn,1,194,0.03
var,1,164,0.02
annotation,1,213,0.01
field,1,183,0.01
exprent,1,176,0.04
exps,1,176,0.04
type,1,197,0.0
processor,1,189,0.01
attr,1,154,0.02
lists,1,116,0.01
optimizer,1,154,0.02
stats,1,143,0.01
vars,1,110,0.02
statement,1,132,0.01
visitor,1,132,0.01
task,1,130,0.0
gen,1,122,0.01
signature,1,121,0.01
frame,1,117,0.01
graph,1,106,0.01
block,1,103,0.01
instruction,1,99,0.01
constant,1,84,0.01
writer,1,89,0.0
remapper,1,88,0.02
xml,1,88,0.0
generic,1,77,0.0
constants,1,73,0.0
asm,1,82,0.01
