keyword,doc_freq,total_freq,tfidf
font,7,2425,0.29
activity,6,306,0.01
text,6,84,0.0
main,5,835,0.01
view,5,226,0.0
list,4,1042,0.02
test,4,117,0.0
fonts,3,57,0.01
utils,3,180,0.0
adapter,3,96,0.0
manager,3,102,0.0
base,3,35,0.0
custom,3,39,0.0
instrumented,3,50,0.0
example,3,50,0.0
edit,3,2637,0.2
util,2,216,0.0
fragment,2,103,0.0
models,2,74,0.0
dialog,2,177,0.01
splash,2,16,0.0
style,2,318,0.03
helper,2,58,0.0
module,2,59,0.0
application,2,107,0.0
image,2,318,0.01
activities,2,59,0.01
data,2,138,0.0
button,2,9,0.0
ttf,1,94,0.02
analyzer,1,15,0.0
billing,1,81,0.01
settings,1,69,0.0
core,1,51,0.0
install,1,40,0.01
backup,1,38,0.01
iab,1,33,0.01
common,1,61,0.0
fontlist,1,27,0.01
developer,1,25,0.01
exception,1,24,0.0
events,1,41,0.0
event,1,19,0.0
backuprestore,1,18,0.01
fontster,1,19,0.01
restore,1,15,0.0
complete,1,13,0.0
preview,1,28,0.0
decoder,1,11,0.0
result,1,11,0.0
sku,1,11,0.0
command,1,11,0.0
purchase,1,11,0.0
inventory,1,11,0.0
details,1,11,0.0
security,1,11,0.0
file,1,144,0.0
sliding,1,10,0.0
auto,1,10,0.0
scale,1,10,0.0
nav,1,10,0.0
drawer,1,10,0.0
tab,1,10,0.0
converter,1,15,0.0
parser,1,16,0.0
creator,1,3,0.0
argument,1,3,0.0
arguments,1,3,0.0
customfonts,1,36,0.01
generated,1,7,0.0
are,1,1630,0.32
styles,1,1450,0.27
span,1,455,0.05
spans,1,449,0.09
toolitems,1,535,0.12
item,1,406,0.01
tool,1,434,0.03
color,1,221,0.01
demo,1,195,0.01
emoji,1,170,0.03
toolbar,1,107,0.02
strategies,1,105,0.01
video,1,94,0.01
emojipanel,1,91,0.02
strategy,1,86,0.0
picker,1,87,0.01
iare,1,75,0.02
size,1,188,0.01
bold,1,110,0.02
alignment,1,74,0.01
number,1,72,0.01
bullet,1,72,0.01
underline,1,69,0.02
italic,1,69,0.02
colorpicker,1,66,0.01
windows,1,60,0.01
render,1,64,0.01
quote,1,63,0.01
subscript,1,60,0.01
superscript,1,60,0.01
abs,1,57,0.01
strikethrough,1,49,0.01
indent,1,46,0.01
link,1,46,0.0
background,1,41,0.0
android,1,41,0.0
inner,1,40,0.01
min,1,39,0.0
checked,1,36,0.01
mvp,1,66,0.01
dagger,1,55,0.01
content,1,42,0.0
fragments,1,31,0.0
tracking,1,30,0.0
component,1,111,0.01
presenter,1,20,0.0
urdu,1,16,0.0
app,1,37,0.0
firebase,1,10,0.0
tracker,1,10,0.0
source,1,9,0.0
license,1,6,0.0
active,1,5,0.0
release,1,5,0.0
api,1,3,0.0
retrofit,1,1,0.0
retro,1,1,0.0
network,1,5,0.0
multi,1,3,0.0
loader,1,3,0.0
textview,1,1,0.0
radio,1,4,0.0
animated,1,1,0.0
runnable,1,1,0.0
gradient,1,2,0.0
maths,1,1,0.0
login,1,1,0.0
gradiant,1,1,0.0
bitmap,1,2039,0.23
truetype,1,2015,0.58
importer,1,1321,0.14
table,1,1173,0.05
exporter,1,1089,0.11
panel,1,1021,0.06
glyph,1,891,0.18
geos,1,810,0.24
mover,1,756,0.19
entry,1,738,0.04
puaa,1,613,0.18
subtable,1,539,0.16
frame,1,538,0.03
cmap,1,455,0.13
codec,1,451,0.04
menu,1,358,0.02
map,1,346,0.01
mapping,1,319,0.03
listener,1,357,0.01
key,1,302,0.01
selection,1,278,0.03
point,1,255,0.02
ebdt,1,253,0.07
eblc,1,253,0.07
bar,1,255,0.02
unicode,1,248,0.04
vector,1,247,0.02
export,1,240,0.02
mac,1,241,0.04
index,1,215,0.01
encoding,1,184,0.02
transformer,1,179,0.02
sbix,1,175,0.05
save,1,173,0.02
info,1,172,0.0
keyboard,1,171,0.02
type,1,166,0.0
code,1,165,0.01
svg,1,160,0.03
name,1,151,0.01
based,1,139,0.02
cbdt,1,138,0.04
model,1,136,0.0
