keyword,doc_freq,total_freq,tfidf
function,9,2291,0.04
predicate,8,896,0.04
exception,8,612,0.0
consumer,7,417,0.02
functions,7,5442,0.17
supplier,6,664,0.04
impl,5,71,0.0
java,5,103,0.0
data,5,169,0.0
type,5,216,0.0
list,5,351,0.0
utils,5,143,0.0
string,5,118,0.0
checked,4,406,0.03
either,4,173,0.02
service,4,60,0.0
config,4,62,0.0
main,4,9,0.0
model,4,784,0.0
application,4,27,0.0
optional,3,3955,0.24
throwing,3,2763,0.24
operator,3,971,0.04
unary,3,490,0.04
binary,3,481,0.02
runnable,3,91,0.01
unit,3,78,0.0
pair,3,155,0.01
user,3,17,0.0
error,3,37,0.0
lazy,3,96,0.01
second,3,82,0.01
third,3,72,0.01
test,3,9,0.0
monad,3,432,0.05
adapter,3,613,0.01
generic,3,708,0.02
util,3,245,0.0
view,3,155,0.0
empty,3,103,0.0
result,3,252,0.0
activity,3,10,0.0
api,3,672,0.01
effect,3,66,0.0
factory,3,205,0.0
handler,2,128,0.0
wrapped,2,42,0.0
wrapper,2,18,0.0
sequence,2,86,0.0
maybe,2,118,0.01
predicates,2,19,0.0
controller,2,66,0.0
link,2,42,0.0
processor,2,70,0.0
types,2,254,0.01
gen,2,14,0.0
code,2,30,0.0
lift,2,184,0.02
curry,2,18,0.0
callable,2,24,0.0
tuples,2,21,0.0
converter,2,6,0.0
runtime,2,53,0.0
stream,2,53,0.0
iterator,2,1747,0.06
array,2,458,0.01
tuple,2,190,0.01
argument,2,105,0.01
select,2,81,0.0
iterable,2,547,0.04
equality,2,53,0.01
union,2,73,0.01
single,2,62,0.0
first,2,153,0.01
fourth,2,60,0.01
fifth,2,50,0.01
sixth,2,40,0.0
seventh,2,30,0.0
eighth,2,20,0.0
none,2,10,0.0
ninth,2,10,0.0
unions,2,9,0.0
matcher,2,51,0.0
future,2,27,0.0
instrumented,2,6,0.0
example,2,6,0.0
not,2,65,0.0
remote,2,8,0.0
recycler,2,5,0.0
