keyword,doc_freq,total_freq,tfidf
game,7,4963,0.3
main,5,119,0.0
type,4,282,0.0
config,4,1098,0.01
player,4,825,0.04
data,4,993,0.01
screen,4,1634,0.09
tile,4,2918,0.21
listener,4,2686,0.04
util,4,1846,0.01
factory,3,787,0.01
state,3,504,0.01
manager,3,587,0.01
base,3,277,0.0
font,3,1129,0.09
play,3,82,0.01
renderer,3,1861,0.08
item,3,462,0.01
entity,3,1448,0.05
events,3,287,0.01
system,3,875,0.03
games,3,83,0.01
utils,3,1363,0.01
activity,3,89,0.0
exception,3,2711,0.02
render,3,4414,0.28
box,2,869,0.04
simple,2,108,0.0
collision,2,2220,0.22
text,2,874,0.02
world,2,1953,0.12
menu,2,528,0.02
handler,2,282,0.0
graphics,2,3440,0.31
generator,2,185,0.01
inventory,2,138,0.01
tree,2,1016,0.03
dialog,2,27,0.0
button,2,1708,0.08
engine,2,798,0.03
adapter,2,391,0.01
controller,2,1984,0.04
view,2,280,0.0
achievement,2,5,0.0
about,2,3,0.0
category,2,91,0.01
command,2,2366,0.05
settings,2,602,0.02
context,2,356,0.01
exceptions,2,313,0.01
log,2,304,0.01
request,2,120,0.0
component,2,1219,0.04
gen,2,741,0.05
gui,2,1955,0.08
event,2,879,0.01
gdx,2,242,0.03
input,2,1918,0.05
desktop,2,1017,0.08
client,2,211,0.0
layout,2,1325,0.05
container,2,1148,0.05
support,1,64,0.0
buffer,1,349,0.02
fast,1,30,0.0
math,1,24,0.0
vec,1,24,0.0
linear,1,100,0.01
allocator,1,92,0.01
mat,1,16,0.0
precision,1,8,0.0
literal,1,8,0.0
compare,1,8,0.0
jglm,1,8,0.0
calc,1,8,0.0
matrices,1,8,0.0
arrays,1,8,0.0
bounded,1,7,0.0
wall,1,8,0.0
black,1,6,0.0
bomb,1,6,0.0
rect,1,7,0.0
enemy,1,32,0.0
field,1,277,0.01
object,1,703,0.01
level,1,20,0.0
machine,1,8,0.0
ended,1,49,0.01
set,1,202,0.01
spark,1,8,0.0
director,1,8,0.0
select,1,420,0.03
big,1,8,0.0
small,1,8,0.0
bullet,1,8,0.0
collidable,1,8,0.0
explosion,1,8,0.0
detector,1,31,0.0
awt,1,4,0.0
awtgraphics,1,4,0.0
sprite,1,325,0.03
light,1,24,0.0
store,1,23,0.0
start,1,97,0.01
fillers,1,4,0.0
lighting,1,2,0.0
template,1,36,0.0
filler,1,3,0.0
tool,1,28,0.0
crafting,1,1,0.0
grid,1,74,0.0
point,1,457,0.02
source,1,265,0.01
blocks,1,1,0.0
result,1,144,0.0
definition,1,1,0.0
constants,1,3,0.0
living,1,3,0.0
rectangle,1,165,0.02
water,1,18,0.0
ray,1,9,0.0
music,1,316,0.03
stock,1,1,0.0
methods,1,3,0.0
procedural,1,1,0.0
sun,1,1,0.0
width,1,3,0.0
hotbar,1,52,0.01
direction,1,173,0.01
