keyword,doc_freq,total_freq,tfidf
event,5,2214,0.02
device,4,7532,0.21
util,4,1689,0.01
listener,4,926,0.01
exception,4,2031,0.01
data,4,1156,0.01
test,4,1994,0.01
service,4,1770,0.01
impl,3,6596,0.04
model,3,6163,0.03
http,3,1692,0.02
adapter,3,1936,0.02
server,3,4010,0.04
rest,3,991,0.02
message,3,741,0.01
action,3,1348,0.02
provider,3,1154,0.01
handler,3,2120,0.02
sensor,2,3593,0.16
controller,2,2623,0.03
view,2,2750,0.02
actuator,2,1113,0.06
factory,2,1589,0.01
zone,2,1310,0.06
utils,2,1603,0.0
tcp,2,391,0.02
network,2,683,0.01
converter,2,1294,0.02
common,2,341,0.0
driver,2,552,0.02
client,2,1774,0.02
command,2,1408,0.02
persistence,2,1507,0.05
modbus,2,981,0.08
activity,2,378,0.0
intent,2,157,0.01
fragment,2,1879,0.03
receiver,2,2248,0.06
channel,2,629,0.02
json,2,363,0.0
info,2,430,0.0
binding,2,1134,0.04
measurement,2,319,0.01
value,2,697,0.01
call,2,496,0.01
xml,2,375,0.01
config,2,1393,0.01
services,2,341,0.01
timer,2,544,0.02
core,2,6448,0.07
item,2,1877,0.02
library,2,4595,0.15
gateway,2,1172,0.06
container,1,1700,0.04
wire,1,1218,0.07
one,1,1195,0.04
pid,1,1009,0.09
thermostat,1,1111,0.12
swing,1,802,0.03
signal,1,660,0.04
damper,1,613,0.07
onewire,1,789,0.08
hvac,1,599,0.06
counter,1,498,0.02
xbee,1,453,0.05
set,1,527,0.01
mqtt,1,818,0.04
scheduler,1,653,0.02
unit,1,453,0.01
renderer,1,475,0.01
status,1,735,0.01
bee,1,334,0.03
analog,1,291,0.02
connector,1,452,0.01
process,1,245,0.01
filter,1,650,0.01
splitter,1,238,0.02
memory,1,322,0.01
bank,1,234,0.01
servomaster,1,225,0.02
usage,1,363,0.02
schedule,1,419,0.02
address,1,249,0.01
devices,1,10883,0.73
resource,1,3870,0.07
resources,1,2579,0.07
plugin,1,2224,0.04
object,1,1932,0.02
behavior,1,1358,0.06
place,1,1211,0.06
market,1,1211,0.06
socket,1,1198,0.02
environment,1,1096,0.04
board,1,1149,0.05
jersey,1,1003,0.06
timed,1,968,0.06
logic,1,830,0.03
plugins,1,414,0.01
injector,1,740,0.03
atmosphere,1,724,0.06
freedom,1,722,0.06
freedomotic,1,717,0.06
gui,1,744,0.02
gateways,1,584,0.05
repository,1,647,0.01
api,1,813,0.01
reaction,1,600,0.04
user,1,596,0.01
trigger,1,684,0.03
objects,1,304,0.01
list,1,741,0.01
automationeditor,1,586,0.05
commands,1,448,0.01
bus,1,547,0.02
loader,1,552,0.01
twilight,1,486,0.04
file,1,571,0.0
smarthome,1,38,0.0
request,1,118,0.0
play,1,124,0.01
application,1,256,0.0
utilities,1,295,0.01
main,1,415,0.0
gcm,1,4,0.0
result,1,146,0.0
login,1,70,0.0
broadcastreceiver,1,2,0.0
gps,1,2,0.0
sos,1,2,0.0
tracker,1,17,0.0
track,1,6,0.0
custom,1,66,0.0
grid,1,1,0.0
pager,1,59,0.0
next,1,4,0.0
volley,1,1,0.0
singleton,1,1,0.0
master,1,149,0.01
controls,1,1,0.0
row,1,1,0.0
nodel,1,135,0.01
bindings,1,85,0.0
node,1,91,0.0
stream,1,266,0.0
tokener,1,27,0.0
log,1,456,0.01
entry,1,81,0.0
parameter,1,102,0.0
atomic,1,27,0.0
values,1,18,0.0
auto,1,217,0.01
host,1,63,0.0
remote,1,186,0.01
loopback,1,18,0.0
reader,1,152,0.0
dns,1,18,0.0
countable,1,18,0.0
serialisation,1,18,0.0
reflection,1,56,0.0
httpd,1,18,0.0
param,1,64,0.0
cookie,1,18,0.0
servers,1,9,0.0
clients,1,9,0.0
timers,1,31,0.0
dynamic,1,17,0.0
pool,1,21,0.0
endpoint,1,92,0.0
internal,1,2972,0.05
items,1,1333,0.05
type,1,1585,0.01
types,1,1019,0.02
thing,1,1592,0.14
sitemap,1,995,0.09
automation,1,800,0.05
events,1,744,0.01
dto,1,405,0.01
script,1,408,0.01
dashboard,1,394,0.02
module,1,491,0.01
actions,1,289,0.01
delegate,1,335,0.01
registry,1,354,0.01
net,1,548,0.02
chart,1,653,0.02
console,1,387,0.01
semantics,1,306,0.02
discovery,1,301,0.02
rule,1,300,0.01
group,1,266,0.0
magic,1,278,0.02
voice,1,219,0.01
firmware,1,207,0.02
tile,1,206,0.01
audio,1,207,0.01
dog,1,5440,0.34
notification,1,1456,0.04
state,1,1602,0.02
devicemodel,1,933,0.08
devicecategory,1,934,0.08
drivers,1,626,0.04
statevalue,1,456,0.04
phase,1,410,0.03
meter,1,481,0.02
zwave,1,443,0.04
power,1,488,0.03
web,1,559,0.01
single,1,374,0.01
energy,1,246,0.02
wave,1,298,0.01
three,1,199,0.01
cfg,1,182,0.01
instance,1,191,0.0
active,1,231,0.01
zway,1,324,0.03
addons,1,132,0.01
system,1,303,0.01
temperature,1,413,0.03
ufp,1,112,0.01
reactive,1,119,0.01
level,1,98,0.0
component,1,139,0.0
tariff,1,90,0.01
echelon,1,89,0.01
heating,1,107,0.01
off,1,157,0.01
dialog,1,2034,0.04
table,1,1340,0.02
configure,1,1176,0.07
intertechno,1,783,0.08
constants,1,788,0.01
geofence,1,567,0.06
scene,1,474,0.02
room,1,772,0.04
widget,1,711,0.02
backup,1,371,0.02
recycler,1,358,0.01
apartment,1,337,0.04
settings,1,441,0.01
helper,1,748,0.01
elro,1,303,0.03
button,1,330,0.01
alarm,1,314,0.02
phone,1,288,0.01
geofences,1,109,0.01
clock,1,442,0.03
android,1,174,0.0
add,1,168,0.0
configuration,1,407,0.0
sleep,1,166,0.02
playstore,1,153,0.02
tab,1,127,0.0
wearable,1,131,0.01
receivers,1,28,0.0
sqlite,1,124,0.01
animation,1,126,0.0
