keyword,doc_freq,total_freq,tfidf
pojo,1,66,0.86
info,1,26,0.07
dao,1,28,0.17
file,1,26,0.04
model,1,24,0.04
config,1,20,0.04
pic,1,14,0.36
service,1,14,0.03
controller,1,10,0.03
header,1,8,0.07
func,1,8,0.11
inner,1,8,0.13
picture,1,8,0.13
response,1,8,0.03
test,1,8,0.02
category,1,6,0.07
login,1,6,0.05
type,1,4,0.01
user,1,4,0.02
res,1,4,0.06
loader,1,4,0.02
sas,1,4,0.1
argument,1,4,0.05
helper,1,4,0.01
layer,1,4,0.04
updated,1,2,0.04
error,1,2,0.01
csv,1,2,0.02
detile,1,2,0.05
general,1,2,0.02
adapter,1,2,0.01
normal,1,2,0.03
web,1,2,0.01
app,1,2,0.01
upload,1,2,0.02
name,1,2,0.01
detail,1,2,0.02
hdfs,1,2,0.04
path,1,2,0.01
sequential,1,2,0.04
value,1,2,0.01
and,1,2,0.01
date,1,2,0.01
mongo,1,2,0.02
jwt,1,1,0.01
filter,1,1,0.0
