keyword,doc_freq,total_freq,tfidf
view,3,214,0.07
utils,3,102,0.01
image,3,54,0.03
camera,2,319,0.36
text,2,31,0.01
size,2,22,0.02
helper,2,16,0.01
classifier,2,12,0.02
env,2,19,0.03
activity,2,29,0.01
logger,2,5,0.0
rct,1,237,0.78
tasks,1,128,0.15
task,1,110,0.05
events,1,99,0.08
event,1,98,0.04
async,1,110,0.11
cameraview,1,117,0.31
detector,1,96,0.1
face,1,84,0.15
module,1,57,0.03
delegate,1,50,0.07
manager,1,49,0.02
barcode,1,45,0.1
orientation,1,39,0.1
bar,1,36,0.03
code,1,36,0.03
error,1,33,0.02
detection,1,33,0.06
finder,1,33,0.04
sensor,1,30,0.05
picture,1,29,0.06
preview,1,27,0.04
scanner,1,24,0.03
file,1,24,0.0
frame,1,24,0.02
detected,1,21,0.07
mutable,1,21,0.04
constants,1,21,0.01
recognizer,1,20,0.04
listener,1,20,0.01
impl,1,18,0.0
faces,1,12,0.03
taken,1,15,0.05
saved,1,14,0.03
scoped,1,12,0.03
mount,1,12,0.03
resolve,1,12,0.03
ready,1,12,0.03
read,1,12,0.01
context,1,12,0.01
dimensions,1,12,0.03
factory,1,12,0.0
barcodes,1,9,0.03
classification,1,14,0.03
examples,1,15,0.02
customview,1,4,0.01
tflite,1,3,0.01
net,1,2,0.0
connection,1,2,0.0
fragment,1,2,0.0
mobile,1,2,0.0
recognition,1,1,0.0
score,1,1,0.0
quantized,1,1,0.0
results,1,1,0.0
auto,1,1,0.0
fit,1,1,0.0
texture,1,10,0.01
bordered,1,1,0.0
legacy,1,1,0.0
overlay,1,1,0.0
adapter,1,34,0.01
photo,1,20,0.03
dao,1,12,0.01
item,1,12,0.01
entity,1,12,0.01
scroll,1,8,0.02
show,1,8,0.01
horizontal,1,8,0.02
database,1,8,0.01
flow,1,8,0.01
movie,1,8,0.02
tensor,1,8,0.02
album,1,8,0.02
operator,1,8,0.01
memory,1,6,0.01
images,1,4,0.01
photos,1,4,0.01
albums,1,4,0.01
square,1,4,0.01
object,1,4,0.0
type,1,4,0.0
system,1,4,0.0
databse,1,4,0.02
instrumented,1,4,0.0
inference,1,4,0.01
detail,1,4,0.01
circle,1,4,0.01
info,1,4,0.0
zoom,1,4,0.01
layout,1,4,0.0
tracking,1,4,0.01
tracker,1,4,0.01
dealer,1,4,0.02
scaner,1,4,0.02
welcome,1,4,0.01
main,1,4,0.0
example,1,4,0.0
test,1,4,0.0
android,1,4,0.0
config,1,4,0.0
glide,1,3,0.01
