keyword,doc_freq,total_freq,tfidf
image,4,1624,0.08
panel,4,1740,0.14
list,3,233,0.01
listener,3,445,0.01
settings,3,1262,0.06
color,3,1675,0.13
utils,3,531,0.01
dialog,2,539,0.03
action,2,1079,0.05
img,2,169,0.04
box,2,481,0.05
menu,2,465,0.04
file,2,304,0.01
text,2,673,0.02
view,2,49,0.0
activity,2,69,0.0
add,2,141,0.01
input,2,55,0.0
filter,2,5843,0.17
pixel,2,367,0.06
factory,2,164,0.0
resize,2,106,0.03
generic,2,49,0.0
gradient,2,1025,0.2
type,2,734,0.01
angle,2,524,0.12
blur,2,924,0.18
node,2,766,0.03
model,2,377,0.01
elements,1,105,0.02
dialogs,1,137,0.02
tab,1,42,0.0
element,1,29,0.0
tabs,1,29,0.0
item,1,287,0.01
tags,1,28,0.0
albums,1,27,0.01
paged,1,27,0.01
top,1,23,0.0
start,1,63,0.01
button,1,214,0.02
images,1,17,0.0
preview,1,122,0.02
menulist,1,21,0.01
field,1,121,0.01
tag,1,16,0.0
toppanel,1,18,0.01
album,1,13,0.0
tools,1,123,0.01
open,1,76,0.01
window,1,59,0.01
select,1,27,0.0
all,1,76,0.01
controls,1,12,0.0
group,1,12,0.0
label,1,17,0.0
editor,1,71,0.01
simple,1,94,0.0
codes,1,9,0.0
yes,1,8,0.0
thread,1,8,0.0
types,1,8,0.0
numeric,1,11,0.0
util,1,325,0.0
implementations,1,196,0.05
curve,1,205,0.03
transformation,1,48,0.01
filterimpl,1,47,0.01
generics,1,30,0.01
scientific,1,35,0.01
operations,1,35,0.0
histogram,1,52,0.01
base,1,48,0.0
buffered,1,132,0.02
loader,1,76,0.0
saver,1,32,0.01
scale,1,168,0.03
misc,1,159,0.02
correction,1,29,0.01
space,1,62,0.01
gray,1,104,0.02
gamma,1,29,0.01
convolution,1,94,0.02
helper,1,84,0.0
complex,1,63,0.01
per,1,30,0.0
curves,1,217,0.04
blending,1,90,0.02
frame,1,23,0.0
converting,1,22,0.01
gauss,1,22,0.01
dog,1,22,0.0
value,1,89,0.0
spliterator,1,23,0.0
constraint,1,22,0.0
neighborhood,1,19,0.01
channel,1,239,0.02
setting,1,72,0.01
cubic,1,17,0.0
hermite,1,17,0.0
parallel,1,17,0.0
app,1,188,0.01
oblique,1,87,0.02
sample,1,108,0.01
adapters,1,26,0.0
adapter,1,37,0.0
instrumented,1,18,0.0
example,1,18,0.0
test,1,83,0.0
main,1,23,0.0
config,1,164,0.0
demonstrator,1,12,0.0
two,1,75,0.01
placeholder,1,9,0.0
fragment,1,9,0.0
one,1,209,0.03
sections,1,9,0.0
pager,1,9,0.0
transition,1,3676,0.44
param,1,2006,0.2
brush,1,1957,0.44
composite,1,1958,0.26
path,1,1248,0.08
gui,1,1162,0.1
painter,1,1126,0.23
shape,1,1043,0.12
effect,1,733,0.12
stroke,1,910,0.22
effects,1,643,0.13
tool,1,797,0.07
history,1,728,0.07
plaf,1,695,0.19
edit,1,680,0.07
point,1,508,0.04
dabs,1,475,0.14
show,1,474,0.06
palette,1,464,0.11
hide,1,441,0.11
slider,1,429,0.07
handler,1,418,0.01
transform,1,416,0.04
halftone,1,399,0.11
paint,1,352,0.07
writer,1,385,0.02
picker,1,376,0.06
layer,1,343,0.04
basic,1,361,0.02
shadow,1,352,0.07
tip,1,319,0.08
zoom,1,345,0.06
motion,1,337,0.07
process,1,870,0.06
event,1,385,0.01
components,1,74,0.01
object,1,59,0.0
exception,1,117,0.0
http,1,53,0.0
property,1,46,0.0
dispatcher,1,46,0.01
grayscale,1,42,0.01
threshold,1,42,0.01
mirroring,1,38,0.01
transferable,1,132,0.04
reflection,1,50,0.01
information,1,23,0.0
multicaster,1,23,0.01
actions,1,55,0.0
network,1,21,0.0
parser,1,23,0.0
extraction,1,19,0.0
code,1,19,0.0
suen,1,19,0.01
markdown,1,19,0.0
chooser,1,123,0.02
labeling,1,19,0.0
limit,1,19,0.0
remove,1,19,0.0
laplace,1,84,0.02
sobel,1,19,0.0
closing,1,19,0.0
translate,1,19,0.0
stentiford,1,19,0.01
median,1,129,0.03
erosion,1,19,0.01
holt,1,19,0.01
horizontal,1,19,0.0
