keyword,doc_freq,total_freq,tfidf
client,21,42503,0.06
handler,20,9758,0.01
util,19,9430,0.0
exception,19,9013,0.01
service,18,11359,0.01
device,16,7446,0.03
factory,16,4990,0.0
server,15,56304,0.07
model,15,60621,0.04
message,15,5732,0.01
utils,14,4878,0.0
request,13,13711,0.02
main,13,828,0.0
data,13,10140,0.01
activity,13,1107,0.0
config,12,8410,0.01
listener,12,3929,0.0
test,12,3692,0.0
impl,11,11418,0.01
command,10,6345,0.01
list,10,2866,0.0
adapter,10,1400,0.0
mqtt,10,3809,0.03
manager,10,6925,0.01
event,10,21425,0.03
response,9,10377,0.02
common,9,3115,0.01
type,9,40592,0.03
module,8,2814,0.01
token,8,2457,0.01
auth,8,5036,0.01
core,8,48192,0.07
action,8,3610,0.01
api,8,11556,0.02
info,8,2953,0.0
internal,8,7194,0.02
file,7,2243,0.0
state,7,6274,0.01
web,7,3244,0.01
view,7,1587,0.0
callback,7,2879,0.01
controller,7,3301,0.0
user,7,3742,0.01
rest,7,1988,0.01
application,7,2547,0.0
format,7,5274,0.02
resource,7,9181,0.02
measurement,7,736,0.0
provider,7,3860,0.01
app,6,1369,0.0
update,6,4139,0.01
security,6,5655,0.02
cluster,6,3108,0.01
base,6,3097,0.0
spi,6,1924,0.01
json,6,4867,0.01
socket,6,3333,0.01
converter,6,3322,0.01
system,6,2268,0.01
channel,6,3693,0.01
http,6,3370,0.01
plugin,5,5011,0.01
example,5,455,0.0
receiver,5,1579,0.01
connect,5,608,0.0
custom,5,662,0.0
component,5,3433,0.01
filter,5,4624,0.01
transport,5,3760,0.02
task,5,4309,0.01
publish,5,797,0.0
subscribe,5,743,0.0
object,5,6006,0.01
unit,5,4641,0.02
function,5,2812,0.01
units,5,811,0.01
parser,5,1481,0.0
log,5,1770,0.0
stream,5,2876,0.01
services,5,3707,0.01
processor,4,3909,0.01
item,4,6916,0.01
value,4,2000,0.0
code,4,662,0.0
connection,4,3191,0.01
result,4,1613,0.0
sample,4,2547,0.01
session,4,7264,0.02
image,4,1561,0.0
decoder,4,1671,0.01
types,4,39002,0.11
builder,4,1510,0.0
simple,4,1205,0.0
quantity,4,3671,0.03
number,4,813,0.0
map,4,813,0.0
constants,4,1038,0.0
helper,4,2427,0.0
script,4,2825,0.01
reader,4,643,0.0
sdk,4,58934,0.33
node,4,30311,0.05
firmware,4,524,0.01
network,4,1394,0.0
fragment,4,962,0.0
topic,4,913,0.0
wifi,3,134,0.0
modbus,3,1137,0.01
repository,3,5456,0.01
udp,3,484,0.0
sender,3,2022,0.01
version,3,726,0.0
send,3,554,0.0
instrumented,3,48,0.0
dialog,3,618,0.0
authentication,3,1295,0.0
android,3,180,0.0
login,3,372,0.0
configuration,3,2604,0.0
attributes,3,1676,0.01
button,3,226,0.0
driver,3,460,0.0
logger,3,838,0.0
input,3,483,0.0
console,3,1330,0.0
remote,3,350,0.0
call,3,598,0.0
pub,3,598,0.0
codec,3,2583,0.01
unsubscribe,3,408,0.0
will,3,177,0.0
tlv,3,1551,0.02
notification,3,2669,0.01
link,3,1183,0.0
instance,3,1274,0.0
clients,3,343,0.0
temperature,3,520,0.0
sensor,3,579,0.0
time,3,2017,0.0
bundle,3,571,0.0
quantities,3,186,0.0
dimension,3,470,0.0
prefix,3,264,0.0
range,3,424,0.0
product,3,287,0.0
functions,3,10336,0.03
ucum,3,420,0.01
standard,3,2254,0.01
rational,3,158,0.0
exp,3,147,0.0
mgr,3,1172,0.01
subscription,3,3055,0.02
store,3,3606,0.01
status,3,2994,0.01
thread,3,599,0.0
library,3,4686,0.02
gateway,3,1539,0.01
home,3,243,0.0
location,3,317,0.0
pager,3,93,0.0
mapper,3,3671,0.01
delegate,3,849,0.0
websocket,3,1985,0.01
persistence,3,1576,0.01
protocol,3,2151,0.01
cache,2,1532,0.0
master,2,174,0.0
resp,2,74,0.0
req,2,121,0.0
gps,2,37,0.0
slave,2,35,0.0
values,2,216,0.0
register,2,917,0.0
access,2,1038,0.0
connector,2,847,0.0
player,2,225,0.0
dao,2,4623,0.01
plugins,2,1441,0.01
rule,2,1956,0.01
sql,2,1590,0.0
rpc,2,971,0.0
alarm,2,4230,0.03
dashboard,2,834,0.0
kafka,2,516,0.0
board,2,1152,0.01
flow,2,158,0.0
metadata,2,911,0.0
async,2,506,0.0
strategy,2,687,0.0
platform,2,502,0.0
files,2,210,0.0
source,2,866,0.0
ack,2,222,0.0
disconnect,2,180,0.0
ping,2,476,0.0
sub,2,678,0.0
comp,2,1005,0.01
retain,2,97,0.0
payload,2,353,0.0
not,2,698,0.0
coap,2,2848,0.04
commons,2,2577,0.01
observation,2,1371,0.01
validator,2,1633,0.0
array,2,2663,0.01
options,2,777,0.0
tcp,2,1004,0.01
serializer,2,903,0.0
cli,2,1055,0.0
hex,2,654,0.0
delivery,2,404,0.0
commands,2,2023,0.01
converters,2,792,0.0
context,2,1823,0.0
error,2,1532,0.0
run,2,220,0.0
commandline,2,167,0.0
hive,2,875,0.01
certificate,2,5626,0.04
executor,2,349,0.0
supplier,2,370,0.0
local,2,296,0.0
natural,2,167,0.0
ebnf,2,131,0.0
comparable,2,117,0.0
divisor,2,97,0.0
multiplier,2,97,0.0
add,2,1661,0.0
handlers,2,2116,0.01
bean,2,2917,0.01
sasl,2,2310,0.02
comparator,2,228,0.0
writer,2,474,0.0
objects,2,31151,0.13
events,2,2670,0.01
bootstrap,2,4975,0.03
demo,2,5101,0.01
servers,2,923,0.01
encoder,2,1641,0.01
redis,2,904,0.0
write,2,1208,0.01
mode,2,1204,0.0
space,2,2516,0.01
resources,2,3464,0.01
registry,2,1729,0.01
broker,2,1228,0.01
endpoint,2,1519,0.01
storage,2,1559,0.0
engine,2,4730,0.01
single,2,642,0.0
bit,2,165,0.0
string,2,1320,0.0
serial,2,704,0.0
direct,2,14,0.0
power,2,507,0.0
energy,2,645,0.01
scanner,2,119,0.0
dump,2,121,0.0
with,2,701,0.0
utilities,2,336,0.0
intent,2,40,0.0
timer,2,459,0.0
recycler,2,9,0.0
output,2,418,0.0
processing,2,3923,0.02
iterator,2,369,0.0
math,2,251,0.0
extension,2,906,0.0
timed,2,1103,0.01
multiply,2,138,0.0
integer,2,282,0.0
annotated,2,272,0.0
url,2,747,0.0
exceptions,2,608,0.0
properties,2,1319,0.0
bindings,2,239,0.0
acl,2,217,0.0
bus,2,1185,0.01
hello,2,660,0.0
reflection,2,155,0.0
binding,2,1587,0.01
chart,2,585,0.0
xml,2,1065,0.0
devices,2,11035,0.1
window,2,437,0.0
iot,1,193,0.0
failure,1,412,0.0
codes,1,76,0.0
locapi,1,30,0.0
schedule,1,233,0.0
autosend,1,21,0.0
handle,1,309,0.0
mainboard,1,14,0.0
adress,1,14,0.0
body,1,61,0.0
all,1,554,0.0
setup,1,164,0.0
arg,1,7,0.0
show,1,86,0.0
remove,1,260,0.0
digitalclock,1,5,0.0
spotify,1,3,0.0
current,1,103,0.0
playing,1,2,0.0
owm,1,1,0.0
weather,1,254,0.0
tab,1,6,0.0
ruleengine,1,3178,0.04
msg,1,3769,0.02
actors,1,975,0.01
entity,1,1254,0.0
actor,1,574,0.0
asset,1,767,0.0
telemetry,1,507,0.01
credentials,1,1455,0.01
cassandra,1,638,0.0
tenant,1,897,0.01
widget,1,655,0.0
relation,1,404,0.0
jpa,1,325,0.0
nosql,1,312,0.0
basic,1,690,0.0
androidthings,1,39,0.0
driversamples,1,34,0.0
grove,1,94,0.0
accelerometer,1,6,0.0
imageclassifier,1,7,0.0
driverlibrary,1,4,0.0
classifier,1,4,0.0
disp,1,3,0.0
accel,1,3,0.0
led,1,3,0.0
touch,1,3,0.0
buzzer,1,40,0.0
jhd,1,3,0.0
relay,1,164,0.0
bme,1,2,0.0
temp,1,280,0.0
thermopile,1,2,0.0
env,1,363,0.0
display,1,1,0.0
driversupport,1,1,0.0
adc,1,1,0.0
camara,1,1,0.0
camera,1,70,0.0
sim,1,1,0.0
tmraa,1,1,0.0
tensor,1,1,0.0
preprocessor,1,149,0.0
tensorflow,1,1,0.0
mqttgelf,1,7,0.0
reconnection,1,5,0.0
experiments,1,146,0.0
scenario,1,34,0.0
scenarios,1,12,0.0
recognition,1,129,0.0
features,1,549,0.0
openme,1,7,0.0
reload,1,6,0.0
load,1,528,0.0
capture,1,6,0.0
crowd,1,6,0.0
video,1,373,0.0
property,1,926,0.0
reason,1,125,0.0
unsub,1,19,0.0
suback,1,19,0.0
rel,1,46,0.0
rec,1,46,0.0
connack,1,19,0.0
pubrel,1,42,0.0
pubrec,1,3,0.0
unsuback,1,3,0.0
pubcomp,1,3,0.0
puback,1,3,0.0
conn,1,3,0.0
handling,1,5,0.0
indicator,1,109,0.0
nullable,1,99,0.0
,1,224,
packet,1,1404,0.01
transaction,1,426,0.0
observe,1,787,0.01
block,1,296,0.0
timeout,1,519,0.0
transmission,1,222,0.0
option,1,508,0.0
linkformat,1,165,0.0
datagram,1,146,0.0
delayed,1,114,0.0
observable,1,148,0.0
shell,1,662,0.0
results,1,647,0.0
swarm,1,261,0.0
export,1,345,0.0
hivemq,1,165,0.0
ioc,1,137,0.0
flags,1,130,0.0
buffer,1,414,0.0
feature,1,432,0.0
tester,1,223,0.0
unsigned,1,537,0.0
exit,1,62,0.0
commander,1,59,0.0
water,1,79,0.0
using,1,4,0.0
osgi,1,224,0.0
proxy,1,338,0.0
symbol,1,96,0.0
roster,1,4209,0.05
ifc,1,3371,0.03
jabber,1,2372,0.03
tigase,1,1961,0.02
panels,1,1548,0.01
monitor,1,1874,0.01
panel,1,1285,0.0
proc,1,1334,0.01
repo,1,1231,0.01
bosh,1,1236,0.01
hoc,1,916,0.01
open,1,2110,0.01
selector,1,1082,0.0
sysmon,1,862,0.01
presence,1,1140,0.01
scram,1,1127,0.01
start,1,1178,0.0
annotation,1,1080,0.0
things,1,88,0.0
opcua,1,85367,0.84
nodes,1,23839,0.13
stack,1,28009,0.13
structured,1,15093,0.13
audit,1,10756,0.07
variables,1,9536,0.06
variable,1,3780,0.02
diagnostics,1,4111,0.04
condition,1,4713,0.02
history,1,3427,0.01
method,1,2986,0.01
set,1,2937,0.01
delete,1,2928,0.01
exclusive,1,2232,0.02
methods,1,1757,0.01
change,1,2568,0.01
opc,1,1866,0.02
enumerated,1,1807,0.02
transition,1,1736,0.01
identity,1,2127,0.01
californium,1,3749,0.05
registration,1,2423,0.02
servlet,1,2155,0.01
des,1,1002,0.01
ser,1,1002,0.01
leshan,1,789,0.01
observer,1,876,0.0
enabler,1,704,0.01
queue,1,1851,0.01
serialization,1,1906,0.01
address,1,4536,0.02
amqp,1,2530,0.02
spec,1,1589,0.01
selenium,1,1141,0.01
router,1,932,0.01
infra,1,896,0.01
cert,1,954,0.01
messagingclients,1,827,0.01
validation,1,1169,0.0
plan,1,768,0.0
artemis,1,740,0.01
schema,1,1054,0.0
infinispan,1,654,0.01
catalog,1,631,0.0
kubernetes,1,563,0.0
osb,1,554,0.01
compression,1,329,0.0
predicates,1,246,0.0
predicate,1,258,0.0
gorilla,1,209,0.0
operators,1,658,0.0
aggregators,1,150,0.0
windowed,1,154,0.0
calcite,1,147,0.0
mem,1,284,0.0
sidewinder,1,137,0.0
grafana,1,129,0.0
operator,1,370,0.0
equals,1,295,0.0
series,1,112,0.0
disk,1,304,0.0
routing,1,300,0.0
than,1,496,0.0
filters,1,538,0.0
byzantine,1,95,0.0
tag,1,146,0.0
point,1,323,0.0
archiver,1,70,0.0
index,1,155,0.0
influx,1,126,0.0
push,1,995,0.0
ops,1,88,0.0
parsing,1,445,0.0
firmata,1,185,0.0
analog,1,350,0.0
pin,1,90,0.0
sysex,1,43,0.0
digital,1,55,0.0
waiting,1,35,0.0
extended,1,115,0.0
capability,1,278,0.0
mapping,1,224,0.0
pinboard,1,30,0.0
machine,1,1357,0.01
finite,1,801,0.01
monochrome,1,23,0.0
canvas,1,52,0.0
daemon,1,13,0.0
watchdog,1,15,0.0
comm,1,11,0.0
jssc,1,1,0.0
dog,1,5440,0.04
devicemodel,1,933,0.01
devicecategory,1,934,0.01
drivers,1,626,0.01
statevalue,1,456,0.01
phase,1,479,0.0
meter,1,481,0.0
zwave,1,443,0.0
wave,1,298,0.0
three,1,231,0.0
cfg,1,182,0.0
active,1,296,0.0
zway,1,324,0.0
addons,1,132,0.0
ufp,1,112,0.0
reactive,1,110,0.0
level,1,803,0.0
tariff,1,90,0.0
actuator,1,200,0.0
echelon,1,89,0.0
heating,1,95,0.0
off,1,636,0.0
mcu,1,1102,0.02
mcumgr,1,465,0.01
viewmodel,1,360,0.0
transfer,1,542,0.0
managers,1,170,0.0
upload,1,240,0.0
ble,1,195,0.0
