keyword,doc_freq,total_freq,tfidf
function,4,1379,0.03
file,3,1322,0.01
listener,3,1328,0.02
token,2,1008,0.03
language,2,270,0.01
types,2,345,0.01
frame,2,110,0.0
type,2,645,0.01
runtime,2,1041,0.04
exceptions,2,697,0.02
command,2,614,0.01
code,2,814,0.02
console,2,578,0.02
line,2,491,0.02
variable,2,531,0.02
basic,2,786,0.02
block,2,441,0.02
editor,2,1334,0.05
statement,2,646,0.03
dialog,2,447,0.01
utils,2,786,0.0
exception,2,982,0.01
node,2,305,0.01
activity,2,401,0.01
modules,1,554,0.02
std,1,217,0.02
maps,1,182,0.01
atomic,1,178,0.01
map,1,115,0.0
arrays,1,91,0.01
files,1,84,0.0
array,1,272,0.01
mani,1,61,0.01
get,1,254,0.01
http,1,67,0.0
json,1,72,0.0
set,1,216,0.0
math,1,146,0.01
item,1,109,0.0
module,1,10,0.0
datetime,1,33,0.0
functional,1,28,0.0
socket,1,34,0.0
add,1,204,0.01
domain,1,24,0.0
core,1,42,0.0
web,1,39,0.0
callable,1,30,0.0
sockets,1,15,0.0
compare,1,76,0.01
munit,1,15,0.0
error,1,151,0.0
local,1,14,0.0
visitor,1,62,0.0
exists,1,12,0.0
threads,1,11,0.0
instance,1,32,0.0
resolver,1,11,0.0
interpreter,1,54,0.0
inbuilt,1,11,0.0
lexer,1,30,0.0
parser,1,243,0.0
environment,1,11,0.0
stmt,1,6,0.0
expr,1,4,0.0
string,1,202,0.0
generators,1,6210,0.42
commands,1,4929,0.15
mnemonics,1,3691,0.51
functions,1,2163,0.08
javascript,1,2137,0.18
graphics,1,2132,0.16
powerscript,1,1901,0.26
generator,1,502,0.01
assembly,1,721,0.08
logic,1,676,0.04
impl,1,644,0.01
mnemonic,1,180,0.02
template,1,495,0.02
provider,1,494,0.01
and,1,466,0.01
shape,1,413,0.02
constant,1,475,0.02
systemvars,1,421,0.06
crossoptimizer,1,361,0.05
call,1,435,0.02
shell,1,356,0.02
term,1,322,0.02
list,1,399,0.0
input,1,373,0.01
optimizer,1,307,0.02
device,1,328,0.01
memory,1,332,0.01
mode,1,318,0.01
base,1,353,0.0
print,1,287,0.02
output,1,279,0.01
channel,1,246,0.01
textmode,1,245,0.03
program,1,336,0.02
cpu,1,233,0.02
rnd,1,217,0.03
system,1,270,0.01
optimize,1,207,0.03
passes,1,204,0.02
transformer,1,201,0.01
evaluator,1,647,0.03
menu,1,449,0.02
expression,1,440,0.02
algorithm,1,241,0.01
tree,1,229,0.01
menubar,1,214,0.02
export,1,208,0.01
component,1,252,0.01
history,1,157,0.01
atom,1,218,0.02
trigonometric,1,144,0.02
simple,1,283,0.0
edit,1,176,0.01
dialogs,1,78,0.0
desktop,1,109,0.01
listeners,1,68,0.0
target,1,96,0.0
root,1,104,0.0
languages,1,60,0.01
other,1,89,0.01
frames,1,74,0.01
comment,1,91,0.01
updater,1,72,0.0
textarea,1,60,0.01
algogo,1,60,0.01
java,1,108,0.0
sin,1,240,0.03
cos,1,240,0.03
tan,1,239,0.03
main,1,86,0.0
conditional,1,110,0.01
loop,1,93,0.01
context,1,182,0.0
neper,1,44,0.01
interperter,1,3530,0.56
libraries,1,1186,0.11
tokens,1,882,0.06
ast,1,1202,0.07
backend,1,1196,0.07
value,1,1024,0.02
android,1,866,0.03
frontend,1,810,0.08
builtin,1,708,0.06
view,1,705,0.01
declaration,1,550,0.05
lib,1,428,0.02
lang,1,368,0.02
adapter,1,372,0.01
operator,1,314,0.02
parsing,1,309,0.02
model,1,317,0.0
pascal,1,287,0.03
util,1,311,0.0
operators,1,207,0.01
common,1,385,0.01
object,1,257,0.0
graphic,1,246,0.02
gesture,1,228,0.02
instructions,1,212,0.02
debug,1,215,0.01
rpc,1,194,0.01
manager,1,260,0.0
systemfunction,1,185,0.03
eval,1,185,0.01
number,1,326,0.01
access,1,242,0.01
