keyword,doc_freq,total_freq,tfidf
model,37,24585,0.01
utils,37,10896,0.0
data,34,34496,0.01
util,29,14546,0.0
test,27,6367,0.0
function,24,21543,0.02
classifier,22,13551,0.02
service,22,4197,0.0
config,21,7389,0.0
tree,20,48258,0.04
result,20,19917,0.01
factory,17,9014,0.0
exception,17,6526,0.0
activity,17,614,0.0
example,17,1129,0.0
type,17,9805,0.0
feature,17,19339,0.02
main,16,1927,0.0
impl,15,11167,0.0
text,14,6413,0.0
configuration,14,2943,0.0
file,13,8037,0.0
image,13,5661,0.0
node,12,9191,0.01
task,12,4261,0.0
set,12,8053,0.01
application,12,7843,0.0
response,12,6768,0.0
simple,11,7189,0.0
list,11,7874,0.0
helper,11,1229,0.0
base,11,2651,0.0
filter,11,15634,0.01
linear,11,7029,0.01
instance,10,6762,0.01
parser,10,11918,0.01
api,10,8033,0.0
core,10,27987,0.02
random,10,6657,0.01
generator,9,6100,0.0
output,9,4089,0.0
search,9,4849,0.0
distance,9,42564,0.07
regression,9,11406,0.03
context,9,3485,0.0
vector,9,11906,0.02
attribute,9,11546,0.02
functions,8,2495,0.0
info,8,9044,0.0
request,8,1765,0.0
client,8,1458,0.0
flow,8,1371,0.0
server,8,10343,0.01
view,8,2535,0.0
instrumented,8,63,0.0
spark,8,8052,0.02
analysis,8,5912,0.01
builder,8,7583,0.0
split,8,10089,0.02
classification,8,12498,0.03
stream,8,5941,0.0
object,8,8684,0.0
error,8,3021,0.0
input,8,3192,0.0
loader,8,2653,0.0
train,8,2246,0.01
variable,8,1359,0.0
metric,8,3890,0.01
json,8,3914,0.0
string,8,3730,0.0
sentence,8,1851,0.0
evaluation,7,11842,0.03
panel,7,7674,0.01
wrapper,7,4192,0.0
rule,7,4352,0.0
binary,7,3573,0.0
features,7,13732,0.02
handler,7,3342,0.0
models,7,1246,0.0
event,7,8171,0.0
adapter,7,5575,0.0
services,7,9156,0.01
extractor,7,4677,0.01
algorithm,7,31310,0.05
loss,7,3244,0.01
tokenizer,7,6665,0.01
stats,7,5319,0.01
name,7,1644,0.0
converter,7,2502,0.0
point,7,1279,0.0
reader,7,2177,0.0
parameter,7,8461,0.01
network,7,2775,0.0
batch,7,1981,0.0
value,7,3791,0.0
log,6,4694,0.0
action,6,1646,0.0
source,6,1827,0.0
app,6,1969,0.0
metrics,6,807,0.0
callback,6,389,0.0
map,6,3829,0.0
match,6,300,0.0
predictor,6,2832,0.01
matrix,6,9104,0.01
sparse,6,4188,0.01
evaluator,6,4367,0.01
sample,6,1233,0.0
graph,6,3344,0.0
parallel,6,7577,0.02
