keyword,doc_freq,total_freq,tfidf
message,4,1455,0.02
factory,4,650,0.0
exception,4,3686,0.02
utils,4,6359,0.02
test,4,3346,0.02
handler,3,770,0.01
config,3,762,0.01
util,3,2760,0.01
data,3,939,0.01
queue,3,660,0.02
value,3,713,0.01
connection,3,876,0.02
stream,3,1129,0.02
exceptions,2,410,0.01
container,2,346,0.01
auto,2,96,0.0
configuration,2,413,0.0
services,2,2038,0.05
core,2,5862,0.07
sample,2,1423,0.03
server,2,1588,0.02
constants,2,672,0.01
api,2,1230,0.01
engine,2,2219,0.05
req,2,275,0.02
auth,2,331,0.01
file,2,2010,0.01
web,2,448,0.01
listener,2,507,0.0
gateway,2,253,0.01
time,2,192,0.0
state,2,1327,0.02
system,2,936,0.02
info,2,548,0.0
commandbus,1,127,0.01
command,1,442,0.01
query,1,270,0.01
bus,1,43,0.0
middleware,1,38,0.0
context,1,130,0.0
pipeline,1,8,0.0
logging,1,136,0.0
spring,1,54,0.0
result,1,44,0.0
and,1,86,0.0
holder,1,204,0.01
injector,1,4,0.0
reflection,1,4,0.0
found,1,385,0.01
autoscan,1,4,0.0
scan,1,9,0.0
mapping,1,16,0.0
integration,1,10113,0.5
common,1,8969,0.12
clients,1,4416,0.21
client,1,4475,0.06
service,1,3547,0.03
admin,1,1856,0.07
page,1,1437,0.03
businessprocess,1,1770,0.18
migration,1,1716,0.08
pages,1,1113,0.06
samples,1,1153,0.05
bpmn,1,1468,0.11
analytics,1,1390,0.07
jaxrs,1,1380,0.09
servers,1,672,0.04
extension,1,778,0.02
esb,1,769,0.07
dataservices,1,675,0.06
manager,1,845,0.01
migrator,1,720,0.05
extensions,1,541,0.03
integrator,1,634,0.06
registry,1,613,0.02
main,1,577,0.0
bpel,1,567,0.05
task,1,561,0.01
mediation,1,545,0.05
scenario,1,553,0.03
jms,1,495,0.03
bean,1,480,0.01
application,1,472,0.0
coffeesample,1,414,0.04
transports,1,352,0.03
http,1,432,0.01
internal,1,384,0.01
logger,1,394,0.01
transport,1,349,0.01
shell,1,1569,0.06
remote,1,861,0.03
behavior,1,693,0.03
connectors,1,429,0.03
agent,1,430,0.01
connector,1,293,0.01
adapter,1,237,0.0
log,1,300,0.0
script,1,264,0.01
generic,1,277,0.01
param,1,164,0.01
tcp,1,261,0.01
rmi,1,140,0.01
groovy,1,134,0.01
formatter,1,157,0.0
event,1,431,0.0
discrete,1,144,0.01
platform,1,290,0.01
parameter,1,225,0.01
proxy,1,281,0.01
output,1,430,0.01
binding,1,86,0.0
master,1,127,0.01
slave,1,81,0.01
pseudo,1,78,0.01
get,1,122,0.0
console,1,71,0.0
exec,1,67,0.0
shot,1,67,0.01
provider,1,166,0.0
filter,1,95,0.0
dog,1,5440,0.37
model,1,3827,0.02
library,1,3674,0.12
notification,1,1448,0.04
devicemodel,1,933,0.09
devicecategory,1,934,0.09
drivers,1,626,0.05
driver,1,320,0.01
statevalue,1,456,0.04
phase,1,410,0.03
meter,1,397,0.02
zwave,1,382,0.04
sensor,1,379,0.02
power,1,346,0.02
measurement,1,280,0.01
network,1,270,0.01
modbus,1,269,0.02
single,1,263,0.01
energy,1,243,0.02
device,1,239,0.01
wave,1,229,0.01
three,1,199,0.01
cfg,1,182,0.01
instance,1,259,0.01
active,1,260,0.01
json,1,495,0.01
zway,1,138,0.01
addons,1,132,0.01
temperature,1,115,0.01
ufp,1,112,0.01
reactive,1,110,0.01
level,1,231,0.01
component,1,258,0.0
tariff,1,90,0.01
actuator,1,90,0.01
echelon,1,89,0.01
heating,1,88,0.01
off,1,87,0.01
rest,1,445,0.01
nats,1,1731,0.16
impl,1,1441,0.01
benchmark,1,703,0.03
sub,1,550,0.02
jetstream,1,462,0.04
autobench,1,405,0.04
pub,1,370,0.02
stan,1,344,0.03
support,1,340,0.01
subscription,1,319,0.02
jet,1,276,0.02
pull,1,227,0.02
options,1,363,0.01
key,1,311,0.01
consumer,1,281,0.01
stability,1,185,0.02
push,1,179,0.01
reader,1,457,0.01
use,1,124,0.01
statistics,1,167,0.01
bench,1,103,0.01
async,1,103,0.0
list,1,230,0.0
example,1,98,0.0
reply,1,86,0.0
dispatch,1,86,0.0
port,1,129,0.01
dispatcher,1,88,0.0
policy,1,152,0.01
error,1,121,0.0
adaptors,1,6774,0.42
schedulers,1,2726,0.22
adaptor,1,1221,0.08
ssh,1,2553,0.17
scheduler,1,1404,0.05
files,1,1358,0.04
filesystems,1,1644,0.19
local,1,1857,0.03
job,1,1306,0.04
jobs,1,1084,0.06
credentials,1,819,0.04
slurm,1,931,0.11
ftp,1,871,0.06
gridengine,1,740,0.08
implementation,1,730,0.04
torque,1,684,0.08
webdav,1,650,0.07
process,1,734,0.02
docker,1,540,0.04
description,1,543,0.03
path,1,527,0.01
invalid,1,516,0.02
status,1,692,0.01
interactive,1,477,0.03
copy,1,475,0.02
xenon,1,473,0.05
scripting,1,463,0.03
location,1,449,0.01
grid,1,419,0.01
directory,1,409,0.01
attributes,1,339,0.01
parent,1,367,0.02
not,1,619,0.01
such,1,343,0.02
shared,1,319,0.01
gftp,1,304,0.03
property,1,472,0.01
