keyword,doc_freq,total_freq,tfidf
activity,21,2424,0.03
music,18,2698,0.17
util,18,4847,0.02
listener,16,2277,0.02
adapter,16,3893,0.05
utils,15,2788,0.01
fragment,15,3184,0.06
data,13,2167,0.01
service,13,4483,0.04
audio,13,2762,0.11
playlist,12,2343,0.18
model,12,2186,0.01
test,12,572,0.0
main,12,1088,0.01
view,12,2000,0.02
manager,11,1768,0.02
track,11,961,0.04
artist,11,2604,0.21
helper,11,2160,0.03
search,10,1360,0.03
song,10,2668,0.23
list,10,1215,0.01
player,10,2631,0.09
event,10,2122,0.02
fragments,9,2107,0.08
base,9,1396,0.01
image,9,2195,0.04
loader,9,2520,0.04
file,9,1024,0.01
info,8,842,0.01
activities,8,1777,0.07
dialog,8,1361,0.03
album,8,1631,0.11
exception,8,908,0.0
item,8,316,0.0
database,7,600,0.01
play,7,652,0.03
impl,7,1883,0.01
media,7,2070,0.07
filter,7,1307,0.01
user,6,2405,0.03
message,6,666,0.01
example,6,146,0.0
instrumented,6,99,0.0
controller,6,1204,0.02
stream,6,336,0.01
adapters,6,527,0.02
queue,6,658,0.02
app,6,757,0.01
handler,6,1142,0.01
rest,5,1344,0.03
settings,5,1662,0.03
last,5,696,0.04
detail,5,922,0.04
tag,5,864,0.02
notification,5,804,0.03
pager,5,991,0.04
playback,5,500,0.03
library,5,1419,0.05
commands,4,9200,0.22
command,4,8956,0.13
api,4,1479,0.02
lyrics,4,795,0.09
menu,4,1221,0.03
sound,4,1414,0.08
input,4,304,0.0
object,4,196,0.0
frame,4,383,0.01
songs,4,302,0.03
playing,4,632,0.05
widget,4,1578,0.05
module,4,889,0.02
tab,4,251,0.01
profile,4,316,0.01
result,4,447,0.01
application,4,315,0.0
playlists,4,265,0.03
system,4,215,0.01
writer,4,313,0.01
decoder,4,193,0.01
mod,3,1054,0.07
objects,3,3132,0.12
web,3,427,0.01
task,3,579,0.01
bot,3,264,0.01
wrapper,3,203,0.0
update,3,672,0.02
receiver,3,408,0.01
tracks,3,515,0.04
contract,3,187,0.01
bar,3,355,0.01
constants,3,242,0.0
download,3,121,0.01
state,3,1625,0.03
transition,3,209,0.01
button,3,513,0.02
widgets,3,396,0.02
provider,3,795,0.01
listeners,3,669,0.03
dialogs,3,871,0.04
callbacks,3,322,0.02
lastfm,3,497,0.06
presenter,3,741,0.03
entity,3,1646,0.03
favorite,3,165,0.01
sample,3,421,0.01
