keyword,doc_freq,total_freq,tfidf
linux,1,119,0.52
operating,1,102,0.59
system,1,102,0.15
detector,1,70,0.14
windows,1,61,0.18
type,1,49,0.02
bsd,1,50,0.29
solaris,1,40,0.25
osx,1,41,0.28
distro,1,31,0.17
version,1,29,0.05
file,1,20,0.01
contains,1,20,0.08
flavor,1,20,0.1
exists,1,19,0.07
command,1,19,0.02
mac,1,15,0.07
macos,1,15,0.1
desktop,1,11,0.04
environment,1,11,0.03
icons,1,11,0.05
search,1,10,0.01
arch,1,11,0.06
unix,1,10,0.06
spec,1,10,0.02
unsupported,1,10,0.04
exception,1,10,0.0
unknown,1,10,0.04
utils,1,10,0.0
shell,1,10,0.03
compare,1,7,0.02
debug,1,5,0.01
