keyword,doc_freq,total_freq,tfidf
matcher,3,9609,0.08
exception,3,3861,0.01
builder,3,2225,0.01
state,2,12360,0.06
factory,2,5156,0.01
node,2,3901,0.02
base,2,2129,0.01
utils,2,2062,0.0
sequence,2,2823,0.02
any,2,226,0.0
impl,1,26853,0.06
bots,1,20012,0.5
bot,1,16884,0.24
event,1,20938,0.07
eventbot,1,19738,0.69
message,1,16499,0.08
events,1,7005,0.05
action,1,12090,0.05
listener,1,11147,0.03
processor,1,10012,0.05
need,1,8318,0.2
service,1,8382,0.02
uri,1,7745,0.11
messaging,1,6861,0.11
coordination,1,6480,0.14
won,1,6420,0.2
command,1,6255,0.02
owner,1,4845,0.09
atomic,1,4793,0.08
protocol,1,4421,0.04
filter,1,4279,0.01
text,1,3959,0.01
atom,1,3625,0.06
facet,1,3473,0.06
active,1,3437,0.05
connection,1,3370,0.02
from,1,3319,0.04
query,1,2900,0.02
socket,1,2445,0.02
data,1,2286,0.0
fixed,1,2355,0.03
bacc,1,2216,0.08
rdf,1,2012,0.03
component,1,1928,0.01
camel,1,1856,0.04
actor,1,1840,0.03
wonmessage,1,1818,0.06
complete,1,1817,0.03
repository,1,1661,0.01
behaviour,1,1628,0.03
context,1,1590,0.01
mail,1,1506,0.02
searcher,1,2036,0.04
reader,1,2339,0.01
cache,1,1877,0.01
automata,1,1506,0.04
multisequence,1,1287,0.05
tree,1,825,0.0
trie,1,746,0.01
manber,1,691,0.02
regex,1,689,0.01
walker,1,624,0.01
multi,1,788,0.01
window,1,514,0.0
compiler,1,589,0.01
set,1,639,0.0
windows,1,317,0.0
transition,1,419,0.0
lazy,1,515,0.01
parse,1,400,0.0
horspool,1,395,0.01
search,1,484,0.0
object,1,414,0.0
iterator,1,453,0.0
collections,1,264,0.0
serializer,1,239,0.0
one,1,396,0.0
file,1,699,0.0
two,1,593,0.01
array,1,216,0.0
mutable,1,208,0.0
signed,1,206,0.0
dfa,1,197,0.0
hash,1,191,0.0
string,1,344,0.0
parser,1,292,0.0
stream,1,173,0.0
nfa,1,171,0.0
singlebyte,1,160,0.01
all,1,632,0.01
check,1,235,0.0
recently,1,138,0.0
procrastination,1,110,0.0
sequences,1,12,0.0
maybe,1,9,0.0
unit,1,9,0.0
pair,1,195,0.0
either,1,9,0.0
trampoline,1,9,0.0
consumers,1,9,0.0
predicates,1,9,0.0
functions,1,9,0.0
undefined,1,2,0.0
matching,1,208,0.0
decomposition,1,14,0.0
decomposable,1,9,0.0
ongoing,1,8,0.0
extractor,1,296,0.0
match,1,577,0.01
matchers,1,10,0.0
pattern,1,25,0.0
function,1,348,0.0
tuple,1,6,0.0
initial,1,13,0.0
caseclass,1,3,0.0
fluent,1,3,0.0
benchmarks,1,3,0.0
benchmark,1,3,0.0
util,1,215,0.0
argument,1,2,0.0
field,1,156,0.0
nested,1,2,0.0
arguments,1,1,0.0
motif,1,1,0.0
lists,1,48,0.0
list,1,714,0.0
type,1,1467,0.0
maps,1,1,0.0
optional,1,1,0.0
factorial,1,1,0.0
primitive,1,1,0.0
matches,1,1,0.0
comparator,1,1,0.0
fizz,1,1,0.0
buzz,1,1,0.0
consumable,1,1,0.0
that,1,1,0.0
equals,1,96,0.0
