keyword,doc_freq,total_freq,tfidf
main,2,552,0.18
maryqubit,1,66,0.37
classiccoin,1,47,0.26
hellostrange,1,22,0.12
classicsearch,1,22,0.12
person,1,22,0.04
quantumsearch,1,22,0.12
cnot,1,21,0.12
paulix,1,20,0.11
paulixui,1,20,0.11
time,1,19,0.01
bellstate,1,19,0.11
hadamard,1,19,0.11
coins,1,17,0.06
quantumcoin,1,17,0.1
two,1,17,0.04
view,1,16,0.01
object,1,16,0.01
strange,1,16,0.09
sprite,1,16,0.05
map,1,16,0.01
bridge,1,16,0.03
classiccopy,1,15,0.08
classic,1,14,0.07
repeater,1,14,0.06
naive,1,14,0.05
teleport,1,14,0.06
deutsch,1,14,0.08
superposition,1,14,0.08
haha,1,14,0.08
reversiblex,1,13,0.07
guess,1,13,0.07
window,1,12,0.02
deutschjozsa,1,12,0.07
applyoracle,1,12,0.07
grover,1,12,0.07
oracle,1,12,0.03
function,1,12,0.01
classicfactor,1,12,0.07
groveroracle,1,11,0.06
stepbystepgrover,1,11,0.06
randombit,1,10,0.06
semiclassicfactor,1,10,0.06
quantumfactor,1,10,0.06
randombitdebug,1,8,0.04
hczmeasure,1,4,0.02
simulator,1,161,0.61
render,1,121,0.24
gate,1,55,0.19
local,1,44,0.04
qubit,1,38,0.21
demo,1,39,0.04
board,1,34,0.08
model,1,20,0.01
cloud,1,19,0.04
symbol,1,19,0.04
measurement,1,19,0.05
group,1,19,0.02
flow,1,18,0.03
engine,1,17,0.02
renderer,1,15,0.02
overlay,1,15,0.03
probabilities,1,5,0.02
pseudo,1,5,0.02
partial,1,5,0.02
config,1,1,0.0
math,1,1,0.0
complex,1,1,0.0
