keyword,doc_freq,total_freq,tfidf
model,2,4223,0.02
data,2,3645,0.02
utils,2,1271,0.0
builder,2,2282,0.03
random,2,883,0.03
reducer,2,856,0.06
regression,2,1239,0.07
core,1,17552,0.24
dtrain,1,6855,0.67
udf,1,5131,0.4
container,1,3380,0.09
message,1,3230,0.06
stats,1,3132,0.09
worker,1,2979,0.1
pmml,1,2847,0.26
binning,1,2835,0.28
processor,1,2803,0.05
actor,1,2465,0.13
util,1,1986,0.01
obj,1,2134,0.12
train,1,1523,0.09
column,1,1420,0.06
dvarsel,1,1328,0.13
dataset,1,1280,0.06
var,1,1241,0.07
creator,1,1237,0.05
result,1,1036,0.01
eval,1,986,0.05
impl,1,990,0.01
layer,1,966,0.04
object,1,956,0.01
wdl,1,911,0.08
score,1,903,0.05
input,1,819,0.01
correlation,1,789,0.06
master,1,762,0.04
update,1,754,0.02
basic,1,756,0.02
mapper,1,707,0.02
executor,1,707,0.02
info,1,693,0.01
meta,1,680,0.02
varselect,1,668,0.07
sel,1,614,0.06
shifu,1,605,0.06
conf,1,566,0.03
set,1,588,0.01
norm,1,554,0.05
weight,1,658,0.05
wrapper,1,550,0.01
tree,1,2487,0.05
attribute,1,1188,0.04
decision,1,994,0.07
branch,1,952,0.05
loss,1,930,0.06
classifier,1,603,0.03
old,1,598,0.04
finder,1,517,0.02
scorer,1,467,0.03
scorers,1,366,0.04
ignoring,1,440,0.05
value,1,827,0.01
function,1,456,0.01
strategies,1,382,0.02
finders,1,264,0.03
attributes,1,164,0.01
factory,1,499,0.0
instance,1,407,0.01
forest,1,291,0.03
functions,1,206,0.01
reducers,1,218,0.02
importance,1,380,0.04
strategy,1,350,0.01
cross,1,238,0.02
builders,1,116,0.01
lossfunctions,1,229,0.03
downsampling,1,228,0.03
cat,1,223,0.02
nodes,1,203,0.01
split,1,408,0.02
logistic,1,637,0.05
enrich,1,193,0.02
val,1,154,0.01
linear,1,157,0.01
with,1,155,0.0
penalized,1,146,0.02
counter,1,431,0.02
probability,1,140,0.01
numeric,1,200,0.01
moving,1,127,0.01
mse,1,216,0.02
leaf,1,128,0.01
binary,1,272,0.01
