keyword,doc_freq,total_freq,tfidf
main,10,233,0.01
service,9,378,0.02
client,9,432,0.04
utils,8,193,0.0
request,7,1027,0.09
type,7,316,0.01
impl,7,626,0.03
model,7,126,0.0
view,7,522,0.03
application,7,114,0.01
controller,7,124,0.01
response,6,308,0.03
api,6,224,0.02
repository,6,82,0.01
handler,6,442,0.03
config,6,58,0.0
example,6,162,0.01
test,6,153,0.01
adapter,6,87,0.01
activity,6,382,0.03
exception,6,242,0.01
server,5,212,0.02
user,5,126,0.01
event,5,182,0.01
module,5,79,0.01
error,5,127,0.01
app,5,131,0.01
base,5,88,0.0
router,5,37,0.01
data,4,122,0.0
reactive,4,88,0.03
http,4,1514,0.15
instrumented,4,39,0.0
fragment,4,1126,0.14
get,4,47,0.01
json,4,701,0.06
factory,4,101,0.0
hello,3,100,0.03
state,3,68,0.01
result,3,16,0.0
stream,3,122,0.01
top,3,30,0.01
log,3,172,0.02
simple,3,163,0.01
listener,3,60,0.0
dao,3,9,0.0
verticle,3,86,0.04
constants,3,35,0.0
services,3,68,0.01
sample,3,675,0.09
action,3,52,0.0
properties,3,45,0.01
component,3,46,0.01
models,3,201,0.03
list,3,52,0.0
add,3,36,0.01
serializer,3,499,0.08
manager,3,69,0.0
store,3,12,0.0
builder,2,72,0.01
message,2,98,0.01
sub,2,14,0.0
not,2,33,0.0
quote,2,108,0.04
entity,2,40,0.01
form,2,46,0.01
processor,2,58,0.01
strategy,2,16,0.0
with,2,27,0.0
progress,2,8,0.0
callback,2,71,0.01
file,2,127,0.0
scheduler,2,4,0.0
observer,2,4,0.0
fragments,2,436,0.1
bus,2,149,0.04
buffer,2,133,0.03
backoff,2,101,0.06
exponential,2,28,0.01
person,2,14,0.0
custom,2,73,0.01
header,2,127,0.02
exceptions,2,16,0.0
reaction,2,10,0.0
common,2,52,0.0
parameters,2,40,0.01
dispatcher,2,347,0.1
proxy,2,273,0.04
body,2,148,0.03
parser,2,657,0.05
object,2,138,0.01
method,2,169,0.02
producer,2,47,0.01
pool,2,124,0.02
generator,2,340,0.04
context,2,98,0.01
time,2,85,0.01
presenter,2,249,0.06
contract,2,6,0.0
item,2,22,0.0
click,2,9,0.0
behavior,2,31,0.01
pair,2,31,0.01
support,2,607,0.13
parse,2,123,0.02
node,2,219,0.02
info,2,64,0.0
kafka,2,46,0.01
serde,2,31,0.02
emoji,2,13,0.01
count,2,6,0.0
streams,2,4,0.0
tweet,2,6,0.0
deserializer,2,3,0.0
tracker,2,3,0.0
wrapper,2,8,0.0
tweets,2,3,0.0
emojis,2,3,0.0
remote,2,21,0.0
bin,2,33,0.01
database,2,13,0.0
quickstart,1,109,0.07
protobuf,1,79,0.03
blocking,1,15,0.01
proto,1,8,0.0
decoder,1,56,0.01
pub,1,16,0.01
