keyword,doc_freq,total_freq,tfidf
exception,3,122,0.0
recommender,3,163,0.05
feature,2,368,0.04
common,2,321,0.02
mapper,2,48,0.0
version,2,8,0.0
config,2,1898,0.05
retriever,2,745,0.15
model,2,481,0.01
file,2,192,0.0
request,2,202,0.01
csv,2,138,0.01
data,2,136,0.0
service,2,205,0.01
recommendation,2,93,0.02
actor,2,14,0.0
lsh,1,58,0.02
util,1,47,0.0
reducer,1,37,0.01
function,1,94,0.01
validation,1,24,0.0
validate,1,24,0.0
likelike,1,21,0.01
recommendations,1,22,0.01
extraction,1,18,0.0
accessor,1,16,0.0
get,1,18,0.0
writer,1,25,0.0
clusters,1,12,0.0
add,1,14,0.0
select,1,12,0.0
hash,1,49,0.01
constants,1,13,0.0
cluster,1,6,0.0
related,1,7,0.0
cassandra,1,7,0.0
users,1,6,0.0
inverse,1,6,0.0
seed,1,6,0.0
calc,1,6,0.0
min,1,6,0.0
wise,1,6,0.0
identity,1,90,0.02
logger,1,38,0.0
value,1,85,0.0
writable,1,6,0.0
candidate,1,6,0.0
show,1,6,0.0
dfs,1,5,0.0
reader,1,4,0.0
help,1,3,0.0
driver,1,3,0.0
access,1,2,0.0
features,1,1,0.0
examples,1,1,0.0
recommended,1,1,0.0
server,1,3686,0.14
modeler,1,2293,0.82
dao,1,915,0.07
featurizer,1,900,0.3
indexer,1,776,0.15
expander,1,752,0.25
extractor,1,702,0.07
solver,1,562,0.12
predictor,1,541,0.12
based,1,503,0.08
tree,1,436,0.03
evaluator,1,433,0.06
ranker,1,401,0.11
learning,1,342,0.07
space,1,319,0.05
metric,1,317,0.04
utilities,1,289,0.03
boosting,1,288,0.08
loss,1,272,0.05
instance,1,228,0.02
method,1,212,0.02
string,1,197,0.01
router,1,193,0.03
svd,1,176,0.06
entity,1,176,0.01
objective,1,176,0.04
redis,1,170,0.03
knn,1,168,0.04
ranking,1,163,0.04
list,1,162,0.0
cent,1,156,0.06
reinforce,1,144,0.05
separated,1,130,0.05
blending,1,128,0.04
scheduler,1,128,0.02
producer,1,114,0.02
item,1,114,0.01
svdfeature,1,112,0.04
regression,1,112,0.02
impl,1,55,0.0
user,1,155,0.01
movie,1,55,0.01
repository,1,44,0.0
spring,1,16,0.0
genre,1,14,0.0
base,1,9,0.0
application,1,13,0.0
not,1,8,0.0
found,1,8,0.0
resource,1,8,0.0
provider,1,8,0.0
app,1,8,0.0
jersey,1,8,0.0
message,1,12,0.0
entities,1,4,0.0
sql,1,64,0.01
engine,1,98,0.01
sample,1,1,0.0
filter,1,101,0.0
tokenfilters,1,50,0.02
token,1,40,0.0
relevancyfeedback,1,40,0.01
factory,1,25,0.0
feedback,1,25,0.01
payload,1,20,0.0
unsupervisedfeedback,1,20,0.01
unsupervised,1,15,0.0
query,1,47,0.0
boost,1,54,0.01
relevancy,1,10,0.0
mean,1,42,0.01
concatenate,1,42,0.01
type,1,40,0.0
erase,1,10,0.0
constant,1,42,0.0
term,1,26,0.0
handler,1,10,0.0
helper,1,10,0.0
params,1,10,0.0
jar,1,5,0.0
interesting,1,5,0.0
result,1,53,0.0
peer,1,98,0.02
test,1,60,0.0
dummy,1,53,0.01
content,1,40,0.0
camel,1,31,0.01
view,1,31,0.0
weighted,1,25,0.01
map,1,97,0.0
distributed,1,28,0.01
link,1,20,0.0
response,1,40,0.0
weight,1,22,0.0
heuristic,1,18,0.01
history,1,18,0.0
update,1,11,0.0
mismatch,1,10,0.0
communicator,1,10,0.0
databaser,1,11,0.0
processor,1,11,0.0
outbound,1,10,0.0
addition,1,11,0.0
peers,1,5,0.0
side,1,10,0.0
linkor,1,10,0.0
aggregator,1,10,0.0
init,1,11,0.0
aggregation,1,9,0.0
weighter,1,9,0.0
linker,1,8,0.0
similar,1,8,0.0
dhm,1,8,0.0
viewer,1,8,0.0
historian,1,7,0.0
probability,1,6,0.0
existence,1,6,0.0
generator,1,6,0.0
backed,1,6,0.0
bucket,1,38,0.01
links,1,4,0.0
deterministic,1,6,0.0
send,1,6,0.0
receive,1,6,0.0
local,1,6,0.0
