keyword,doc_freq,total_freq,tfidf
function,3,66,0.02
data,3,727,0.09
example,2,219,0.05
classifier,2,24,0.02
classification,2,14,0.02
input,2,23,0.01
impl,2,12,0.0
comparator,2,42,0.03
visualization,2,10,0.01
reader,2,88,0.03
iterator,2,61,0.03
file,2,56,0.01
local,2,69,0.03
csv,2,46,0.03
spark,2,94,0.09
parser,2,399,0.09
index,2,303,0.13
exception,2,84,0.01
rows,2,35,0.05
gnn,1,43,0.07
neural,1,27,0.04
network,1,27,0.01
gentic,1,20,0.03
neuron,1,26,0.04
regression,1,35,0.04
worker,1,8,0.0
genetic,1,6,0.01
continuous,1,6,0.01
visualizer,1,7,0.01
output,1,24,0.01
hidden,1,6,0.01
iris,1,4,0.01
error,1,12,0.0
yeast,1,3,0.0
activation,1,3,0.0
ann,1,2,0.0
circle,1,2,0.0
training,1,2,0.0
benchmark,1,2,0.0
configuration,1,2,0.0
titanic,1,1,0.0
ecoli,1,1,0.0
predict,1,1,0.0
action,1,1,0.0
recordreaderexamples,1,58,0.08
record,1,48,0.02
sentence,1,48,0.05
split,1,40,0.03
service,1,37,0.01
cook,1,27,0.04
book,1,27,0.02
line,1,33,0.02
controller,1,26,0.01
retention,1,19,0.02
prediction,1,19,0.02
customer,1,19,0.02
collection,1,18,0.01
api,1,17,0.0
vec,1,16,0.02
vector,1,34,0.02
sequence,1,14,0.01
image,1,14,0.0
transform,1,14,0.01
pre,1,13,0.01
animal,1,13,0.02
executorexamples,1,11,0.02
codec,1,10,0.01
jackson,1,10,0.01
execute,1,10,0.01
numbered,1,10,0.01
spring,1,9,0.0
application,1,9,0.0
process,1,9,0.0
cnn,1,8,0.01
tsne,1,8,0.01
model,1,8,0.0
basic,1,8,0.0
google,1,8,0.01
uima,1,8,0.01
paragraph,1,8,0.01
processor,1,8,0.0
frame,1,1033,0.53
array,1,837,0.3
util,1,725,0.05
reference,1,369,0.23
stats,1,360,0.18
text,1,315,0.08
printer,1,216,0.19
dense,1,171,0.21
coding,1,171,0.22
range,1,171,0.1
sparse,1,153,0.16
mapped,1,153,0.17
http,1,145,0.04
source,1,137,0.04
sink,1,126,0.12
date,1,90,0.04
with,1,90,0.04
sql,1,81,0.04
jama,1,81,0.12
functions,1,72,0.04
options,1,79,0.04
algebra,1,63,0.08
times,1,54,0.08
regress,1,54,0.08
time,1,52,0.02
stat,1,27,0.02
tasks,1,45,0.03
zoned,1,45,0.07
json,1,45,0.01
decomposition,1,45,0.06
base,1,45,0.01
factory,1,43,0.01
task,1,36,0.01
axis,1,36,0.03
zone,1,36,0.04
read,1,36,0.03
mean,1,36,0.04
value,1,36,0.01
objects,1,27,0.02
object,1,27,0.01
constructor,1,29,0.03
grouping,1,18,0.02
verify,1,255,0.3
results,1,119,0.09
table,1,113,0.04
indexmap,1,105,0.22
expected,1,56,0.11
result,1,37,0.01
row,1,67,0.05
avro,1,49,0.06
files,1,42,0.03
state,1,42,0.01
strategy,1,42,0.02
lifecycle,1,42,0.04
investigation,1,42,0.08
partial,1,35,0.05
matcher,1,35,0.02
cell,1,35,0.02
verifiable,1,35,0.06
verifier,1,35,0.04
adapters,1,28,0.02
adapter,1,28,0.01
column,1,46,0.04
handler,1,28,0.01
map,1,28,0.01
directory,1,21,0.02
view,1,21,0.0
html,1,21,0.01
rebase,1,21,0.04
actual,1,14,0.03
event,1,23,0.0
keyed,1,14,0.03
loader,1,14,0.0
per,1,14,0.01
filter,1,14,0.0
summary,1,14,0.01
metadata,1,14,0.01
group,1,14,0.01
formatter,1,14,0.01
key,1,12,0.0
format,1,26,0.01
