keyword,doc_freq,total_freq,tfidf
view,2,24,0.0
hook,2,65,0.01
lib,2,73,0.01
config,2,894,0.03
activity,2,221,0.01
text,2,613,0.03
render,2,1052,0.18
functions,1,110,0.01
async,1,31,0.0
hooks,1,25,0.01
event,1,28,0.0
util,1,40,0.0
commands,1,18,0.0
data,1,18,0.0
teleport,1,15,0.01
distance,1,13,0.0
unset,1,11,0.01
update,1,11,0.0
player,1,10,0.0
set,1,139,0.01
sync,1,8,0.0
bvd,1,8,0.0
command,1,6,0.0
afk,1,7,0.0
checker,1,6,0.0
tab,1,6,0.0
complete,1,6,0.0
move,1,6,0.0
best,1,6,0.0
variable,1,6,0.0
quit,1,6,0.0
placeholder,1,59,0.02
api,1,5,0.0
protocol,1,5,0.0
join,1,5,0.0
calculations,1,5,0.0
warnings,1,5,0.0
checkers,1,4,0.0
messages,1,4,0.0
timings,1,4,0.0
misc,1,4,0.0
world,1,4,0.0
guard,1,4,0.0
scheduler,1,4,0.0
login,1,3,0.0
load,1,2,0.0
other,1,2,0.0
get,1,2,0.0
limit,1,1,0.0
dist,1,1,0.0
changer,1,1,0.0
unload,1,1,0.0
test,1,14,0.0
main,1,16,0.0
instrumented,1,9,0.0
example,1,9,0.0
math,1,4,0.0
exception,1,871,0.02
standalone,1,550,0.17
gpu,1,460,0.14
ferme,1,417,0.2
hardware,1,363,0.13
swing,1,230,0.05
server,1,213,0.01
gui,1,205,0.02
windows,1,153,0.03
session,1,111,0.01
handler,1,108,0.0
device,1,107,0.01
cpu,1,102,0.03
process,1,98,0.01
proxy,1,97,0.01
settings,1,98,0.01
network,1,95,0.01
datamodel,1,94,0.03
cli,1,84,0.01
nvidia,1,85,0.04
input,1,84,0.01
parameter,1,80,0.01
job,1,69,0.01
utils,1,54,0.0
win,1,63,0.02
one,1,51,0.01
right,1,51,0.01
version,1,51,0.01
mac,1,51,0.01
linux,1,51,0.01
worker,1,51,0.01
log,1,105,0.01
disabled,1,51,0.01
line,1,185,0.02
shutdown,1,51,0.02
authenticator,1,51,0.01
cuda,1,51,0.02
configuration,1,52,0.0
uresult,1,51,0.02
pair,1,51,0.01
working,1,50,0.02
client,1,51,0.0
error,1,51,0.0
loader,1,49,0.0
down,1,44,0.01
element,1,2809,0.28
spec,1,2708,0.43
base,1,1507,0.05
ipl,1,1187,0.58
table,1,1045,0.08
type,1,1029,0.02
box,1,787,0.11
micro,1,738,0.21
converter,1,738,0.06
xml,1,672,0.05
page,1,580,0.05
font,1,577,0.12
has,1,497,0.12
image,1,449,0.03
context,1,427,0.02
border,1,424,0.12
cell,1,350,0.05
alignment,1,308,0.08
pdf,1,301,0.08
object,1,286,0.01
plh,1,275,0.13
plv,1,275,0.13
width,1,268,0.09
margin,1,268,0.07
padding,1,268,0.08
helper,1,252,0.01
size,1,211,0.03
customizer,1,210,0.08
stream,1,198,0.01
splittable,1,187,0.09
preload,1,180,0.06
vbox,1,177,0.09
hbox,1,175,0.09
debug,1,176,0.02
with,1,175,0.01
special,1,171,0.04
range,1,165,0.02
pdmodel,1,164,0.08
list,1,190,0.01
epl,1,156,0.07
style,1,155,0.02
spacer,1,154,0.07
layout,1,154,0.02
content,1,142,0.01
document,1,141,0.02
preparation,1,140,0.05
point,1,147,0.01
