keyword,doc_freq,total_freq,tfidf
service,10,19785,0.04
config,8,3207,0.01
util,7,14740,0.02
impl,7,12147,0.03
listener,7,7297,0.02
exception,7,11260,0.02
task,6,6362,0.02
data,6,7766,0.01
controller,6,6060,0.02
scheduler,6,18270,0.19
job,6,6120,0.05
map,5,7923,0.03
action,5,2506,0.01
manager,5,5847,0.02
model,4,2076,0.0
factory,4,4226,0.01
settings,4,149,0.0
detail,4,316,0.0
schedule,4,8680,0.13
server,4,6288,0.02
client,4,4356,0.02
repository,4,1776,0.01
handler,4,4920,0.01
message,4,3940,0.02
utils,4,1919,0.0
converter,4,369,0.0
provider,3,1518,0.01
list,3,4079,0.01
web,3,3169,0.01
dao,3,2145,0.01
admin,3,2656,0.03
common,3,6369,0.03
type,3,2536,0.0
system,3,848,0.01
redis,3,3676,0.05
object,3,6987,0.02
user,3,1980,0.01
application,3,1002,0.0
persistence,3,134,0.0
security,3,6563,0.04
dto,3,203,0.0
response,3,466,0.0
time,3,1107,0.01
calendar,3,226,0.0
driver,3,351,0.0
cron,3,618,0.02
trigger,3,928,0.01
request,3,5110,0.02
view,2,1538,0.0
base,2,1754,0.0
services,2,535,0.0
logging,2,216,0.0
interceptor,2,810,0.01
async,2,4183,0.04
options,2,532,0.0
customers,2,18,0.0
activity,2,121,0.0
transfer,2,2950,0.05
socket,2,2556,0.02
info,2,2594,0.01
file,2,2309,0.0
log,2,2136,0.01
protocol,2,8422,0.08
connection,2,5569,0.03
command,2,3389,0.01
commands,2,2037,0.01
executor,2,1961,0.01
remote,2,4720,0.05
entry,2,1965,0.01
strategy,2,1926,0.01
node,2,6261,0.02
session,2,2108,0.02
receiver,2,1105,0.01
mapper,2,906,0.01
mail,2,94,0.0
permission,2,453,0.0
role,2,226,0.0
home,2,27,0.0
bean,2,1650,0.01
allocation,2,24,0.0
progress,2,51,0.0
edit,2,488,0.0
filter,2,884,0.0
step,2,84,0.0
actions,2,1916,0.01
api,2,660,0.0
running,2,183,0.0
core,2,39008,0.15
event,2,6579,0.02
database,2,524,0.0
schedules,2,41,0.0
stats,2,574,0.0
global,2,234,0.0
http,2,1966,0.01
main,2,718,0.0
processor,2,282,0.0
test,2,7411,0.01
thread,2,1086,0.01
pool,2,1426,0.01
module,2,288,0.0
simple,2,1378,0.01
helper,2,1550,0.01
exceptions,2,3327,0.02
xml,2,3356,0.02
plugin,2,294,0.0
triggers,2,90,0.0
fired,2,126,0.0
quartz,2,258,0.01
pro,2,6458,0.17
group,2,4891,0.03
drivers,2,4,0.0
spring,2,175,0.0
domain,2,781,0.01
date,2,229,0.0
form,2,122,0.0
adapter,1,1071,0.0
appointment,1,15,0.0
customer,1,30,0.0
category,1,69,0.0
fragment,1,15,0.0
recycler,1,8,0.0
validator,1,24,0.0
formatter,1,33,0.0
holder,1,249,0.0
tabbed,1,2,0.0
tcontrol,1,27903,0.73
monitoring,1,8755,0.15
cmmn,1,5658,0.15
lang,1,2624,0.03
backup,1,2380,0.04
sample,1,2158,0.01
serviceproxy,1,1851,0.05
tree,1,3339,0.02
proxy,1,3609,0.02
history,1,1470,0.01
functions,1,1233,0.01
pack,1,1586,0.03
code,1,1104,0.01
setting,1,976,0.01
call,1,1916,0.02
value,1,2003,0.01
agent,1,1336,0.01
encrypt,1,784,0.02
restore,1,780,0.02
audit,1,765,0.01
rest,1,681,0.0
login,1,1186,0.01
key,1,1734,0.01
authority,1,684,0.01
scale,1,586,0.01
access,1,1286,0.01
mypage,1,507,0.01
redisson,1,9568,0.29
decoder,1,9423,0.08
reactive,1,6878,0.12
cache,1,5350,0.03
set,1,5364,0.03
convertor,1,3899,0.1
codec,1,3471,0.03
operation,1,3458,0.03
replay,1,2878,0.06
stream,1,2643,0.01
sub,1,2405,0.02
pub,1,1899,0.03
queue,1,2915,0.03
cluster,1,1695,0.02
support,1,1683,0.02
sorted,1,1472,0.02
multimap,1,1477,0.04
geo,1,1408,0.02
batch,1,1421,0.02
region,1,1247,0.02
read,1,1338,0.01
cached,1,1160,0.02
bucket,1,1055,0.01
scored,1,1130,0.03
blocking,1,1255,0.03
fanout,1,208,0.01
topic,1,1056,0.01
hello,1,1195,0.01
neo,1,115,0.0
sender,1,388,0.0
mongo,1,104,0.0
secondary,1,101,0.0
primary,1,95,0.0
many,1,95,0.0
rabbit,1,69,0.0
properties,1,797,0.0
multiple,1,56,0.0
visitor,1,59,0.0
shiro,1,38,0.0
sys,1,305,0.01
dfs,1,32,0.0
thymeleaf,1,33,0.0
fast,1,389,0.0
order,1,173,0.0
runner,1,355,0.0
world,1,614,0.01
sex,1,23,0.0
props,1,21,0.0
source,1,1052,0.0
realm,1,19,0.0
address,1,224,0.0
solver,1,158,0.0
shared,1,118,0.0
comparator,1,281,0.0
shift,1,57,0.0
employee,1,61,0.0
period,1,45,0.0
shifts,1,34,0.0
panel,1,1015,0.01
solution,1,39,0.0
preferences,1,64,0.0
table,1,810,0.0
beans,1,26,0.0
button,1,182,0.0
gae,1,30,0.0
buttons,1,25,0.0
ria,1,20,0.0
employees,1,11,0.0
day,1,30,0.0
and,1,551,0.0
modified,1,9,0.0
fulltime,1,9,0.0
weekend,1,8,0.0
morning,1,8,0.0
afternoon,1,8,0.0
workday,1,8,0.0
year,1,7,0.0
month,1,7,0.0
yes,1,7,0.0
name,1,455,0.0
dontcare,1,7,0.0
editor,1,171,0.0
panels,1,4,0.0
change,1,226,0.0
assignment,1,6,0.0
text,1,312,0.0
ftp,1,284,0.01
workflow,1,194,0.0
host,1,1294,0.01
files,1,196,0.0
bdd,1,39,0.0
configuration,1,1210,0.0
download,1,62,0.0
delegation,1,30,0.0
converters,1,26,0.0
selectors,1,25,0.0
selector,1,112,0.0
sftp,1,85,0.0
ftps,1,8,0.0
defs,1,21,0.0
helpers,1,29,0.0
post,1,68,0.0
disconnect,1,59,0.0
general,1,466,0.01
utilities,1,134,0.0
google,1,92,0.0
auth,1,187,0.0
guild,1,40,0.0
parser,1,1383,0.0
help,1,141,0.0
create,1,354,0.0
bot,1,27,0.0
zones,1,26,0.0
verify,1,26,0.0
msg,1,259,0.0
