keyword,doc_freq,total_freq,tfidf
util,9,9191,0.01
config,8,36411,0.08
search,8,13962,0.08
file,6,13783,0.02
impl,6,3904,0.01
exception,6,5884,0.01
utils,6,4896,0.01
filter,6,16101,0.05
service,6,8905,0.02
client,6,3787,0.01
result,6,8235,0.03
query,6,9326,0.05
factory,5,1816,0.0
request,5,5755,0.02
user,5,9318,0.04
index,5,10054,0.06
type,5,6853,0.01
api,5,15660,0.05
store,4,1658,0.01
core,4,3432,0.01
rest,4,4379,0.03
handler,4,941,0.0
response,4,2410,0.01
task,4,5103,0.02
common,4,2403,0.01
controller,4,15637,0.06
crawler,3,16601,0.28
document,3,3568,0.03
metadata,3,237,0.0
mongo,3,562,0.01
object,3,1040,0.0
cache,3,4628,0.02
server,3,1195,0.0
storage,3,1107,0.01
app,3,31555,0.11
field,3,6519,0.04
get,3,948,0.01
helper,3,7868,0.03
indexer,3,631,0.01
base,3,1950,0.01
info,3,4999,0.01
indexing,3,1895,0.04
resource,3,1022,0.01
create,3,4249,0.03
function,3,2692,0.01
web,3,50013,0.23
token,3,3551,0.02
data,2,4356,0.01
fetch,2,971,0.02
doc,2,2106,0.03
collector,2,2383,0.03
crawl,2,3606,0.07
queue,2,2254,0.02
system,2,695,0.0
options,2,724,0.01
processor,2,166,0.0
state,2,110,0.0
map,2,1812,0.01
input,2,451,0.0
parser,2,10001,0.04
attributes,2,31,0.0
main,2,52,0.0
related,2,1769,0.04
security,2,3938,0.03
authentication,2,3718,0.03
simple,2,853,0.0
persistence,2,733,0.01
annotations,2,1119,0.01
servlet,2,2970,0.03
dao,2,409,0.0
jwt,2,367,0.0
cached,2,389,0.01
schema,2,3053,0.03
delete,2,1630,0.01
lucene,2,506,0.01
update,2,1846,0.01
reader,2,685,0.0
node,2,465,0.0
builder,2,745,0.0
iterator,2,560,0.0
pair,2,48,0.0
domain,2,1172,0.01
configuration,2,565,0.0
http,2,1400,0.01
repository,2,567,0.0
dto,2,508,0.0
settings,2,464,0.0
custom,2,427,0.0
mapper,2,370,0.0
text,2,233,0.0
model,2,384,0.0
error,2,1413,0.01
term,2,679,0.01
database,2,6358,0.04
list,2,4481,0.01
facet,2,2595,0.04
synonym,2,2993,0.09
async,2,781,0.01
version,2,264,0.0
pipeline,1,516,0.01
provider,1,1489,0.01
smb,1,379,0.01
filesystem,1,298,0.01
committer,1,258,0.01
importer,1,258,0.0
mime,1,329,0.01
fetcher,1,162,0.0
cmis,1,138,0.0
atom,1,99,0.0
context,1,493,0.0
stage,1,96,0.0
generic,1,628,0.0
random,1,93,0.0
content,1,1478,0.01
checksum,1,63,0.0
option,1,100,0.0
specific,1,50,0.0
access,1,1433,0.01
name,1,580,0.0
checksummer,1,43,0.0
jdbc,1,62,0.0
shared,1,178,0.0
rac,1,23,0.0
demo,1,15,0.0
items,1,3,0.0
favor,1,3,0.0
filters,1,1713,0.02
auth,1,1978,0.01
module,1,871,0.0
email,1,713,0.01
aop,1,625,0.01
aws,1,594,0.01
listener,1,760,0.0
para,1,459,0.01
iot,1,424,0.01
zip,1,345,0.0
matcher,1,482,0.0
emailer,1,330,0.01
validation,1,883,0.01
mock,1,275,0.0
currency,1,252,0.0
ldap,1,745,0.01
metrics,1,218,0.0
dynamo,1,190,0.0
signer,1,174,0.0
command,1,2716,0.01
medline,1,918,0.02
lumongo,1,842,0.02
connection,1,967,0.01
associated,1,707,0.02
pool,1,629,0.0
charting,1,477,0.01
fields,1,725,0.01
wikipedia,1,380,0.01
internal,1,281,0.0
directory,1,879,0.01
hazelcast,1,362,0.01
segment,1,252,0.0
properties,1,659,0.0
terms,1,275,0.01
large,1,267,0.01
twitter,1,283,0.0
analyzer,1,1177,0.01
liblevenshtein,1,438,0.01
levenshtein,1,295,0.01
dawg,1,159,0.0
collection,1,157,0.0
transition,1,84,0.0
position,1,134,0.0
distance,1,426,0.0
transducer,1,61,0.0
candidate,1,33,0.0
memoized,1,30,0.0
standard,1,461,0.0
merge,1,139,0.0
intersection,1,18,0.0
prefix,1,217,0.0
element,1,15,0.0
comparator,1,65,0.0
and,1,315,0.0
split,1,12,0.0
generate,1,84,0.0
transposition,1,12,0.0
dictionary,1,859,0.01
serialization,1,19,0.0
subsumes,1,11,0.0
unsubsume,1,11,0.0
serializer,1,171,0.0
symmetric,1,6,0.0
immutable,1,6,0.0
sorted,1,167,0.0
algorithm,1,6,0.0
test,1,745,0.0
candidates,1,4,0.0
regr,1,4,0.0
syntastic,1,4,0.0
readme,1,4,0.0
nearest,1,4,0.0
wikidoc,1,4,0.0
lazy,1,4,0.0
take,1,3,0.0
match,1,1408,0.01
ipfs,1,620,0.02
ipfsstore,1,365,0.01
mahuta,1,229,0.01
springdata,1,200,0.01
pinning,1,171,0.0
deindexing,1,87,0.0
endpoint,1,85,0.0
lamba,1,75,0.0
throwing,1,74,0.0
java,1,238,0.0
cli,1,46,0.0
getindexes,1,42,0.0
createindex,1,42,0.0
indexes,1,199,0.0
health,1,94,0.0
pinata,1,41,0.0
annotation,1,194,0.0
elastic,1,132,0.0
page,1,68,0.0
relatedness,1,174,0.0
vector,1,261,0.0
indra,1,57,0.0
space,1,52,0.0
composition,1,34,0.0
composer,1,428,0.01
vectors,1,53,0.0
translator,1,42,0.0
mocked,1,18,0.0
analyzed,1,18,0.0
translation,1,110,0.0
resources,1,27,0.0
cosine,1,12,0.0
annoy,1,12,0.0
sum,1,11,0.0
translated,1,10,0.0
driver,1,754,0.01
threshold,1,11,0.0
block,1,63,0.0
scored,1,8,0.0
shannon,1,8,0.0
skew,1,8,0.0
city,1,8,0.0
jensen,1,8,0.0
alpha,1,8,0.0
analysis,1,8821,0.08
webservice,1,6409,0.12
item,1,4780,0.02
scheduler,1,5051,0.05
expression,1,3258,0.03
renderer,1,2822,0.02
render,1,2612,0.03
manager,1,3759,0.01
process,1,2559,0.02
tokenizer,1,2148,0.03
sort,1,1928,0.02
statistics,1,1823,0.02
html,1,2009,0.02
plugin,1,2131,0.01
script,1,1898,0.02
snippet,1,1608,0.03
join,1,1478,0.02
collapse,1,1443,0.03
screenshot,1,1482,0.03
searcher,1,17,0.0
language,1,296,0.0
answering,1,5,0.0
ranking,1,813,0.02
trend,1,5,0.0
post,1,33,0.0
processing,1,80,0.0
rank,1,2,0.0
condition,1,783,0.01
cors,1,122,0.0
admin,1,31335,0.38
cbean,1,20287,0.58
form,1,12750,0.12
log,1,12042,0.06
action,1,10762,0.05
dict,1,8417,0.18
bsentity,1,7316,0.21
bhv,1,7052,0.2
pager,1,6867,0.07
body,1,6641,0.07
role,1,6385,0.07
job,1,6172,0.06
label,1,5154,0.05
edit,1,4950,0.05
mapping,1,4867,0.05
crawling,1,4381,0.13
exentity,1,4015,0.12
fess,1,4010,0.12
exbhv,1,3829,0.11
bsbhv,1,3813,0.11
word,1,3843,0.05
dbmeta,1,3656,0.1
dbm,1,3656,0.1
mylasta,1,2178,0.06
elevate,1,2151,0.06
thumbnail,1,1995,0.04
allcommon,1,1911,0.05
group,1,2323,0.01
kuromoji,1,1784,0.05
url,1,3050,0.03
models,1,3091,0.02
inputs,1,969,0.02
objects,1,821,0.01
rules,1,692,0.01
responses,1,419,0.01
batch,1,812,0.01
operation,1,648,0.01
tasks,1,439,0.0
algolia,1,499,0.02
analytics,1,479,0.01
synonyms,1,715,0.03
partial,1,368,0.01
iterators,1,307,0.01
multiple,1,298,0.0
insights,1,299,0.01
mcm,1,296,0.01
key,1,2211,0.01
exceptions,1,402,0.0
sync,1,337,0.0
rule,1,1315,0.01
personalization,1,222,0.01
strategy,1,239,0.0
recommend,1,214,0.01
consequence,1,205,0.01
writable,1,88,0.0
net,1,96,0.0
daiml,1,65,0.0
template,1,1237,0.01
json,1,1150,0.0
mind,1,34,0.0
host,1,1856,0.02
websocket,1,24,0.0
master,1,668,0.01
executor,1,420,0.0
string,1,1037,0.0
summary,1,24,0.0
coordinate,1,25,0.0
worker,1,28,0.0
packet,1,21,0.0
slave,1,21,0.0
stream,1,1395,0.01
table,1,27,0.0
component,1,125,0.0
application,1,101,0.0
message,1,74,0.0
socket,1,71,0.0
topology,1,16,0.0
writer,1,580,0.0
environment,1,16,0.0
local,1,654,0.0
loader,1,323,0.0
zookeeper,1,12,0.0
basic,1,19,0.0
output,1,225,0.0
audit,1,152,0.0
errors,1,115,0.0
event,1,565,0.0
logging,1,161,0.0
locale,1,169,0.0
svn,1,61,0.0
date,1,347,0.0
liquibase,1,57,0.0
