keyword,doc_freq,total_freq,tfidf
collective,1,161,0.94
util,1,91,0.02
meta,1,70,0.11
trees,1,49,0.13
tree,1,35,0.03
model,1,42,0.01
classifier,1,42,0.09
flipper,1,28,0.13
evaluation,1,25,0.07
ranked,1,21,0.12
randomizable,1,21,0.12
instance,1,14,0.02
decision,1,14,0.05
simple,1,14,0.01
node,1,14,0.01
lazy,1,14,0.04
utils,1,7,0.0
functions,1,10,0.01
instances,1,7,0.02
neighbors,1,7,0.04
neighbor,1,7,0.03
ibk,1,7,0.04
panel,1,7,0.01
multiple,1,7,0.02
two,1,7,0.02
stage,1,7,0.03
single,1,7,0.01
advanced,1,7,0.02
confident,1,7,0.04
filtered,1,7,0.02
flip,1,7,0.03
forest,1,7,0.03
triangle,1,7,0.02
history,1,7,0.01
chopper,1,7,0.04
combiner,1,7,0.03
comparator,1,7,0.01
enhancer,1,7,0.04
clock,1,7,0.03
restartable,1,7,0.04
log,1,7,0.01
llgc,1,7,0.04
list,1,7,0.0
wrapper,1,7,0.01
splitter,1,7,0.03
helper,1,7,0.0
yatsi,1,7,0.04
woods,1,7,0.04
weighting,1,7,0.04
generator,1,6,0.01
