keyword,doc_freq,total_freq,tfidf
util,4,95,0.01
utils,4,53,0.01
text,4,69,0.03
sentiment,4,70,0.17
constants,3,18,0.01
analysis,3,53,0.06
domain,2,18,0.01
map,2,6,0.0
analyzer,2,48,0.07
get,2,15,0.01
record,2,13,0.01
count,2,13,0.02
file,2,19,0.0
properties,2,18,0.01
input,2,23,0.01
source,2,17,0.01
processor,2,298,0.17
api,2,57,0.02
pool,2,8,0.01
time,2,5,0.0
data,2,11,0.0
twitter,2,10,0.02
doubanmovie,1,69,0.26
ocr,1,27,0.06
crawl,1,16,0.04
dou,1,12,0.05
entity,1,12,0.01
ban,1,12,0.03
neuron,1,12,0.03
word,1,12,0.02
image,1,12,0.01
test,1,8,0.0
page,1,4,0.0
vec,1,4,0.01
hidden,1,4,0.01
load,1,4,0.0
comments,1,4,0.01
movie,1,4,0.01
kmeans,1,4,0.01
parse,1,4,0.0
tokenizer,1,4,0.01
http,1,4,0.0
crawler,1,4,0.01
entry,1,4,0.0
seed,1,4,0.01
haffman,1,4,0.02
learn,1,4,0.01
main,1,4,0.0
filter,1,3,0.0
analog,1,3,0.01
login,1,4,0.0
helper,1,3,0.0
examples,1,159,0.21
opinionanalysis,1,157,0.6
dataflow,1,160,0.43
pipeline,1,101,0.14
indexer,1,35,0.07
stats,1,27,0.02
options,1,22,0.02
model,1,21,0.0
control,1,18,0.02
calc,1,18,0.04
social,1,18,0.04
with,1,9,0.01
webresource,1,9,0.03
content,1,9,0.01
command,1,9,0.0
solutions,1,8,0.02
partitioned,1,7,0.02
table,1,7,0.0
ref,1,7,0.01
transforms,1,7,0.02
reshuffle,1,7,0.03
tags,1,7,0.01
dictionary,1,3,0.01
builder,1,3,0.0
tutorial,1,2,0.01
opinion,1,2,0.01
valence,1,7,0.03
tokens,1,7,0.01
modifying,1,6,0.02
type,1,4,0.0
score,1,4,0.01
vader,1,4,0.02
scores,1,2,0.01
lucene,1,2,0.0
raw,1,2,0.0
polarities,1,2,0.01
changing,1,1,0.0
handler,1,26,0.01
json,1,22,0.01
fundamentals,1,18,0.06
stock,1,9,0.02
portfolio,1,5,0.01
html,1,5,0.0
job,1,4,0.0
daily,1,3,0.01
alpha,1,2,0.0
min,1,2,0.0
year,1,2,0.01
bid,1,2,0.01
ask,1,2,0.0
over,1,2,0.0
twit,1,2,0.01
vantage,1,2,0.01
searcher,1,2,0.0
user,1,2,0.0
watchlist,1,2,0.01
size,1,2,0.0
net,1,2,0.0
gains,1,2,0.01
price,1,2,0.0
retriever,1,2,0.0
portfolios,1,1,0.0
five,1,1,0.0
database,1,1,0.0
leave,1,1,0.0
insert,1,1,0.0
execute,1,1,0.0
transacton,1,1,0.0
mock,1,1,0.0
action,1,1,0.0
low,1,1,0.0
about,1,1,0.0
index,1,1,0.0
strategies,1,1,0.0
moving,1,1,0.0
momentum,1,1,0.0
thirty,1,1,0.0
join,1,1,0.0
dividend,1,1,0.0
bscore,1,1,0.0
rosette,1,139,0.43
wrapper,1,48,0.03
plugin,1,47,0.03
language,1,47,0.06
categories,1,45,0.11
name,1,45,0.04
translation,1,45,0.09
entities,1,45,0.06
demoingest,1,4,0.01
field,1,2,0.0
mapper,1,2,0.0
demo,1,2,0.0
ingest,1,2,0.01
cli,1,2,0.0
tweet,1,12,0.03
run,1,10,0.01
hibernate,1,6,0.01
manager,1,4,0.0
statistics,1,4,0.0
thread,1,4,0.0
bayes,1,4,0.01
tweets,1,4,0.01
lda,1,4,0.01
sql,1,2,0.0
stop,1,2,0.0
words,1,2,0.0
worker,1,2,0.0
label,1,2,0.0
value,1,2,0.0
comparator,1,2,0.0
zone,1,2,0.0
day,1,2,0.0
intervals,1,2,0.01
date,1,2,0.0
naive,1,2,0.01
pair,1,2,0.0
generate,1,2,0.0
csv,1,3,0.0
