keyword,doc_freq,total_freq,tfidf
user,5,1328,0.04
activity,5,357,0.01
utils,4,731,0.01
test,4,288,0.0
main,4,120,0.0
model,3,134,0.0
view,3,618,0.01
constants,3,963,0.03
text,3,896,0.02
adapter,3,121,0.0
example,3,171,0.0
instrumented,3,20,0.0
service,2,645,0.01
person,2,341,0.03
controller,2,184,0.0
profile,2,82,0.01
network,2,459,0.02
social,2,589,0.08
impl,2,440,0.01
contact,2,119,0.01
filter,2,349,0.01
fragment,2,199,0.01
helper,2,126,0.0
listener,2,12,0.0
app,2,526,0.01
about,2,47,0.0
methods,2,146,0.01
handler,2,1009,0.02
server,2,936,0.02
list,2,527,0.01
common,2,718,0.02
response,2,155,0.0
data,2,591,0.01
task,2,1139,0.03
file,2,1334,0.02
message,1,222,0.01
repository,1,84,0.0
security,1,20,0.0
domain,1,265,0.01
web,1,227,0.01
config,1,48,0.0
configuration,1,10,0.0
gender,1,8,0.0
role,1,6,0.0
application,1,37,0.0
jpa,1,5,0.0
details,1,14,0.0
current,1,4,0.0
converter,1,15,0.0
avatar,1,3,0.0
change,1,38,0.0
password,1,144,0.01
sign,1,41,0.0
post,1,21,0.0
information,1,55,0.01
csrf,1,2,0.0
header,1,62,0.0
dto,1,2,0.0
authorized,1,1,0.0
mapper,1,106,0.01
swagger,1,1,0.0
widget,1,428,0.03
socialview,1,71,0.02
array,1,212,0.01
mention,1,32,0.01
hashtag,1,40,0.01
commons,1,34,0.0
edit,1,279,0.02
demo,1,17,0.0
auto,1,15,0.0
complete,1,23,0.0
socialviewdemo,1,16,0.0
hashtagable,1,12,0.0
mentionable,1,12,0.0
internal,1,10,0.0
suggestion,1,7,0.0
span,1,7,0.0
color,1,41,0.0
clickable,1,4,0.0
foreground,1,4,0.0
attacher,1,4,0.0
sociable,1,4,0.0
com,1,324,0.04
interest,1,3,0.0
click,1,2,0.0
watcher,1,2,0.0
extraexample,1,2,0.0
picasso,1,1,0.0
transformations,1,1,0.0
base,1,107,0.0
simple,1,50,0.0
url,1,27,0.0
regex,1,1,0.0
office,1,8,0.0
info,1,72,0.0
recyclerview,1,2,0.0
global,1,36,0.0
members,1,2,0.0
member,1,29,0.0
loader,1,147,0.01
image,1,334,0.01
feed,1,76,0.01
gson,1,50,0.01
entry,1,176,0.01
classes,1,38,0.0
friends,1,85,0.01
tab,1,68,0.01
json,1,214,0.01
gallery,1,29,0.0
lru,1,90,0.01
source,1,290,0.01
request,1,438,0.01
cache,1,221,0.01
register,1,22,0.0
retriever,1,166,0.02
images,1,11,0.0
comment,1,18,0.0
gcm,1,16,0.0
bookmark,1,15,0.0
friend,1,89,0.02
contacts,1,46,0.01
graphics,1,13,0.0
disk,1,11,0.0
bitmap,1,45,0.0
pager,1,81,0.01
lite,1,21,0.0
multi,1,189,0.01
part,1,11,0.0
volley,1,11,0.0
memory,1,20,0.0
string,1,119,0.0
phone,1,11,0.0
alignments,1,2267,0.41
index,1,1003,0.05
scorer,1,786,0.11
routines,1,585,0.12
smt,1,586,0.14
cube,1,457,0.06
features,1,250,0.02
tables,1,321,0.03
services,1,147,0.01
strategy,1,179,0.01
twitter,1,167,0.02
feature,1,105,0.01
query,1,152,0.01
records,1,125,0.02
record,1,122,0.01
util,1,466,0.0
provider,1,150,0.0
preprocessing,1,109,0.02
vectorize,1,110,0.03
output,1,123,0.0
api,1,451,0.01
profiling,1,140,0.02
extractors,1,64,0.01
conversations,1,72,0.01
embeddings,1,72,0.01
extractor,1,61,0.0
flink,1,67,0.01
old,1,73,0.01
lsa,1,61,0.01
extract,1,61,0.01
evaluation,1,61,0.01
vector,1,60,0.0
sink,1,88,0.01
score,1,57,0.01
distance,1,56,0.0
coord,1,56,0.01
endpoint,1,56,0.0
factory,1,299,0.0
format,1,191,0.01
persistence,1,52,0.0
strict,1,51,0.01
sample,1,7377,0.34
client,1,5819,0.16
showcase,1,2592,0.37
content,1,2331,0.12
mobilewebapp,1,1828,0.36
ipfs,1,1698,0.3
tests,1,1496,0.11
key,1,1425,0.06
dynatablerf,1,1262,0.25
hash,1,1226,0.09
node,1,1009,0.03
erasure,1,824,0.16
asymmetric,1,833,0.14
qrcode,1,816,0.15
validation,1,761,0.05
widgets,1,665,0.06
multibase,1,733,0.15
storage,1,743,0.04
decoder,1,713,0.05
cell,1,700,0.05
shared,1,704,0.06
event,1,632,0.01
mail,1,595,0.06
panel,1,385,0.02
exception,1,562,0.01
mutable,1,584,0.07
core,1,574,0.02
mobile,1,560,0.08
http,1,560,0.02
proxy,1,550,0.03
galois,1,525,0.1
slow,1,514,0.09
presenter,1,495,0.04
lambdaworks,1,475,0.09
symmetric,1,480,0.06
store,1,474,0.02
shareable,1,2,0.0
fancyaboutpagelibrary,1,12,0.0
fancyaboutpagelib,1,8,0.0
fancy,1,4,0.0
page,1,4,0.0
