keyword,doc_freq,total_freq,tfidf
list,7,254,0.04
array,6,172,0.05
sort,6,501,0.36
data,4,55,0.01
stack,4,126,0.08
tree,4,201,0.06
queue,4,99,0.05
linked,4,112,0.09
hash,3,47,0.03
activity,3,71,0.01
search,3,218,0.07
util,3,42,0.0
sorted,3,335,0.26
binary,3,196,0.1
table,2,12,0.0
demo,2,64,0.02
adapter,2,34,0.01
instrumented,2,16,0.01
example,2,16,0.0
test,2,17,0.0
user,2,9,0.0
utils,2,36,0.0
main,2,37,0.0
application,2,6,0.0
converters,2,6,0.0
operation,2,310,0.13
string,2,99,0.02
sorter,2,69,0.09
factory,2,57,0.01
root,2,87,0.05
comparator,2,20,0.01
quick,2,26,0.02
merge,2,63,0.04
bubble,2,28,0.03
insertion,2,19,0.03
lines,2,42,0.04
size,2,22,0.01
from,2,52,0.03
number,2,207,0.1
node,2,104,0.02
recursion,2,104,0.11
heap,2,77,0.07
find,2,88,0.07
fibonacci,2,64,0.08
generic,2,54,0.02
traversal,2,124,0.11
app,2,58,0.01
entry,1,3,0.0
volx,1,42,0.08
model,1,14,0.0
users,1,7,0.0
own,1,7,0.01
features,1,7,0.0
value,1,40,0.01
area,1,18,0.01
fragment,1,24,0.01
view,1,26,0.0
video,1,26,0.01
swipetabfragments,1,26,0.05
views,1,18,0.01
presenter,1,18,0.01
impl,1,16,0.0
manager,1,14,0.0
saved,1,12,0.01
folder,1,12,0.01
thumbnailutils,1,10,0.02
folderlistfragment,1,8,0.02
mvp,1,8,0.01
fragement,1,6,0.01
listing,1,6,0.01
adapters,1,4,0.0
viewpageradapter,1,4,0.01
cache,1,29,0.01
bitmap,1,4,0.0
observable,1,4,0.0
pager,1,2,0.0
disk,1,2,0.0
lru,1,13,0.01
viewmvp,1,2,0.0
custom,1,3,0.0
image,1,2,0.0
interaction,1,2,0.0
thumbnail,1,2,0.0
createor,1,2,0.0
pojo,1,2,0.0
info,1,2,0.0
update,1,2,0.0
longpressmenuoptions,1,2,0.0
press,1,2,0.0
options,1,2,0.0
generator,1,13,0.0
expandable,1,2,0.0
wrapper,1,617,0.2
hierarchy,1,136,0.14
content,1,68,0.03
attributes,1,51,0.03
structure,1,51,0.03
child,1,51,0.05
element,1,93,0.04
children,1,51,0.08
detach,1,51,0.1
unsorted,1,51,0.08
alphabetical,1,62,0.11
dependency,1,51,0.04
get,1,51,0.02
plugin,1,51,0.02
newline,1,34,0.06
text,1,34,0.01
single,1,34,0.02
module,1,34,0.01
execution,1,20,0.01
phase,1,20,0.03
exclusion,1,19,0.03
away,1,17,0.03
attribute,1,10,0.01
sorting,1,21,0.02
map,1,35,0.01
console,1,4,0.0
selection,1,16,0.01
bigsorter,1,289,0.5
serializer,1,124,0.05
internal,1,44,0.01
reader,1,29,0.01
writer,1,21,0.01
stream,1,20,0.01
line,1,17,0.01
fixed,1,19,0.01
record,1,18,0.01
java,1,29,0.01
csv,1,18,0.01
delimiter,1,17,0.03
input,1,17,0.0
json,1,16,0.0
non,1,29,0.02
closing,1,14,0.02
iterator,1,8,0.0
function,1,17,0.0
consumer,1,5,0.0
random,1,17,0.01
access,1,3,0.0
sub,1,14,0.01
output,1,3,0.0
trees,1,256,0.21
stacks,1,149,0.17
lists,1,127,0.1
graphs,1,146,0.15
decimal,1,132,0.13
sum,1,121,0.12
algorithm,1,101,0.05
queues,1,81,0.1
matrix,1,89,0.05
heaps,1,73,0.11
longest,1,81,0.09
nodes,1,59,0.05
max,1,71,0.05
min,1,71,0.05
bst,1,66,0.1
hashing,1,65,0.09
any,1,66,0.06
cipher,1,66,0.06
simple,1,62,0.01
hashmap,1,59,0.09
singly,1,53,0.07
base,1,55,0.01
linear,1,56,0.04
knapsack,1,55,0.07
subsequence,1,55,0.07
palindrome,1,55,0.08
palindromic,1,44,0.07
problem,1,46,0.04
check,1,44,0.02
tasks,1,35,0.02
