keyword,doc_freq,total_freq,tfidf
main,3,46,0.02
activity,3,63,0.04
listener,2,36,0.02
instrumented,2,15,0.02
example,2,15,0.01
test,2,15,0.01
text,2,9,0.01
adapter,2,21,0.02
recognizer,1,108,0.37
synthesiser,1,68,0.44
util,1,64,0.01
microphone,1,48,0.31
speech,1,24,0.1
chunked,1,24,0.12
response,1,24,0.02
google,1,24,0.06
flac,1,12,0.07
encoder,1,12,0.02
base,1,12,0.01
output,1,12,0.01
complex,1,12,0.04
fft,1,12,0.05
string,1,12,0.01
stream,1,12,0.01
analyzer,1,12,0.03
translator,1,12,0.03
translate,1,12,0.05
languages,1,12,0.05
duplex,1,12,0.08
live,1,1,0.0
view,1,1,0.0
list,1,58,0.03
app,1,55,0.04
service,1,32,0.01
common,1,32,0.03
notify,1,25,0.11
shake,1,24,0.15
database,1,25,0.03
widget,1,20,0.03
provider,1,20,0.01
replace,1,8,0.03
preference,1,8,0.02
simple,1,6,0.0
notification,1,6,0.01
info,1,6,0.0
ignore,1,4,0.01
reason,1,4,0.02
voice,1,1,0.0
wat,1,109,0.6
bot,1,109,0.32
chat,1,13,0.03
message,1,13,0.01
recycler,1,12,0.03
touch,1,12,0.03
click,1,12,0.03
splash,1,12,0.03
speaker,1,8,0.04
labels,1,8,0.03
diarization,1,8,0.05
