keyword,doc_freq,total_freq,tfidf
util,8,54475,0.03
parser,8,37452,0.06
model,8,19050,0.01
file,7,7553,0.01
configuration,7,2555,0.0
exception,6,8357,0.01
xml,6,7391,0.02
java,6,36318,0.1
code,6,3420,0.01
builder,5,8223,0.01
method,5,13084,0.04
type,5,13745,0.01
violations,5,1710,0.02
config,5,5021,0.0
analysis,4,43398,0.16
field,4,7174,0.02
string,4,4492,0.01
utils,4,2910,0.0
set,4,9618,0.02
node,4,5337,0.01
factory,4,9297,0.01
check,4,52658,0.19
pmd,4,10033,0.12
test,4,13973,0.01
violation,4,399,0.0
report,4,1573,0.01
descriptor,4,3336,0.01
impl,4,20660,0.02
action,4,8887,0.02
types,3,4681,0.01
annotation,3,2794,0.01
visitor,3,5422,0.02
tag,3,11630,0.04
core,3,15555,0.03
cpd,3,549,0.01
rule,3,2399,0.01
token,3,1285,0.0
result,3,2780,0.0
property,3,1379,0.0
lint,3,3422,0.04
tests,3,9367,0.04
service,3,655,0.0
detail,3,1540,0.01
initializer,3,1018,0.01
build,3,1129,0.01
graph,3,29778,0.11
instruction,2,17612,0.12
value,2,6467,0.01
writer,2,3378,0.01
data,2,2931,0.0
list,2,2882,0.0
command,2,1666,0.0
handler,2,2255,0.0
array,2,7210,0.02
wrapper,2,903,0.0
checks,2,55667,0.47
visitors,2,2062,0.02
rules,2,764,0.0
iterator,2,5054,0.02
declaration,2,2148,0.02
context,2,10891,0.02
tree,2,26253,0.06
use,2,832,0.01
unit,2,1145,0.01
plugin,2,2168,0.01
repository,2,623,0.0
mapper,2,794,0.0
source,2,4557,0.01
checkstyle,2,1127,0.01
style,2,800,0.0
cop,2,851,0.01
doc,2,617,0.0
severity,2,463,0.0
api,2,11472,0.02
android,2,5249,0.02
simian,2,388,0.01
gendarme,2,1014,0.01
error,2,1100,0.0
logger,2,405,0.0
git,2,365,0.0
perform,2,518,0.01
helper,2,894,0.0
global,2,703,0.0
credentials,2,167,0.0
performer,2,79,0.0
recorder,2,239,0.0
statement,2,9260,0.04
ast,2,9835,0.06
chain,2,5209,0.03
bean,2,3038,0.01
definition,2,2183,0.01
spring,2,2019,0.01
tool,2,1097,0.0
validator,2,2147,0.01
password,2,349,0.0
filter,2,5066,0.01
add,2,1142,0.0
label,2,4053,0.02
location,2,841,0.0
template,2,133,0.0
warnings,2,10912,0.12
dashboard,2,936,0.01
tokens,2,682,0.0
portlet,2,773,0.01
provider,2,2230,0.0
macro,2,651,0.01
module,2,5356,0.01
detector,2,755,0.0
issue,2,1093,0.01
adapter,2,1548,0.0
immutable,1,3245,0.02
dexbacked,1,1791,0.02
base,1,3700,0.0
iface,1,1785,0.02
dex,1,5380,0.05
encoded,1,1207,0.01
backed,1,1088,0.01
reference,1,3514,0.01
item,1,1328,0.0
pool,1,1244,0.0
res,1,793,0.01
debug,1,2232,0.01
formats,1,629,0.0
rewriter,1,825,0.01
adaptors,1,612,0.01
raw,1,728,0.0
decoder,1,663,0.0
local,1,2712,0.01
struct,1,319,0.0
format,1,268,0.0
proto,1,385,0.0
info,1,1187,0.0
section,1,258,0.0
payload,1,255,0.0
htl,1,682,0.01
slice,1,491,0.0
session,1,686,0.0
constants,1,1964,0.0
should,1,1154,0.01
lex,1,261,0.0
tokenizer,1,94,0.0
usage,1,775,0.01
find,1,462,0.0
matcher,1,1495,0.01
version,1,971,0.0
extensions,1,379,0.0
closed,1,73,0.0
aem,1,69,0.0
predicate,1,220,0.0
resourceresolver,1,60,0.0
close,1,131,0.0
display,1,60,0.0
resource,1,904,0.0
logged,1,104,0.0
out,1,690,0.0
tags,1,59,0.0
resources,1,892,0.0
variable,1,3332,0.01
sling,1,42,0.0
checker,1,1590,0.01
resolver,1,481,0.0
strategy,1,35,0.0
injector,1,34,0.0
mandatory,1,49,0.0
sly,1,30,0.0
prefer,1,92,0.0
php,1,3408,0.03
phpunit,1,439,0.01
phpdepend,1,351,0.0
codesniffer,1,249,0.0
profile,1,582,0.0
sniffer,1,278,0.0
phpmd,1,189,0.0
sensor,1,973,0.01
executor,1,301,0.0
depend,1,140,0.0
duplications,1,88,0.0
importer,1,150,0.0
profiles,1,60,0.0
sonar,1,1105,0.01
internal,1,755,0.0
coverage,1,64,0.0
priority,1,449,0.0
metrics,1,70,0.0
suite,1,131,0.0
tools,1,1437,0.01
ruleset,1,59,0.0
exporter,1,87,0.0
phpunitxml,1,42,0.0
summaryxml,1,42,0.0
and,1,1960,0.01
lib,1,2825,0.01
parsers,1,1935,0.01
reports,1,217,0.0
climate,1,207,0.0
codeclimate,1,184,0.0
cpp,1,446,0.0
reporter,1,275,0.0
kotlin,1,150,0.0
finder,1,1274,0.01
filtering,1,206,0.0
findbugs,1,906,0.01
ordered,1,374,0.0
css,1,252,0.0
resharper,1,237,0.0
perl,1,256,0.0
critic,1,275,0.0
zpt,1,173,0.0
narc,1,169,0.0
lang,1,773,0.0
sbt,1,144,0.0
scalac,1,255,0.0
klocwork,1,43,0.0
google,1,66,0.0
prone,1,221,0.0
jvctgl,1,340,0.01
lab,1,184,0.0
taglib,1,12821,0.15
nested,1,9705,0.1
tiles,1,6425,0.08
expression,1,5375,0.02
html,1,5735,0.02
commands,1,4185,0.01
logic,1,3968,0.02
bytecode,1,3917,0.04
resolve,1,2780,0.02
name,1,3232,0.01
servlet,1,3591,0.01
with,1,4785,0.01
mock,1,2430,0.01
not,1,2505,0.01
surefire,1,2036,0.02
security,1,2032,0.01
methods,1,1298,0.01
unused,1,1932,0.02
naming,1,1957,0.02
models,1,845,0.0
response,1,807,0.0
dao,1,294,0.0
controllers,1,210,0.0
scan,1,415,0.0
role,1,175,0.0
exceptions,1,1140,0.0
validations,1,137,0.0
manager,1,2851,0.0
user,1,232,0.0
group,1,606,0.0
jira,1,91,0.0
repo,1,77,0.0
application,1,438,0.0
permission,1,190,0.0
container,1,1429,0.0
smtp,1,63,0.0
task,1,281,0.0
finding,1,56,0.0
hardcode,1,56,0.0
common,1,525,0.0
secret,1,55,0.0
top,1,117,0.0
schedule,1,49,0.0
utilities,1,46,0.0
roles,1,28,0.0
level,1,814,0.0
vulnerable,1,42,0.0
jwt,1,62,0.0
analytics,1,42,0.0
instance,1,3513,0.01
filters,1,938,0.0
resolution,1,3742,0.04
fix,1,3419,0.03
quick,1,3419,0.02
empty,1,3212,0.02
marker,1,801,0.0
emptycode,1,684,0.01
swtbot,1,554,0.01
instantiation,1,879,0.01
wizard,1,532,0.0
performance,1,484,0.0
project,1,1525,0.01
design,1,444,0.0
page,1,741,0.0
bot,1,375,0.0
properties,1,1692,0.0
block,1,2362,0.01
domain,1,818,0.0
migration,1,276,0.0
autoboxing,1,264,0.0
stmt,1,256,0.0
dialog,1,246,0.0
errorprone,1,240,0.0
optimization,1,236,0.0
cache,1,1617,0.0
unnecessary,1,309,0.0
workspace,1,273,0.0
validation,1,344,0.0
jvctb,1,404,0.01
bitbucket,1,208,0.0
server,1,314,0.0
jvcts,1,99,0.0
stash,1,36,0.0
proxy,1,67,0.0
details,1,158,0.0
bitbucketserver,1,9,0.0
full,1,65,0.0
client,1,2118,0.0
invoker,1,7,0.0
ignore,1,163,0.0
path,1,1819,0.0
calculator,1,3,0.0
email,1,41,0.0
main,1,369,0.0
activity,1,154,0.0
sample,1,2,0.0
charts,1,836,0.01
issues,1,813,0.01
views,1,782,0.0
health,1,955,0.01
steps,1,688,0.0
groovy,1,764,0.01
chart,1,488,0.0
axivion,1,528,0.01
warning,1,685,0.01
trend,1,540,0.0
fixed,1,1957,0.01
graphs,1,197,0.0
scanner,1,1332,0.01
history,1,384,0.0
exclude,1,325,0.0
include,1,775,0.01
console,1,498,0.0
ipa,1,38976,0.42
callgraph,1,28212,0.34
shrike,1,22506,0.3
ssa,1,20232,0.22
propagation,1,15760,0.15
cast,1,15722,0.13
demandpa,1,12028,0.16
loader,1,12131,0.02
dataflow,1,9279,0.09
dalvik,1,8709,0.12
intset,1,8376,0.11
call,1,8986,0.03
cfg,1,8947,0.07
collections,1,8423,0.07
vector,1,6104,0.03
slicer,1,5625,0.07
key,1,5547,0.01
cfa,1,5444,0.07
ifds,1,5353,0.07
pointer,1,5182,0.05
selector,1,5537,0.02
alg,1,5164,0.05
flowgraph,1,4597,0.06
flow,1,4685,0.02
reflection,1,4528,0.02
bit,1,3903,0.02
registry,1,2610,0.01
dry,1,899,0.01
compiler,1,1150,0.01
jcreport,1,702,0.01
fxcop,1,575,0.01
regexp,1,702,0.01
ccm,1,375,0.0
javac,1,437,0.0
linker,1,457,0.0
dupfinder,1,288,0.0
line,1,2425,0.01
eclipse,1,1990,0.02
clang,1,433,0.01
controller,1,953,0.0
welcome,1,4,0.0
web,1,657,0.0
app,1,100,0.0
example,1,361,0.0
message,1,1104,0.0
providers,1,828,0.0
entities,1,742,0.0
yml,1,502,0.01
remove,1,444,0.0
transformation,1,243,0.0
walker,1,299,0.0
engine,1,1394,0.0
reader,1,3918,0.01
aware,1,509,0.0
modules,1,185,0.0
query,1,290,0.0
invalid,1,980,0.0
includes,1,90,0.0
excludes,1,90,0.0
print,1,343,0.0
chains,1,51,0.0
patch,1,109,0.0
policy,1,3600,0.02
merge,1,224,0.0
plugins,1,60,0.0
invocation,1,624,0.0
json,1,286,0.0
dom,1,131,0.0
templates,1,43,0.0
parameter,1,2259,0.01
