keyword,doc_freq,total_freq,tfidf
command,1,40,0.14
renderer,1,40,0.28
cli,1,40,0.31
model,1,40,0.06
griffin,1,20,0.61
page,1,10,0.06
server,1,10,0.03
handlebars,1,10,0.31
initializer,1,10,0.12
preview,1,10,0.12
data,1,10,0.02
cache,1,10,0.04
cacher,1,10,0.22
indexer,1,10,0.15
configurator,1,10,0.15
info,1,10,0.02
handler,1,10,0.02
directory,1,10,0.09
crawler,1,10,0.14
single,1,10,0.07
index,1,10,0.05
parsable,1,10,0.31
configuration,1,10,0.03
keys,1,10,0.14
code,1,10,0.05
block,1,10,0.07
emitter,1,10,0.17
post,1,10,0.08
publish,1,10,0.14
parser,1,10,0.03
