keyword,doc_freq,total_freq,tfidf
api,3,1391,0.32
data,3,225,0.03
user,3,223,0.06
time,3,23,0.01
handler,3,211,0.04
orders,2,182,0.21
order,2,500,0.35
get,2,85,0.04
fundamentals,2,61,0.12
quote,2,69,0.08
exception,2,110,0.01
type,2,186,0.02
balance,2,101,0.11
book,2,158,0.12
price,2,5,0.01
endpoint,1,309,0.21
account,1,272,0.19
methods,1,118,0.09
element,1,95,0.05
holder,1,56,0.03
info,1,71,0.01
request,1,78,0.02
authorize,1,38,0.07
ticker,1,37,0.05
investment,1,34,0.07
basic,1,35,0.01
robinhood,1,27,0.06
make,1,26,0.03
throwables,1,23,0.05
method,1,13,0.01
limit,1,21,0.02
accounts,1,25,0.03
parameter,1,14,0.01
wrapper,1,22,0.01
parameters,1,13,0.01
affiliation,1,14,0.02
employment,1,14,0.03
trigger,1,14,0.01
stop,1,13,0.01
manager,1,13,0.0
position,1,57,0.04
market,1,45,0.05
instrument,1,12,0.02
not,1,11,0.0
token,1,8,0.0
wrappers,1,7,0.01
positions,1,7,0.01
balances,1,7,0.01
array,1,7,0.0
header,1,7,0.0
rate,1,7,0.01
logged,1,7,0.01
security,1,7,0.0
quodd,1,10,0.02
crypto,1,6,0.01
message,1,6,0.0
client,1,6,0.0
iex,1,6,0.01
real,1,6,0.01
trade,1,49,0.06
thread,1,32,0.01
fxcm,1,3,0.01
update,1,20,0.01
common,1,817,0.23
beans,1,393,0.39
core,1,387,0.1
processors,1,290,0.28
processor,1,241,0.07
event,1,274,0.06
reports,1,195,0.24
report,1,191,0.12
command,1,214,0.06
utils,1,209,0.01
orderbook,1,149,0.23
symbol,1,127,0.11
result,1,128,0.03
binary,1,125,0.07
events,1,78,0.03
wait,1,119,0.15
rest,1,116,0.05
state,1,107,0.03
cmd,1,92,0.09
configuration,1,96,0.02
strategy,1,90,0.03
serialization,1,89,0.06
query,1,86,0.03
exchange,1,86,0.09
journaling,1,79,0.13
config,1,79,0.01
dsl,1,77,0.08
bucket,1,74,0.07
add,1,73,0.04
commands,1,42,0.02
impl,1,69,0.01
biprocessor,1,68,0.12
specification,1,61,0.07
matcher,1,59,0.03
util,1,36,0.0
profile,1,58,0.04
engine,1,58,0.03
hash,1,56,0.04
helper,1,51,0.01
batch,1,50,0.04
json,1,22,0.01
stock,1,9,0.01
pool,1,37,0.02
portfolio,1,40,0.05
html,1,5,0.0
sentiment,1,5,0.01
job,1,4,0.0
daily,1,3,0.0
alpha,1,2,0.0
min,1,2,0.0
year,1,2,0.0
bid,1,2,0.0
ask,1,2,0.0
over,1,2,0.0
twit,1,2,0.0
vantage,1,2,0.0
searcher,1,2,0.0
watchlist,1,2,0.0
size,1,5,0.0
net,1,2,0.0
gains,1,2,0.0
twitter,1,2,0.0
retriever,1,2,0.0
portfolios,1,1,0.0
five,1,1,0.0
database,1,1,0.0
leave,1,1,0.0
insert,1,1,0.0
execute,1,1,0.0
transacton,1,1,0.0
mock,1,1,0.0
action,1,30,0.01
low,1,1,0.0
about,1,1,0.0
index,1,1,0.0
strategies,1,1,0.0
moving,1,1,0.0
momentum,1,1,0.0
thirty,1,1,0.0
join,1,1,0.0
dividend,1,1,0.0
bscore,1,1,0.0
