keyword,doc_freq,total_freq,tfidf
stream,19,9667,0.02
exception,19,4947,0.0
utils,15,3915,0.0
util,12,1888,0.0
map,11,2243,0.0
config,11,4228,0.0
service,11,4006,0.0
data,11,4709,0.0
array,10,1796,0.01
factory,10,3574,0.0
type,10,1991,0.0
source,8,4088,0.01
adapter,8,1589,0.0
impl,8,8738,0.01
time,8,1052,0.0
error,8,1043,0.0
view,7,4863,0.01
functions,7,204,0.0
provider,7,1354,0.0
listener,7,2327,0.0
activity,7,699,0.0
file,7,1552,0.0
manager,7,4835,0.01
test,7,575,0.0
function,7,1378,0.0
example,7,964,0.0
node,7,3323,0.01
application,7,403,0.0
helper,6,325,0.0
filter,6,1599,0.0
json,6,1704,0.0
context,6,1538,0.0
controller,6,1100,0.0
video,6,4482,0.02
list,6,2331,0.0
client,6,2753,0.01
server,6,3917,0.01
result,6,658,0.0
tree,6,1752,0.01
cache,6,1276,0.0
date,6,227,0.0
api,5,1132,0.0
repository,5,1393,0.0
stats,5,1956,0.01
socket,5,661,0.0
user,5,189,0.0
handler,5,1854,0.0
app,5,434,0.0
streams,5,365,0.0
text,5,646,0.0
audio,5,25666,0.16
request,5,1454,0.0
string,5,696,0.0
main,5,277,0.0
base,5,679,0.0
state,5,2047,0.0
hash,5,1295,0.01
entry,5,1313,0.0
index,5,648,0.0
parser,4,1043,0.0
field,4,197,0.0
record,4,320,0.0
buffer,4,3950,0.02
with,4,339,0.0
single,4,413,0.0
sink,4,5931,0.05
event,4,5406,0.01
format,4,3145,0.01
value,4,802,0.0
login,4,167,0.0
types,4,422,0.0
common,4,1281,0.0
consumer,4,220,0.0
serializer,4,1698,0.01
table,4,641,0.0
streaming,4,765,0.01
custom,4,713,0.0
item,4,393,0.0
range,4,499,0.0
message,4,986,0.0
storage,4,484,0.0
model,4,156,0.0
configuration,4,2647,0.0
query,4,926,0.0
resolver,4,259,0.0
media,4,9922,0.05
simple,4,857,0.0
min,4,335,0.0
rest,4,565,0.0
reader,4,637,0.0
writer,4,650,0.0
collector,3,207,0.0
benchmark,3,282,0.0
builder,3,497,0.0
pool,3,239,0.0
input,3,1081,0.0
primitive,3,177,0.0
core,3,3517,0.01
token,3,882,0.0
,3,540,
task,3,365,0.0
log,3,4125,0.01
store,3,1206,0.0
demo,3,62,0.0
transformer,3,877,0.0
count,3,221,0.0
callback,3,281,0.0
renderer,3,1813,0.01
group,3,1023,0.0
player,3,420,0.0
response,3,1246,0.0
files,3,91,0.0
http,3,106,0.0
schema,3,183,0.0
set,3,1595,0.0
iterator,3,587,0.0
runtime,3,3875,0.02
instrumented,3,161,0.0
resource,3,478,0.0
person,3,40,0.0
protocol,3,7181,0.04
exceptions,3,2829,0.01
object,3,3570,0.01
layout,3,1379,0.01
retry,3,1035,0.01
action,3,164,0.0
predicate,3,560,0.0
strategy,3,570,0.0
web,3,107,0.0
max,3,237,0.0
items,3,121,0.0
entity,3,1269,0.0
interceptor,3,200,0.0
page,3,137,0.0
linked,3,478,0.0
sum,3,561,0.01
lambda,3,389,0.0
connection,3,35,0.0
topic,3,162,0.0
metrics,3,768,0.0
closeable,3,172,0.0
credential,3,36,0.0
decoder,2,1873,0.01
csv,2,240,0.0
mapper,2,674,0.0
and,2,141,0.0
city,2,135,0.0
header,2,296,0.0
logger,2,746,0.0
selector,2,436,0.0
property,2,642,0.0
thread,2,424,0.0
kafka,2,283,0.0
snapshot,2,706,0.01
tag,2,44,0.0
role,2,151,0.0
spring,2,124,0.0
security,2,323,0.0
pager,2,20,0.0
hello,2,157,0.0
serde,2,44,0.0
dispatcher,2,343,0.0
avro,2,169,0.0
runnable,2,132,0.0
address,2,690,0.0
partitioner,2,249,0.0
extractor,2,39,0.0
out,2,141,0.0
performance,2,18,0.0
network,2,336,0.0
thumbnail,2,22,0.0
tests,2,39,0.0
playback,2,114,0.0
actions,2,116,0.0
system,2,1439,0.01
persistent,2,254,0.0
check,2,47,0.0
settings,2,20,0.0
swipe,2,11,0.0
receiver,2,307,0.0
java,2,1315,0.0
processor,2,548,0.0
job,2,142,0.0
flat,2,33,0.0
converter,2,36,0.0
collections,2,3464,0.03
one,2,333,0.0
iterable,2,239,0.0
sequence,2,316,0.0
mutable,2,295,0.0
from,2,134,0.0
comparison,2,182,0.0
dao,2,343,0.0
chat,2,193,0.0
codec,2,23952,0.12
transform,2,8221,0.04
device,2,6486,0.03
rtp,2,5680,0.08
control,2,4462,0.02
rtcp,2,2691,0.04
encoder,2,1908,0.01
connector,2,1894,0.01
packetizer,2,1231,0.02
output,2,1096,0.0
write,2,1050,0.01
operation,2,1015,0.0
operations,2,963,0.01
bitmap,2,7,0.0
collect,2,162,0.0
gson,2,302,0.0
holder,2,237,0.0
fast,2,152,0.0
handling,2,109,0.0
visitor,2,93,0.0
collection,2,341,0.0
all,2,98,0.0
servlet,2,22,0.0
session,2,492,0.0
last,2,152,0.0
repeat,2,50,0.0
indexed,2,201,0.0
take,2,5,0.0
print,2,24,0.0
observable,2,247,0.0
order,2,404,0.0
domain,2,31,0.0
feature,2,15,0.0
annotation,2,196,0.0
post,2,204,0.0
end,2,26,0.0
stack,2,432,0.0
threading,2,208,0.0
binary,2,231,0.0
search,2,171,0.0
calculator,2,292,0.0
graph,2,1166,0.01
expression,2,208,0.0
version,2,831,0.0
statement,2,34,0.0
trie,2,360,0.0
multi,2,488,0.0
serialization,2,428,0.0
empty,2,351,0.0
insert,2,284,0.0
update,2,274,0.0
runner,2,71,0.0
supplier,2,24,0.0
retriever,2,10,0.0
name,2,67,0.0
spliterator,2,182,0.0
constructor,2,166,0.0
internal,2,1218,0.0
fragment,2,69,0.0
scanner,2,31,0.0
metadata,2,345,0.0
screen,2,309,0.0
meta,2,386,0.0
subscribe,2,86,0.0
consumers,2,88,0.0
use,2,340,0.0
info,2,494,0.0
nashorn,2,204,0.0
average,2,27,0.0
rdf,2,53,0.0
local,2,259,0.0
jwt,2,121,0.0
grouping,2,411,0.0
publisher,2,210,0.0
quick,1,232,0.0
benchmarks,1,61,0.0
functional,1,10,0.0
mappers,1,8,0.0
jdk,1,8,0.0
standard,1,61,0.0
open,1,273,0.0
slice,1,8,0.0
memory,1,207,0.0
pair,1,71,0.0
ioutils,1,5,0.0
subset,1,19,0.0
tuples,1,3,0.0
dump,1,3203,0.03
tracker,1,1700,0.01
limiter,1,812,0.01
uuid,1,663,0.01
formatter,1,624,0.0
tracking,1,456,0.0
locator,1,383,0.0
