keyword,doc_freq,total_freq,tfidf
file,4,669,0.0
view,4,510,0.0
text,3,1962,0.01
html,3,338,0.0
parser,2,2637,0.02
syntax,2,1434,0.05
manager,2,771,0.0
factory,2,632,0.0
code,2,582,0.01
document,2,540,0.01
xml,2,423,0.0
image,2,363,0.0
editor,2,369,0.01
search,2,280,0.0
script,2,306,0.0
java,2,285,0.0
style,2,220,0.0
util,2,168,0.0
activity,2,139,0.0
rsyntaxtextarea,1,14182,0.91
token,1,6783,0.08
maker,1,5566,0.17
modes,1,4653,0.26
rtextarea,1,3814,0.24
fold,1,1263,0.05
folding,1,1260,0.06
painter,1,1171,0.04
area,1,1136,0.03
background,1,580,0.01
strategy,1,580,0.01
tip,1,538,0.02
template,1,466,0.01
highlight,1,502,0.02
templates,1,375,0.01
focusabletip,1,427,0.03
line,1,434,0.01
icon,1,419,0.01
result,1,419,0.0
map,1,348,0.0
location,1,342,0.01
info,1,334,0.0
gutter,1,340,0.02
generator,1,326,0.0
rtf,1,320,0.02
range,1,292,0.0
occurrence,1,273,0.01
marker,1,273,0.01
pane,1,259,0.01
demo,1,234,0.0
input,1,232,0.0
rta,1,232,0.01
kit,1,232,0.01
reader,1,232,0.0
rythm,1,448,0.03
impl,1,388,0.0
reference,1,31,0.0
settings,1,39,0.0
highlighter,1,202,0.01
bit,1,24,0.0
plus,1,256,0.01
minus,1,24,0.0
type,1,172,0.0
shift,1,18,0.0
not,1,18,0.0
and,1,47,0.0
provider,1,24,0.0
element,1,14,0.0
greater,1,12,0.0
attr,1,12,0.0
colon,1,12,0.0
mul,1,12,0.0
less,1,57,0.0
right,1,12,0.0
remainder,1,12,0.0
div,1,12,0.0
contributor,1,9,0.0
annotator,1,7,0.0
formatter,1,7,0.0
tokens,1,6,0.0
lparen,1,6,0.0
send,1,6,0.0
multi,1,6,0.0
args,1,6,0.0
unsigned,1,6,0.0
lbrace,1,6,0.0
named,1,6,0.0
rbracket,1,6,0.0
rbrace,1,6,0.0
digits,1,6,0.0
hashtag,1,6,0.0
lbracket,1,6,0.0
channel,1,6,0.0
xor,1,6,0.0
rparen,1,6,0.0
semicolon,1,6,0.0
viewer,1,129,0.0
vudit,1,46,0.0
application,1,29,0.0
video,1,23,0.0
doc,1,23,0.0
test,1,42,0.0
player,1,23,0.0
lite,1,22,0.0
web,1,22,0.0
base,1,253,0.0
lexer,1,727,0.02
language,1,420,0.01
utils,1,225,0.0
dialog,1,143,0.0
fragment,1,131,0.0
adapter,1,96,0.0
files,1,54,0.0
dagger,1,49,0.0
component,1,160,0.0
commons,1,46,0.0
module,1,46,0.0
widget,1,45,0.0
json,1,180,0.0
sql,1,152,0.0
python,1,170,0.01
kotlin,1,46,0.0
lua,1,150,0.01
lisp,1,218,0.01
cpp,1,34,0.0
markdown,1,48,0.0
shell,1,148,0.0
app,1,61,0.0
groovy,1,142,0.0
php,1,138,0.01
javascript,1,25,0.0
listener,1,224,0.0
main,1,22,0.0
processor,1,21,0.0
actionscript,1,20,0.0
preference,1,20,0.0
csharp,1,19,0.0
visualbasic,1,19,0.0
explorer,1,19,0.0
ruby,1,134,0.01
basic,1,87,0.0
database,1,18,0.0
suggestion,1,17,0.0
