keyword,doc_freq,total_freq,tfidf
editor,10,3933,0.16
file,10,2671,0.02
view,9,3816,0.05
utils,9,4225,0.02
main,8,700,0.01
listener,8,1076,0.01
activity,7,1681,0.02
text,7,2315,0.04
util,6,1874,0.01
component,6,1232,0.03
adapter,6,600,0.01
edit,6,921,0.04
event,6,870,0.01
manager,5,572,0.01
fragment,5,582,0.01
tree,5,2233,0.05
settings,5,895,0.02
exception,5,435,0.0
model,5,3308,0.02
node,5,1332,0.02
menu,5,1663,0.06
widget,4,233,0.01
item,4,579,0.01
list,4,468,0.01
markdown,4,771,0.07
image,4,983,0.02
color,4,957,0.03
field,4,377,0.01
dialog,4,1301,0.03
type,4,964,0.01
app,3,384,0.01
provider,3,978,0.02
custom,3,168,0.0
code,3,1465,0.04
icon,3,628,0.04
base,3,216,0.0
helper,3,333,0.01
action,3,514,0.01
panel,3,5544,0.19
swing,3,5709,0.37
dialogs,3,171,0.01
tool,3,846,0.03
module,3,690,0.02
commons,3,1135,0.06
font,2,195,0.01
service,2,866,0.01
permission,2,114,0.0
shader,2,87,0.01
pager,2,12,0.0
builder,2,219,0.0
example,2,15,0.0
instrumented,2,15,0.0
test,2,81,0.0
task,2,252,0.0
files,2,139,0.01
changed,2,90,0.01
save,2,109,0.01
constants,2,160,0.0
components,2,211,0.01
object,2,389,0.01
factory,2,781,0.01
property,2,205,0.01
generic,2,108,0.0
actions,2,367,0.01
add,2,152,0.01
parser,2,460,0.01
remove,2,111,0.01
keys,2,101,0.01
message,2,176,0.0
find,2,516,0.03
project,2,486,0.02
html,2,268,0.01
focus,2,155,0.02
preference,2,585,0.03
document,2,510,0.02
renderer,2,793,0.03
open,2,303,0.01
search,2,386,0.01
background,2,249,0.01
expression,2,638,0.02
statement,2,504,0.02
language,2,795,0.04
block,2,603,0.02
command,2,241,0.0
variable,2,315,0.01
updater,2,215,0.01
java,2,237,0.01
frame,2,261,0.01
scene,2,1318,0.08
plugins,2,4017,0.18
data,2,758,0.01
platform,2,1136,0.06
loader,2,285,0.01
lights,2,118,0.01
light,2,91,0.01
style,2,55,0.0
events,2,301,0.01
button,2,779,0.03
delete,2,429,0.02
widgets,2,173,0.01
xml,2,123,0.0
processor,2,244,0.01
explorer,2,641,0.05
modules,2,1089,0.05
attribute,2,882,0.04
update,1,11,0.0
path,1,432,0.01
receiver,1,6,0.0
scroll,1,96,0.01
bottom,1,2,0.0
reached,1,2,0.0
change,1,86,0.0
interactive,1,2,0.0
directory,1,8,0.0
holder,1,44,0.0
built,1,1,0.0
extension,1,188,0.01
mua,1,53,0.01
help,1,58,0.0
preview,1,19,0.0
splash,1,12,0.0
sync,1,2,0.0
content,1,69,0.0
storage,1,72,0.0
about,1,386,0.02
undo,1,187,0.02
redo,1,109,0.02
word,1,1,0.0
cloud,1,1,0.0
cheatsheet,1,1,0.0
query,1,1,0.0
entity,1,9,0.0
process,1,880,0.03
blur,1,76,0.01
http,1,49,0.0
input,1,107,0.0
dispatcher,1,46,0.0
grayscale,1,42,0.0
threshold,1,42,0.0
mirroring,1,38,0.0
transferable,1,162,0.02
reflection,1,33,0.0
information,1,23,0.0
multicaster,1,23,0.0
network,1,72,0.0
pixel,1,19,0.0
extraction,1,19,0.0
suen,1,19,0.0
chooser,1,310,0.02
labeling,1,19,0.0
limit,1,19,0.0
resize,1,19,0.0
laplace,1,19,0.0
sobel,1,19,0.0
closing,1,31,0.0
translate,1,35,0.0
stentiford,1,19,0.0
median,1,19,0.0
erosion,1,19,0.0
holt,1,19,0.0
horizontal,1,72,0.01
translation,1,204,0.02
resource,1,74,0.0
pane,1,294,0.02
resources,1,22,0.0
scrollable,1,16,0.0
extended,1,33,0.0
bundle,1,15,0.0
collapse,1,88,0.01
rename,1,317,0.03
expand,1,15,0.0
properties,1,85,0.0
key,1,411,0.01
duplicate,1,13,0.0
caret,1,12,0.0
drop,1,63,0.0
github,1,46,0.0
repo,1,10,0.0
initial,1,9,0.0
request,1,9,0.0
area,1,140,0.01
blink,1,8,0.0
locale,1,7,0.0
format,1,2079,0.07
highlighter,1,898,0.08
todotxt,1,448,0.06
span,1,437,0.03
general,1,456,0.03
todo,1,374,0.03
plaintext,1,337,0.04
txt,1,328,0.03
filesystem,1,310,0.03
converter,1,426,0.01
paragraph,1,217,0.02
creator,1,210,0.01
hleditor,1,208,0.03
viewer,1,272,0.02
share,1,182,0.01
openeditor,1,176,0.02
info,1,222,0.0
compat,1,176,0.01
backend,1,159,0.01
pattern,1,152,0.01
auto,1,146,0.01
slider,1,143,0.01
stt,1,124,0.02
function,1,647,0.01
evaluator,1,658,0.03
algorithm,1,241,0.01
menubar,1,214,0.02
export,1,225,0.01
history,1,259,0.01
atom,1,156,0.01
trigonometric,1,144,0.02
simple,1,250,0.0
desktop,1,119,0.01
listeners,1,50,0.0
target,1,145,0.01
root,1,179,0.01
languages,1,60,0.01
other,1,160,0.01
line,1,400,0.01
frames,1,74,0.01
comment,1,72,0.0
textarea,1,60,0.01
algogo,1,60,0.01
sin,1,48,0.01
cos,1,48,0.01
tan,1,48,0.01
conditional,1,48,0.0
loop,1,59,0.0
context,1,309,0.01
neper,1,44,0.01
selected,1,1055,0.08
bvh,1,661,0.08
options,1,1105,0.04
mode,1,313,0.01
cgm,1,263,0.04
axes,1,194,0.03
skeleton,1,194,0.02
track,1,159,0.01
pov,1,147,0.02
vertex,1,151,0.01
score,1,143,0.01
cursor,1,140,0.01
bone,1,115,0.01
shape,1,115,0.01
anim,1,104,0.01
animation,1,195,0.01
param,1,94,0.0
parameter,1,120,0.0
loaded,1,98,0.01
ddd,1,97,0.01
drag,1,96,0.01
camera,1,97,0.0
user,1,109,0.0
play,1,126,0.01
bounds,1,94,0.01
mat,1,94,0.01
render,1,168,0.01
physics,1,81,0.01
control,1,103,0.0
spatial,1,66,0.0
bones,1,50,0.01
display,1,73,0.0
body,1,235,0.01
rigid,1,56,0.01
channel,1,71,0.0
params,1,44,0.0
override,1,52,0.01
keyboard,1,31,0.0
rich,1,4,0.0
height,1,14,0.0
setting,1,34,0.0
palette,1,1,0.0
perform,1,1,0.0
glide,1,1,0.0
callback,1,62,0.0
observer,1,1,0.0
hyperlink,1,1,0.0
table,1,148,0.0
round,1,1,0.0
client,1,332,0.01
demo,1,187,0.01
fast,1,214,0.01
navigation,1,135,0.01
shared,1,167,0.01
rpc,1,96,0.0
grid,1,105,0.01
state,1,152,0.0
server,1,122,0.0
cell,1,474,0.02
row,1,52,0.0
lock,1,50,0.0
connector,1,45,0.0
tracker,1,27,0.0
close,1,28,0.0
violators,1,26,0.0
spin,1,25,0.0
click,1,43,0.0
out,1,19,0.0
columns,1,19,0.0
log,1,51,0.0
offset,1,11,0.0
queue,1,33,0.0
move,1,425,0.03
pages,1,743,0.05
page,1,813,0.02
selectable,1,629,0.07
cli,1,425,0.02
connected,1,340,0.03
savegame,1,330,0.05
box,1,310,0.01
extractor,1,241,0.01
collectables,1,187,0.03
link,1,642,0.03
cloth,1,182,0.03
variables,1,176,0.01
window,1,183,0.01
blocks,1,151,0.01
quick,1,245,0.02
combo,1,101,0.01
label,1,248,0.01
load,1,156,0.01
dir,1,95,0.01
items,1,64,0.0
value,1,244,0.0
pickup,1,75,0.01
handler,1,293,0.0
radio,1,84,0.01
check,1,151,0.01
weapons,1,64,0.01
fix,1,64,0.01
checkbox,1,65,0.01
lexer,1,854,0.06
script,1,139,0.01
dagger,1,49,0.0
json,1,41,0.0
sql,1,36,0.0
python,1,59,0.01
kotlin,1,34,0.0
lua,1,34,0.0
lisp,1,34,0.0
cpp,1,34,0.0
shell,1,32,0.0
groovy,1,26,0.0
php,1,50,0.0
javascript,1,25,0.0
actionscript,1,20,0.0
csharp,1,19,0.0
visualbasic,1,19,0.0
ruby,1,18,0.0
basic,1,74,0.0
database,1,18,0.0
suggestion,1,17,0.0
decompiler,1,3731,0.42
struct,1,701,0.04
analysis,1,678,0.03
optinstructions,1,425,0.05
ast,1,304,0.02
method,1,274,0.01
insn,1,194,0.02
var,1,164,0.01
annotation,1,183,0.01
exprent,1,176,0.02
exps,1,176,0.02
attr,1,154,0.01
lists,1,116,0.01
optimizer,1,154,0.01
stats,1,143,0.0
vars,1,110,0.01
visitor,1,144,0.01
gen,1,126,0.01
signature,1,121,0.01
graph,1,255,0.01
instruction,1,99,0.01
constant,1,84,0.0
writer,1,89,0.0
remapper,1,88,0.01
asm,1,82,0.01
plugin,1,2301,0.06
map,1,3282,0.05
mind,1,3090,0.37
lang,1,2949,0.16
refactoring,1,2656,0.32
psi,1,2451,0.27
editors,1,1421,0.11
extra,1,1533,0.13
mmd,1,1130,0.16
element,1,912,0.03
print,1,1171,0.08
