keyword,doc_freq,total_freq,tfidf
exception,7,5634,0.0
data,6,19735,0.01
filter,5,16040,0.01
query,5,15177,0.01
functions,5,13621,0.02
function,5,17256,0.01
client,4,1868,0.0
model,4,8118,0.0
parser,4,6351,0.0
time,4,2213,0.0
reader,4,824,0.0
api,4,3289,0.0
impl,4,1730,0.0
service,4,3158,0.0
metric,3,9110,0.02
task,3,3625,0.0
http,3,3147,0.0
resource,3,1347,0.0
handler,3,1920,0.0
image,3,849,0.0
transform,3,2822,0.0
math,3,21968,0.03
util,3,6914,0.0
factory,3,6584,0.0
file,3,4623,0.0
type,3,3696,0.0
series,3,1690,0.0
processor,3,2100,0.0
metadata,2,4944,0.01
statistics,2,14833,0.02
simple,2,5328,0.0
cluster,2,7798,0.01
rpc,2,2491,0.0
metrics,2,1074,0.0
backend,2,3142,0.01
reporter,2,2019,0.0
core,2,4606,0.0
manager,2,2271,0.0
memory,2,4397,0.01
ingestion,2,1784,0.01
bucket,2,1406,0.0
kafka,2,1163,0.0
matrix,2,3189,0.01
decoder,2,499,0.0
iterator,2,2234,0.0
first,2,897,0.0
index,2,35142,0.04
tree,2,33449,0.03
visualization,2,27764,0.06
datasource,2,8547,0.02
histogram,2,6991,0.02
vector,2,6610,0.01
split,2,5552,0.01
axis,2,1668,0.0
value,2,1657,0.0
source,2,744,0.0
table,2,1368,0.0
template,2,536,0.0
text,2,3251,0.0
rule,2,936,0.0
xml,2,2972,0.0
constants,2,330,0.0
dialog,2,703,0.0
storage,2,1024,0.0
utils,2,1454,0.0
tag,2,995,0.0
server,2,1175,0.0
point,2,813,0.0
influx,2,951,0.0
push,2,147,0.0
json,2,1214,0.0
line,2,1539,0.0
logs,2,362,0.0
endpoint,2,567,0.0
tsdb,2,108,0.0
add,2,567,0.0
open,2,509,0.0
sender,2,135,0.0
retention,2,231,0.0
stream,2,2493,0.0
plugin,2,487,0.0
date,2,585,0.0
average,2,830,0.0
input,2,969,0.0
csv,2,672,0.0
view,2,1744,0.0
update,2,1065,0.0
aggregation,1,6749,0.02
shell,1,5169,0.01
module,1,4744,0.0
consumer,1,3656,0.01
bigtable,1,3205,0.02
suggest,1,3076,0.01
schema,1,2250,0.0
noop,1,2231,0.01
scope,1,2172,0.0
common,1,2204,0.0
datastax,1,2055,0.01
elasticsearch,1,2094,0.01
component,1,2228,0.0
semantic,1,1884,0.01
cache,1,3656,0.0
heroic,1,1706,0.01
profile,1,1869,0.0
analytics,1,1655,0.0
generator,1,3433,0.0
instance,1,1814,0.0
grpc,1,1255,0.0
grammar,1,1220,0.0
protocol,1,1322,0.0
key,1,1516,0.0
group,1,1390,0.0
collectd,1,1003,0.0
connection,1,3045,0.0
jetty,1,950,0.0
dagger,1,904,0.0
wavelet,1,2106,0.01
mapper,1,4104,0.0
wavelets,1,2079,0.01
processing,1,2691,0.01
fwt,1,2160,0.01
gts,1,1182,0.0
warp,1,1062,0.0
script,1,1010,0.0
shape,1,1084,0.0
