keyword,doc_freq,total_freq,tfidf
activity,30,3117,0.01
video,29,7322,0.04
main,24,916,0.0
test,24,1074,0.0
view,22,2037,0.0
utils,20,6266,0.0
media,20,13655,0.07
listener,18,3095,0.0
adapter,17,2745,0.01
example,16,301,0.0
player,16,14154,0.07
instrumented,15,280,0.0
manager,15,3262,0.0
util,14,4229,0.0
helper,14,2928,0.01
image,13,2611,0.01
texture,12,155,0.0
info,12,5538,0.01
model,12,1991,0.0
event,11,6471,0.01
config,11,1816,0.0
controller,11,1840,0.0
application,10,394,0.0
source,10,4298,0.01
settings,10,3943,0.01
type,9,2551,0.0
factory,9,1590,0.0
audio,9,26693,0.17
holder,9,4495,0.02
frame,9,1612,0.01
base,9,1505,0.0
service,9,3672,0.0
file,9,1614,0.0
fragment,9,3906,0.01
item,9,4318,0.01
renderer,8,2216,0.01
exception,8,1206,0.0
data,8,3790,0.0
handler,8,1494,0.0
stream,8,9330,0.02
android,7,2109,0.01
size,7,488,0.0
api,7,1834,0.0
provider,7,690,0.0
control,7,4628,0.02
loader,7,334,0.0
layout,7,673,0.0
surface,7,320,0.0
proxy,6,58,0.0
track,6,1538,0.01
playback,6,1559,0.02
core,6,4612,0.01
channel,6,995,0.0
render,6,1023,0.01
ffmpeg,6,168,0.0
codec,6,24300,0.12
input,6,1350,0.0
output,6,1154,0.0
camera,6,328,0.0
sample,5,688,0.0
http,5,618,0.0
error,5,2083,0.0
exo,5,915,0.01
events,5,1776,0.01
list,5,3840,0.01
search,5,1208,0.0
format,5,2919,0.01
log,5,245,0.0
download,5,1861,0.01
configuration,5,2752,0.01
impl,5,5223,0.01
result,5,346,0.0
response,5,388,0.0
widget,4,153,0.0
parser,4,504,0.0
internal,4,4526,0.01
session,4,2229,0.01
state,4,1142,0.0
text,4,785,0.0
executor,4,349,0.0
plugin,4,755,0.0
engine,4,2118,0.01
request,4,578,0.0
custom,4,588,0.0
client,4,1764,0.0
json,4,5497,0.01
simple,4,406,0.0
status,4,442,0.0
change,4,741,0.0
ratio,4,102,0.0
adapters,4,775,0.0
play,4,1651,0.01
progress,4,332,0.0
misc,4,70,0.0
annotations,4,88,0.0
fmpeg,4,255,0.0
task,4,1409,0.0
context,4,615,0.0
worker,4,542,0.0
filter,4,3626,0.01
time,4,475,0.0
movie,4,33,0.0
color,4,403,0.0
encoder,4,2031,0.01
builder,4,735,0.0
callback,4,791,0.0
get,3,1090,0.0
drm,3,2546,0.04
creator,3,549,0.0
changed,3,421,0.0
selector,3,468,0.0
buffer,3,4046,0.02
services,3,921,0.0
local,3,4266,0.01
effect,3,299,0.0
open,3,681,0.0
options,3,644,0.0
properties,3,693,0.0
server,3,507,0.0
gesture,3,305,0.0
quality,3,434,0.0
level,3,829,0.0
aspect,3,91,0.0
fragments,3,2271,0.01
gallery,3,47,0.0
web,3,1599,0.0
menu,3,335,0.0
about,3,644,0.0
ijk,3,61,0.0
meta,3,131,0.0
debug,3,300,0.0
measure,3,12,0.0
playlist,3,4269,0.05
database,3,3225,0.01
extractor,3,1403,0.01
streams,3,668,0.01
youtube,3,789,0.01
resolver,3,827,0.0
detail,3,727,0.0
entity,3,643,0.0
grid,3,577,0.0
slide,3,30,0.0
divider,3,10,0.0
generic,3,472,0.0
command,3,119,0.0
strategy,3,416,0.0
constants,3,759,0.0
writer,3,484,0.0
mode,3,561,0.0
record,3,482,0.0
recorder,3,792,0.01
message,3,2291,0.01
socket,3,1248,0.0
muxer,3,185,0.0
window,3,203,0.0
picker,3,372,0.0
splash,2,13,0.0
login,2,203,0.0
exoplayer,2,2279,0.04
listeners,2,750,0.0
completion,2,370,0.0
subtitle,2,390,0.01
capabilities,2,780,0.01
mapper,2,152,0.0
external,2,278,0.0
ads,2,1252,0.02
entry,2,871,0.0
editor,2,82,0.0
transition,2,40,0.0
credentials,2,255,0.0
token,2,246,0.0
room,2,623,0.01
notification,2,1011,0.01
connection,2,424,0.0
logger,2,372,0.0
load,2,436,0.0
publisher,2,163,0.0
extension,2,188,0.0
multi,2,32,0.0
accessor,2,38,0.0
array,2,393,0.0
java,2,1182,0.0
app,2,558,0.0
target,2,137,0.0
bar,2,235,0.0
pragma,2,21,0.0
exceptions,2,41,0.0
host,2,7,0.0
lib,2,357,0.0
called,2,7,0.0
accessed,2,7,0.0
history,2,2096,0.01
playqueue,2,1802,0.03
dao,2,1701,0.01
queue,2,1503,0.01
subscription,2,1180,0.01
dialog,2,1205,0.0
report,2,1053,0.01
mission,2,682,0.01
tabs,2,613,0.01
job,2,394,0.0
map,2,219,0.0
jobs,2,458,0.0
object,2,277,0.0
cache,2,692,0.0
items,2,637,0.0
pool,2,180,0.0
jni,2,1224,0.01
scene,2,13,0.0
processing,2,152,0.0
distance,2,8,0.0
wheel,2,4,0.0
header,2,401,0.0
intent,2,10,0.0
toolbar,2,306,0.0
receiver,2,315,0.0
converter,2,609,0.0
screen,2,329,0.0
protocol,2,6581,0.04
push,2,2165,0.01
giraffe,2,10,0.0
option,2,165,0.0
motion,2,24,0.0
detection,2,60,0.0
messages,2,329,0.0
function,2,532,0.0
gles,2,81,0.0
edge,2,38,0.0
picture,2,95,0.0
compressor,2,24,0.0
rtmp,2,95,0.0
reader,2,437,0.0
action,2,336,0.0
user,2,1007,0.0
crop,2,139,0.0
async,2,13,0.0
auto,2,14,0.0
preview,2,505,0.0
date,2,32,0.0
click,2,249,0.0
utility,2,258,0.0
bitmap,2,113,0.0
block,2,453,0.0
downloader,2,1116,0.01
videos,2,163,0.0
field,2,23,0.0
decoration,2,10,0.0
egl,2,118,0.0
full,2,65,0.0
models,2,5551,0.02
texturevideoview,1,16,0.0
signup,1,3,0.0
forwarder,1,1803,0.03
mediaplayer,1,1120,0.02
provision,1,352,0.01
mediasource,1,726,0.01
modular,1,242,0.0
prepared,1,155,0.0
webvtt,1,144,0.0
information,1,187,0.0
advert,1,105,0.0
bitrate,1,389,0.01
heartbeat,1,98,0.0
requester,1,235,0.0
plugins,1,1021,0.01
ovp,1,1050,0.02
metadata,1,1112,0.01
kaltura,1,870,0.01
phoenix,1,740,0.01
widevine,1,340,0.01
backend,1,337,0.0
cast,1,292,0.0
wrapper,1,727,0.0
mediaproviders,1,233,0.0
profiler,1,231,0.0
ott,1,219,0.0
warning,1,11,0.0
frames,1,26,0.0
viewer,1,1,0.0
kurento,1,1804,0.03
recording,1,2525,0.03
cdr,1,1345,0.03
endpoint,1,816,0.0
kms,1,725,0.01
participant,1,896,0.01
rest,1,627,0.0
vidu,1,507,0.01
rpc,1,499,0.0
coturn,1,441,0.01
dummy,1,250,0.0
ice,1,305,0.01
summary,1,179,0.0
recordings,1,57,0.0
candidate,1,222,0.0
webhook,1,194,0.0
geo,1,142,0.0
location,1,142,0.0
resources,1,216,0.0
orientation,1,101,0.0
battery,1,40,0.0
permissions,1,26,0.0
sensor,1,77,0.0
params,1,178,0.0
one,1,74,0.0
buckets,1,6,0.0
two,1,59,0.0
myapplication,1,3,0.0
comments,1,312,0.0
preferences,1,266,0.0
comment,1,146,0.0
upload,1,21,0.0
script,1,31,0.0
edit,1,93,0.0
feed,1,148,0.0
backable,1,17,0.0
donate,1,17,0.0
suggestion,1,338,0.0
steemit,1,17,0.0
dtube,1,17,0.0
expanded,1,17,0.0
scanner,1,18,0.0
tools,1,20,0.0
person,1,17,0.0
encryption,1,17,0.0
help,1,11,0.0
enabled,1,79,0.0
chrome,1,10,0.0
animation,1,229,0.0
singleton,1,8,0.0
videoplayer,1,3,0.0
pipeline,1,345,0.0
repository,1,293,0.0
messenger,1,218,0.0
taskhandler,1,175,0.0
dispatcher,1,435,0.0
coordinator,1,152,0.0
git,1,99,0.0
jdbc,1,90,0.0
metrics,1,84,0.0
execution,1,83,0.0
chain,1,179,0.0
piper,1,58,0.0
random,1,57,0.0
evaluator,1,51,0.0
uuid,1,112,0.0
persistence,1,48,0.0
jms,1,41,0.0
counter,1,35,0.0
conditional,1,34,0.0
condition,1,34,0.0
amqp,1,34,0.0
playable,1,30,0.0
node,1,106,0.0
datasource,1,26,0.0
recyclerview,1,18,0.0
pre,1,160,0.0
volume,1,504,0.0
adapster,1,18,0.0
creators,1,12,0.0
arvi,1,14,0.0
collection,1,9,0.0
memory,1,18,0.0
has,1,6,0.0
caching,1,181,0.0
support,1,232,0.0
global,1,41,0.0
opencv,1,18,0.0
segment,1,54,0.0
fxml,1,18,0.0
stereo,1,7,0.0
jogamp,1,6,0.0
equalizer,1,6,0.0
show,1,201,0.0
clone,1,5,0.0
processor,1,145,0.0
delay,1,56,0.0
limiter,1,5,0.0
sectioned,1,5,0.0
setup,1,3,0.0
related,1,168,0.0
interesting,1,36,0.0
daily,1,18,0.0
author,1,12,0.0
category,1,135,0.0
reply,1,10,0.0
footer,1,106,0.0
card,1,21,0.0
forward,1,6,0.0
interessant,1,6,0.0
common,1,552,0.0
find,1,398,0.0
retrofit,1,62,0.0
inset,1,4,0.0
insets,1,4,0.0
anim,1,4,0.0
fab,1,45,0.0
circle,1,4,0.0
cam,1,1,0.0
book,1,17,0.0
access,1,210,0.0
mark,1,30,0.0
downloads,1,8,0.0
you,1,5,0.0
switcher,1,5,0.0
sheet,1,81,0.0
tos,1,5,0.0
intro,1,5,0.0
bottom,1,167,0.0
launcher,1,1,0.0
realm,1,1,0.0
neomedia,1,59793,0.91
silk,1,15951,0.24
transform,1,8109,0.04
device,1,6752,0.03
rtp,1,5635,0.08
jmfext,1,5567,0.08
flp,1,5097,0.08
rtcp,1,2679,0.04
srtp,1,2406,0.04
packet,1,2187,0.01
quicktime,1,1966,0.03
capture,1,1879,0.01
connector,1,1814,0.01
tables,1,1764,0.01
decoder,1,1760,0.01
resampler,1,1573,0.02
translator,1,1572,0.01
ilbc,1,1372,0.02
wasapi,1,1304,0.02
system,1,1398,0.01
packetizer,1,1201,0.02
zrtp,1,1123,0.02
dtmf,1,1078,0.02
stats,1,1152,0.0
dtls,1,942,0.01
giraffeplayer,1,36,0.0
process,1,293,0.0
advanced,1,187,0.0
flag,1,44,0.0
flags,1,22,0.0
mov,1,22,0.0
sync,1,72,0.0
strict,1,22,0.0
estimation,1,78,0.0
root,1,22,0.0
hardware,1,114,0.0
acceleration,1,22,0.0
advacned,1,18,0.0
named,1,14,0.0
save,1,32,0.0
tiff,1,6,0.0
tga,1,4,0.0
facade,1,68,0.0
string,1,151,0.0
fallback,1,235,0.0
tif,1,2,0.0
path,1,36,0.0
naked,1,2,0.0
filename,1,110,0.0
awt,1,2,0.0
ultimate,1,1565,0.03
gpuimage,1,1565,0.03
gpu,1,924,0.01
blend,1,616,0.01
enhance,1,439,0.01
sampling,1,154,0.0
recommend,1,122,0.0
conversion,1,67,0.0
pass,1,59,0.0
group,1,101,0.0
looper,1,45,0.0
gif,1,44,0.0
mix,1,44,0.0
self,1,34,0.0
defined,1,34,0.0
sobel,1,33,0.0
videocompression,1,102,0.0
sili,1,14,0.0
select,1,372,0.0
aac,1,6,0.0
timeout,1,75,0.0
value,1,81,0.0
functions,1,3,0.0
peer,1,191,0.0
bandwidth,1,256,0.0
limit,1,3,0.0
amf,1,3,0.0
,1,124,
cropview,1,15,0.0
handle,1,13,0.0
fbinary,1,3,0.0
execute,1,3,0.0
fcommand,1,2,0.0
cpu,1,3,0.0
seek,1,42,0.0
arch,1,2,0.0
slice,1,1,0.0
pair,1,1,0.0
vertical,1,1,0.0
shell,1,102,0.0
corner,1,1,0.0
binary,1,66,0.0
ftask,1,1,0.0
center,1,15,0.0
horizontal,1,1,0.0
update,1,149,0.0
paint,1,1,0.0
observer,1,150,0.0
ffmpegrecorder,1,99,0.0
fixed,1,85,0.0
cropped,1,12,0.0
recorded,1,4,0.0
annca,1,181,0.0
button,1,5,0.0
fit,1,107,0.0
