keyword,doc_freq,total_freq,tfidf
service,6,8796,0.13
filter,5,2013,0.04
config,5,1459,0.02
exception,4,1063,0.01
utils,4,973,0.01
web,4,581,0.02
configuration,4,1286,0.03
context,4,777,0.02
dao,3,349,0.01
http,3,1574,0.05
view,3,1224,0.02
set,3,637,0.02
user,3,536,0.01
impl,3,9122,0.13
provider,3,2707,0.06
util,3,651,0.0
factory,3,785,0.01
security,3,599,0.03
manager,3,666,0.01
auth,2,176,0.01
processor,2,333,0.01
main,2,74,0.0
updater,2,82,0.01
server,2,366,0.01
tag,2,148,0.01
json,2,470,0.01
info,2,471,0.01
action,2,165,0.0
services,2,52,0.0
box,2,336,0.02
password,2,96,0.01
file,2,535,0.01
object,2,730,0.02
model,2,7065,0.08
type,2,2834,0.03
listener,2,2414,0.05
role,2,1338,0.1
post,2,1264,0.08
access,2,1047,0.07
update,2,797,0.04
control,2,588,0.04
value,2,775,0.02
check,2,490,0.03
delete,2,706,0.04
spring,2,2104,0.11
scope,2,666,0.06
servlet,2,443,0.03
internal,2,6420,0.26
session,2,200,0.01
bean,2,1332,0.07
store,2,142,0.01
request,2,658,0.02
properties,2,244,0.01
scan,2,298,0.02
wrapper,2,56,0.0
data,2,501,0.01
application,2,202,0.0
query,2,3054,0.12
rest,2,822,0.04
exceptions,2,635,0.03
authentication,2,552,0.03
jwt,2,577,0.05
builder,2,775,0.02
common,2,326,0.01
client,2,394,0.01
response,2,985,0.03
handler,2,586,0.01
group,2,136,0.01
schedule,2,60,0.01
scraper,1,46,0.01
cli,1,43,0.0
basicauth,1,16,0.0
authtrial,1,7,0.0
trial,1,6,0.0
link,1,7,0.0
threads,1,6,0.0
opts,1,5,0.0
ball,1,4,0.0
tauro,1,2,0.0
form,1,2,0.0
digiflip,1,2,0.0
formauth,1,2,0.0
act,1,2,0.0
beam,1,2,0.0
unsupported,1,71,0.01
host,1,16,0.0
binatone,1,2,0.0
wireless,1,2,0.0
disabled,1,25,0.0
coship,1,2,0.0
baton,1,2,0.0
basic,1,25,0.0
finder,1,2,0.0
and,1,27,0.0
saver,1,1,0.0
channel,1,338,0.02
rule,1,198,0.01
kiss,1,162,0.03
api,1,171,0.0
tcp,1,126,0.01
tnc,1,108,0.02
map,1,203,0.0
xml,1,72,0.0
base,1,84,0.0
sec,1,71,0.01
comm,1,54,0.01
inet,1,54,0.01
users,1,46,0.0
local,1,122,0.0
notifier,1,58,0.01
trail,1,38,0.01
mail,1,38,0.0
authenticator,1,188,0.02
pub,1,31,0.0
sub,1,100,0.01
bull,1,30,0.01
board,1,30,0.0
points,1,30,0.0
aprs,1,28,0.01
system,1,49,0.0
item,1,139,0.0
authorizer,1,92,0.01
geo,1,89,0.01
topic,1,3883,0.35
event,1,3712,0.08
association,1,2739,0.38
plugin,1,2544,0.09
migrations,1,1838,0.24
pre,1,1308,0.1
storage,1,1310,0.06
topicmaps,1,1164,0.21
accesscontrol,1,1151,0.2
assoc,1,1057,0.17
related,1,1027,0.14
files,1,802,0.05
topics,1,392,0.06
attached,1,779,0.13
mehta,1,756,0.13
deepa,1,754,0.13
topicmap,1,467,0.08
create,1,591,0.03
webservice,1,589,0.07
dmx,1,497,0.08
workspaces,1,474,0.08
facets,1,442,0.06
send,1,460,0.03
migration,1,250,0.02
events,1,156,0.01
player,1,408,0.03
vaadin,1,921,0.13
scopes,1,280,0.04
annotation,1,451,0.02
boot,1,291,0.03
initializer,1,188,0.02
enable,1,173,0.02
auto,1,150,0.01
component,1,72,0.0
navigator,1,71,0.01
cache,1,301,0.01
route,1,51,0.0
instantiator,1,46,0.01
websocket,1,146,0.01
endpoint,1,46,0.0
exporter,1,46,0.0
registrar,1,195,0.03
mvc,1,46,0.01
app,1,46,0.0
root,1,46,0.0
mapped,1,46,0.01
condition,1,68,0.01
forwarding,1,42,0.01
strategy,1,42,0.0
retrieval,1,36,0.01
display,1,33,0.0
property,1,3526,0.15
datastore,1,2915,0.35
operation,1,1850,0.09
beans,1,1292,0.13
bulk,1,784,0.09
function,1,730,0.02
expression,1,597,0.03
path,1,576,0.02
examples,1,410,0.03
example,1,416,0.01
async,1,393,0.02
converter,1,358,0.01
token,1,365,0.02
definition,1,726,0.05
relational,1,322,0.05
