keyword,doc_freq,total_freq,tfidf
service,19,9651,0.07
util,18,3881,0.01
view,17,3473,0.03
utils,17,1919,0.01
main,15,411,0.0
activity,15,1273,0.01
helper,13,1865,0.02
manager,13,1896,0.02
test,12,314,0.0
filter,12,2592,0.02
action,12,1565,0.02
config,12,2208,0.01
application,11,472,0.0
file,11,1057,0.01
settings,11,970,0.01
list,11,1347,0.01
listener,11,2949,0.03
type,10,5343,0.03
web,9,705,0.01
user,9,1160,0.01
app,9,552,0.01
adapter,9,1033,0.01
exception,9,1775,0.01
handler,9,1063,0.01
set,8,935,0.01
base,8,13736,0.11
info,8,825,0.01
item,8,805,0.01
fragment,8,768,0.01
provider,8,3073,0.03
data,8,1194,0.01
controller,8,719,0.01
text,8,1168,0.01
http,7,1890,0.03
factory,7,941,0.01
database,7,691,0.01
model,7,8157,0.04
storage,7,1495,0.03
client,7,33221,0.39
event,7,6116,0.06
impl,7,9429,0.06
api,6,741,0.01
status,6,646,0.01
rest,6,2266,0.05
home,6,204,0.01
servlet,6,771,0.02
query,6,3597,0.06
example,6,617,0.01
context,6,1303,0.01
group,6,470,0.01
map,5,359,0.0
services,5,107,0.0
box,5,1597,0.05
widget,5,899,0.02
receiver,5,117,0.0
authentication,5,620,0.02
control,5,1350,0.04
resource,5,925,0.02
cache,5,597,0.01
thread,5,166,0.0
bean,5,1674,0.04
image,5,533,0.01
template,5,171,0.0
validator,5,2690,0.06
request,5,796,0.01
security,5,619,0.01
message,5,1031,0.01
dao,5,271,0.01
task,5,445,0.01
constants,5,4504,0.06
models,5,279,0.01
server,4,616,0.01
xml,4,243,0.0
json,4,641,0.01
common,4,471,0.01
bar,4,525,0.01
fragments,4,101,0.0
edit,4,144,0.0
configuration,4,1305,0.01
name,4,535,0.01
post,4,1344,0.04
category,4,68,0.0
wrapper,4,252,0.0
update,4,869,0.02
login,4,281,0.01
scope,4,757,0.03
source,4,263,0.0
connection,4,349,0.01
component,4,260,0.0
simple,4,277,0.0
root,4,156,0.0
dialog,4,790,0.01
entry,4,245,0.0
check,4,827,0.02
activities,4,516,0.02
create,4,653,0.02
preferences,4,308,0.01
error,4,1279,0.02
session,4,813,0.02
tag,3,101,0.0
object,3,827,0.01
theme,3,740,0.04
notification,3,325,0.01
statistics,3,289,0.01
store,3,413,0.01
entity,3,1166,0.02
get,3,193,0.0
pool,3,145,0.0
job,3,747,0.02
size,3,641,0.02
function,3,3182,0.05
converter,3,396,0.01
init,3,116,0.0
search,3,553,0.01
role,3,1249,0.04
params,3,92,0.0
form,3,127,0.0
field,3,509,0.01
result,3,454,0.0
callback,3,290,0.01
internal,3,6805,0.12
operation,3,2088,0.05
contract,3,58,0.0
options,3,711,0.02
repository,3,1072,0.02
log,3,365,0.01
properties,3,345,0.01
loader,3,1172,0.02
instrumented,3,102,0.0
cursor,3,91,0.0
events,3,2257,0.05
pager,3,153,0.0
dto,3,982,0.03
strategy,3,78,0.0
button,3,882,0.02
menu,3,228,0.01
color,3,413,0.01
drag,3,509,0.03
holder,3,186,0.01
recycler,3,65,0.0
parser,3,420,0.0
adapters,3,215,0.01
lite,3,520,0.02
dialogs,3,86,0.0
display,3,645,0.02
push,3,1006,0.04
access,3,1154,0.03
route,3,204,0.01
auth,2,483,0.01
users,2,129,0.0
local,2,257,0.0
password,2,85,0.0
system,2,381,0.01
preference,2,480,0.02
actions,2,412,0.01
views,2,109,0.0
drawer,2,146,0.01
apps,2,51,0.0
bundle,2,125,0.01
business,2,826,0.05
logger,2,350,0.01
daily,2,62,0.0
backup,2,170,0.01
url,2,73,0.0
statistic,2,150,0.01
version,2,111,0.0
serializer,2,258,0.01
monitor,2,78,0.0
html,2,2047,0.05
time,2,374,0.01
net,2,286,0.01
price,2,6,0.0
insert,2,283,0.01
execute,2,5,0.0
about,2,21,0.0
join,2,427,0.02
entries,2,33,0.0
parameter,2,152,0.0
stream,2,167,0.0
toast,2,109,0.01
order,2,174,0.01
interceptor,2,99,0.0
address,2,34,0.0
transaction,2,669,0.02
checkout,2,36,0.0
product,2,12,0.0
codes,2,83,0.0
resolver,2,282,0.01
process,2,200,0.0
cart,2,10,0.0
response,2,512,0.01
profile,2,320,0.01
checker,2,69,0.0
shortcut,2,66,0.01
slider,2,198,0.01
boot,2,297,0.01
path,2,648,0.01
async,2,1272,0.03
token,2,436,0.01
builder,2,419,0.0
value,2,1161,0.01
delete,2,737,0.02
spring,2,2104,0.05
presenter,2,399,0.01
detail,2,148,0.0
chart,2,68,0.0
pref,2,21,0.0
constant,2,272,0.01
question,2,97,0.01
tools,2,921,0.02
panel,2,811,0.02
progress,2,566,0.02
observer,2,296,0.01
proxy,2,285,0.01
param,2,421,0.01
meta,2,98,0.0
splash,2,116,0.0
helpers,2,37,0.0
network,2,247,0.0
circle,2,157,0.01
sync,2,181,0.01
tutorial,2,198,0.01
add,2,98,0.0
style,2,657,0.02
not,2,325,0.01
found,2,56,0.0
registration,2,108,0.01
cut,2,21,0.0
state,2,158,0.0
initializer,2,199,0.01
dashboard,2,42,0.0
email,2,44,0.0
custom,2,295,0.01
combo,2,51,0.0
label,2,336,0.01
picker,2,461,0.02
close,2,118,0.01
out,2,98,0.0
content,2,519,0.01
utility,2,48,0.0
popup,2,62,0.0
output,2,354,0.01
worker,2,494,0.01
table,2,172,0.0
standard,2,87,0.0
card,2,601,0.02
report,2,201,0.01
owner,2,299,0.02
string,2,588,0.01
column,2,239,0.01
counter,2,220,0.01
variable,2,183,0.01
node,2,141,0.0
element,2,330,0.01
encryption,2,95,0.0
row,2,125,0.0
audit,2,281,0.01
socket,2,358,0.01
material,2,7952,0.36
icon,2,667,0.03
plugin,2,2679,0.04
player,2,434,0.01
deployment,2,126,0.01
vaadin,2,1339,0.09
annotation,2,690,0.01
instantiator,2,171,0.01
websocket,2,196,0.01
compat,2,101,0.0
open,2,85,0.0
library,2,100,0.0
misc,2,268,0.01
showcase,2,67,0.0
spreadsheet,1,2,0.0
channel,1,344,0.01
rule,1,198,0.0
kiss,1,162,0.01
tcp,1,126,0.0
tnc,1,108,0.01
updater,1,84,0.0
sec,1,71,0.0
comm,1,54,0.0
inet,1,54,0.0
notifier,1,58,0.0
trail,1,38,0.0
mail,1,43,0.0
authenticator,1,200,0.01
pub,1,31,0.0
sub,1,122,0.0
bull,1,30,0.0
board,1,56,0.0
points,1,30,0.0
aprs,1,28,0.0
