keyword,doc_freq,total_freq,tfidf
app,4,575,0.02
manager,4,449,0.01
activity,3,905,0.03
utils,3,313,0.0
settings,3,1346,0.07
view,3,463,0.01
web,3,627,0.03
handler,3,456,0.01
text,3,311,0.01
event,3,600,0.02
fragment,2,753,0.05
browser,2,440,0.08
history,2,445,0.04
preference,2,594,0.08
page,2,75,0.01
url,2,223,0.02
receiver,2,251,0.02
image,2,249,0.01
object,2,302,0.01
about,2,260,0.03
html,2,1862,0.16
article,2,431,0.08
input,2,593,0.03
exception,2,523,0.01
base,2,677,0.02
listener,2,599,0.02
node,2,351,0.02
store,2,573,0.04
cache,2,403,0.02
parser,2,281,0.01
reading,1,139,0.04
download,1,205,0.03
bookmark,1,135,0.03
database,1,88,0.01
constant,1,54,0.01
bookmarks,1,52,0.02
lightning,1,36,0.01
async,1,175,0.02
dialog,1,234,0.01
themable,1,26,0.01
land,1,26,0.01
result,1,227,0.01
events,1,22,0.0
bus,1,32,0.0
controller,1,85,0.0
downloads,1,12,0.0
item,1,240,0.01
constants,1,43,0.0
builder,1,71,0.0
search,1,190,0.01
start,1,13,0.0
intent,1,122,0.02
network,1,209,0.01
advanced,1,13,0.0
local,1,153,0.01
privacy,1,13,0.0
proxy,1,25,0.0
theme,1,13,0.0
display,1,29,0.0
domimpl,1,2420,0.76
impl,1,2328,0.06
renderer,1,2141,0.19
element,1,1521,0.12
style,1,1048,0.13
gui,1,980,0.09
clientlet,1,588,0.18
control,1,588,0.06
ext,1,532,0.07
clientlets,1,361,0.11
request,1,504,0.02
info,1,448,0.01
render,1,432,0.06
state,1,432,0.02
frame,1,445,0.04
navigator,1,420,0.08
window,1,392,0.04
panel,1,392,0.03
factory,1,419,0.01
list,1,405,0.01
table,1,324,0.02
context,1,448,0.02
renderable,1,285,0.06
connection,1,395,0.03
prefs,1,252,0.04
tables,1,196,0.03
content,1,253,0.02
cookie,1,224,0.03
document,1,257,0.03
java,1,224,0.02
response,1,216,0.01
floating,1,206,0.05
stream,1,196,0.01
conrol,1,9,0.0
bean,1,37,0.0
chart,1,7,0.0
xml,1,33,0.0
parse,1,6,0.0
layout,1,197,0.02
mouse,1,3,0.0
canvas,1,52,0.01
type,1,195,0.0
script,1,59,0.01
released,1,2,0.0
run,1,2,0.0
pressed,1,2,0.0
json,1,2,0.0
key,1,13,0.0
box,1,100,0.01
form,1,142,0.01
button,1,96,0.01
later,1,2,0.0
group,1,152,0.01
preload,1,2,0.0
res,1,86,0.01
pane,1,2,0.0
api,1,2,0.0
attributes,1,1,0.0
attribute,1,1,0.0
animation,1,1,0.0
timer,1,1,0.0
pie,1,1,0.0
hyperlink,1,1,0.0
customer,1,1,0.0
thread,1,141,0.01
field,1,113,0.01
moved,1,1,0.0
axis,1,1,0.0
choice,1,1,0.0
client,1,5,0.0
verticle,1,1,0.0
tabs,1,108,0.02
chrome,1,108,0.02
dismissed,1,32,0.01
module,1,155,0.01
main,1,60,0.0
components,1,15,0.0
application,1,3,0.0
modules,1,17,0.0
turbo,1,1,0.0
delegate,1,63,0.01
registry,1,1,0.0
react,1,1,0.0
host,1,57,0.01
util,1,711,0.01
activities,1,674,0.08
data,1,802,0.02
browsing,1,611,0.14
customtabs,1,588,0.23
webheads,1,582,0.23
service,1,511,0.01
website,1,406,0.13
payments,1,402,0.14
views,1,272,0.03
head,1,332,0.07
widgets,1,283,0.04
callbacks,1,243,0.04
color,1,255,0.02
iab,1,221,0.06
shared,1,265,0.03
billing,1,200,0.05
disk,1,206,0.04
adapter,1,244,0.01
broadcast,1,186,0.03
model,1,246,0.0
intro,1,178,0.03
stores,1,115,0.03
icon,1,195,0.03
bubbles,1,165,0.05
apps,1,93,0.01
webarticle,1,144,0.06
helper,1,161,0.01
tab,1,158,0.02
physics,1,134,0.03
lookandfeel,1,128,0.04
common,1,124,0.01
custom,1,117,0.01
