keyword,doc_freq,total_freq,tfidf
response,5,3067,0.05
server,5,6824,0.08
handler,4,1803,0.02
rest,3,291,0.01
file,3,2157,0.01
type,3,1386,0.01
http,3,2356,0.04
utils,3,1721,0.01
plugin,3,1066,0.02
util,3,1910,0.01
info,3,2583,0.03
stream,3,4018,0.07
exception,3,2869,0.01
api,3,6605,0.08
session,2,1026,0.03
web,2,1394,0.02
modules,2,1106,0.04
nano,2,11,0.0
httpd,2,10,0.0
impl,2,1520,0.01
log,2,1487,0.03
storage,2,7849,0.21
module,2,1985,0.04
command,2,3859,0.05
webserver,2,2732,0.23
commands,2,2698,0.06
implementation,2,3885,0.22
config,2,2694,0.02
bukkit,2,1647,0.11
object,2,2946,0.03
provider,2,1697,0.02
request,2,2273,0.03
event,2,919,0.01
variable,2,264,0.01
servant,1,158,0.02
route,1,30,0.0
master,1,39,0.0
templar,1,26,0.0
simple,1,666,0.01
mime,1,48,0.0
routable,1,22,0.0
classpath,1,27,0.0
types,1,205,0.01
helper,1,12,0.0
modifiable,1,11,0.0
router,1,39,0.0
logger,1,163,0.0
caching,1,100,0.01
mapper,1,82,0.0
uninitialised,1,8,0.0
ascii,1,40,0.0
art,1,8,0.0
listing,1,3,0.0
runner,1,33,0.0
unhandled,1,2,0.0
modified,1,1,0.0
internal,1,119,0.0
rewrite,1,1,0.0
node,1,2568,0.04
client,1,2502,0.03
serializer,1,2236,0.06
processor,1,2534,0.04
rpc,1,1940,0.08
expression,1,1943,0.06
annotations,1,1777,0.06
dataset,1,1681,0.08
asm,1,1647,0.1
async,1,1636,0.05
gen,1,1417,0.07
serialize,1,1292,0.09
jmx,1,1211,0.07
aggregation,1,1193,0.06
stats,1,1336,0.04
service,1,1519,0.01
consumer,1,1022,0.04
channel,1,946,0.03
sender,1,1176,0.05
protocol,1,992,0.04
measure,1,795,0.04
cube,1,819,0.05
attribute,1,734,0.02
callback,1,830,0.02
bean,1,718,0.02
map,1,935,0.01
socket,1,740,0.02
result,1,1176,0.01
datagraph,1,661,0.06
servlet,1,665,0.02
binary,1,718,0.02
with,1,829,0.02
dns,1,641,0.04
crdt,1,639,0.06
database,1,6717,0.13
delivery,1,6969,0.44
system,1,7039,0.17
extension,1,5754,0.18
plan,1,5399,0.27
data,1,5188,0.03
transactions,1,3050,0.21
table,1,2983,0.06
utilities,1,3552,0.11
queries,1,3409,0.2
settings,1,3741,0.07
json,1,3523,0.05
player,1,2757,0.09
gathering,1,2996,0.27
tables,1,1946,0.1
rendering,1,2488,0.14
graphs,1,2054,0.13
sql,1,2865,0.07
databases,1,862,0.07
html,1,2132,0.06
djrapitops,1,2037,0.18
domain,1,1964,0.05
listeners,1,1510,0.06
listener,1,1586,0.02
store,1,1985,0.04
resolver,1,2116,0.07
page,1,1449,0.03
sponge,1,1667,0.14
graph,1,1583,0.05
container,1,1461,0.04
query,1,1992,0.04
pages,1,1011,0.06
systems,1,456,0.03
patch,1,1307,0.08
patches,1,1289,0.12
players,1,682,0.04
bungee,1,1238,0.08
builder,1,2350,0.03
header,1,558,0.02
jax,1,329,0.03
delegate,1,288,0.01
resource,1,787,0.02
security,1,361,0.01
entity,1,383,0.01
media,1,371,0.01
auth,1,701,0.02
path,1,311,0.01
method,1,605,0.01
responses,1,199,0.01
sse,1,155,0.01
providers,1,794,0.04
cors,1,134,0.01
open,1,134,0.0
schema,1,435,0.01
https,1,157,0.01
uri,1,202,0.01
tag,1,132,0.0
context,1,425,0.01
redirector,1,116,0.01
link,1,197,0.01
paths,1,746,0.05
flows,1,80,0.01
flow,1,80,0.0
cookie,1,307,0.01
parameter,1,214,0.01
param,1,84,0.0
locator,1,115,0.01
scheme,1,260,0.02
body,1,115,0.0
documentation,1,80,0.01
item,1,150,0.0
views,1,1109,0.04
view,1,740,0.01
kvantum,1,693,0.07
syntax,1,589,0.04
manager,1,958,0.01
account,1,547,0.02
events,1,1156,0.03
factory,1,1082,0.01
cache,1,1526,0.03
post,1,388,0.01
pojo,1,366,0.02
core,1,376,0.01
error,1,643,0.01
annotatedviews,1,192,0.02
iserver,1,184,0.02
crush,1,168,0.02
filter,1,985,0.01
logging,1,238,0.01
requesthandler,1,154,0.02
validation,1,149,0.01
errors,1,344,0.02
exceptions,1,1041,0.02
repository,1,245,0.01
thread,1,273,0.01
orm,1,127,0.01
example,1,237,0.0
middleware,1,214,0.01
template,1,107,0.0
