keyword,doc_freq,total_freq,tfidf
minimize,1,55,0.49
minimization,1,50,0.44
constituent,1,45,0.4
proposition,1,40,0.31
phrase,1,30,0.2
annotation,1,30,0.06
object,1,20,0.02
clause,1,22,0.12
dictionary,1,20,0.09
utils,1,20,0.01
relation,1,15,0.08
subject,1,15,0.08
main,1,18,0.01
rel,1,15,0.1
subj,1,15,0.13
aggressive,1,15,0.13
obj,1,15,0.07
core,1,15,0.02
nlp,1,15,0.09
safe,1,15,0.08
annotated,1,10,0.05
generator,1,10,0.02
subconstituent,1,10,0.09
min,1,8,0.03
type,1,7,0.0
facts,1,6,0.05
util,1,5,0.0
conjunction,1,5,0.04
options,1,5,0.01
xcomp,1,5,0.04
tag,1,5,0.01
process,1,5,0.01
fast,1,5,0.02
indexed,1,5,0.03
frequency,1,5,0.03
implicit,1,5,0.03
sub,1,5,0.02
quantity,1,5,0.03
separator,1,5,0.04
modality,1,5,0.04
regex,1,5,0.02
pos,1,5,0.03
fastutils,1,5,0.04
candidates,1,5,0.03
extractions,1,5,0.04
attribution,1,5,0.04
detector,1,5,0.01
polarity,1,5,0.04
extractor,1,5,0.01
claus,1,5,0.04
bert,1,42,0.33
tokenizer,1,24,0.1
full,1,6,0.02
wordpiece,1,6,0.05
basic,1,6,0.01
