keyword,doc_freq,total_freq,tfidf
experiments,1,146,0.98
activity,1,43,0.04
scenario,1,24,0.11
task,1,24,0.03
info,1,24,0.02
async,1,18,0.05
service,1,18,0.01
scenarios,1,12,0.08
application,1,13,0.01
recognition,1,12,0.05
app,1,12,0.01
platform,1,12,0.04
features,1,12,0.04
test,1,7,0.0
main,1,7,0.0
openme,1,7,0.05
logger,1,6,0.01
reload,1,6,0.03
load,1,6,0.01
files,1,6,0.02
config,1,6,0.0
capture,1,6,0.03
result,1,6,0.01
device,1,6,0.02
console,1,6,0.02
remote,1,6,0.02
call,1,6,0.02
update,1,6,0.01
utils,1,6,0.0
crowd,1,6,0.05
source,1,6,0.01
video,1,6,0.02
exception,1,5,0.0
handler,1,5,0.0
