keyword,doc_freq,total_freq,tfidf
service,5,723,0.08
application,4,75,0.01
password,4,542,0.33
utils,4,115,0.01
category,3,206,0.11
view,3,128,0.02
util,3,120,0.01
request,3,106,0.02
error,3,44,0.01
activity,3,292,0.05
entry,3,112,0.03
fragment,3,127,0.03
auth,3,161,0.05
helper,3,96,0.02
adapter,3,104,0.02
main,3,33,0.0
listener,3,120,0.02
type,3,137,0.01
list,3,208,0.03
exception,2,470,0.03
user,2,299,0.06
controller,2,364,0.06
key,2,273,0.08
config,2,244,0.03
group,2,95,0.03
found,2,91,0.04
handler,2,75,0.01
rest,2,61,0.02
data,2,42,0.0
converter,2,52,0.01
role,2,26,0.01
response,2,48,0.01
database,2,64,0.02
keepass,2,52,0.08
pass,2,46,0.04
storage,2,97,0.04
base,2,69,0.01
dialog,2,45,0.01
test,2,54,0.01
secure,2,58,0.05
parser,2,14,0.0
beans,2,84,0.06
api,2,201,0.03
model,2,53,0.0
app,2,69,0.01
secret,2,61,0.04
manager,2,50,0.01
login,2,125,0.05
services,2,728,0.27
navigation,2,179,0.15
event,2,191,0.03
callback,2,97,0.03
item,2,100,0.02
payload,1,157,0.09
repository,1,148,0.04
not,1,105,0.03
domain,1,108,0.04
security,1,89,0.03
authority,1,56,0.05
conflict,1,46,0.05
communikey,1,28,0.05
encryption,1,36,0.02
reset,1,25,0.02
job,1,21,0.01
authorities,1,20,0.03
encrypted,1,15,0.01
constants,1,23,0.0
tag,1,14,0.0
source,1,11,0.0
method,1,11,0.0
global,1,11,0.01
details,1,12,0.01
mappings,1,11,0.01
privilege,1,11,0.02
profile,1,10,0.0
activated,1,10,0.01
auditor,1,10,0.01
path,1,10,0.0
date,1,10,0.0
time,1,10,0.0
format,1,10,0.0
tinykeepass,1,311,0.54
autofill,1,83,0.13
search,1,51,0.01
kee,1,35,0.06
task,1,20,0.0
select,1,27,0.02
fingerprint,1,18,0.02
example,1,25,0.0
instrumented,1,25,0.01
string,1,43,0.01
setup,1,14,0.01
locked,1,14,0.02
coping,1,14,0.02
open,1,14,0.01
syncing,1,13,0.02
fetch,1,13,0.01
query,1,12,0.0
relevance,1,12,0.02
structure,1,12,0.01
tokenizer,1,12,0.01
index,1,12,0.0
recycler,1,9,0.01
tiny,1,7,0.01
interaction,1,2,0.0
keepassx,1,2,0.0
serializer,1,2,0.0
vault,1,160,0.15
process,1,28,0.01
access,1,10,0.0
aws,1,10,0.01
processor,1,8,0.0
transformer,1,8,0.0
filter,1,45,0.01
safe,1,7,0.01
ldap,1,6,0.01
sys,1,6,0.01
sdb,1,5,0.01
web,1,12,0.0
metric,1,4,0.0
param,1,4,0.0
validator,1,4,0.0
message,1,4,0.0
policy,1,10,0.01
configuration,1,12,0.0
safes,1,1,0.0
name,1,1,0.0
swagger,1,1,0.0
node,1,1,0.0
msg,1,1,0.0
unseal,1,1,0.0
pages,1,509,0.4
backend,1,323,0.21
settings,1,251,0.06
impl,1,200,0.02
session,1,164,0.06
save,1,135,0.08
ocp,1,124,0.22
passwordlist,1,109,0.19
ssl,1,98,0.07
callbacks,1,68,0.05
option,1,63,0.03
about,1,62,0.03
secretsmanager,1,50,0.09
options,1,36,0.01
updated,1,36,0.04
info,1,36,0.0
successful,1,34,0.05
injection,1,33,0.02
color,1,41,0.02
pinning,1,30,0.04
logoff,1,30,0.05
clipboard,1,37,0.05
cert,1,30,0.03
trust,1,30,0.03
auto,1,30,0.01
activities,1,111,0.06
slide,1,88,0.08
adapters,1,53,0.02
runnable,1,61,0.04
acct,1,50,0.09
fragments,1,41,0.02
dao,1,44,0.01
account,1,36,0.02
events,1,38,0.01
crypto,1,26,0.02
views,1,19,0.01
add,1,37,0.01
simple,1,25,0.0
step,1,24,0.01
intro,1,21,0.02
spinner,1,20,0.02
puff,1,19,0.03
master,1,17,0.01
holder,1,40,0.02
pager,1,14,0.01
set,1,13,0.0
keyboard,1,11,0.01
listeners,1,9,0.0
quick,1,10,0.01
detail,1,24,0.01
splash,1,9,0.01
drawable,1,9,0.01
action,1,108,0.02
component,1,81,0.02
text,1,81,0.01
menu,1,54,0.02
stream,1,54,0.01
crypt,1,54,0.04
input,1,27,0.01
popup,1,27,0.02
output,1,27,0.01
file,1,27,0.0
close,1,27,0.02
worker,1,27,0.01
entries,1,27,0.03
xml,1,16,0.0
table,1,12,0.0
jaxb,1,11,0.01
object,1,11,0.0
factory,1,23,0.0
