keyword,doc_freq,total_freq,tfidf
test,2,147,0.0
main,2,40,0.0
activity,2,5,0.0
game,2,147,0.02
listener,2,267,0.01
sprite,1,1,0.0
square,1,1,0.0
texture,1,1,0.0
application,1,1,0.0
plugin,1,2406,0.17
creature,1,1837,0.59
widget,1,1420,0.16
util,1,1022,0.01
bowler,1,1031,0.42
pid,1,926,0.35
device,1,906,0.11
panel,1,801,0.08
scripting,1,747,0.2
config,1,709,0.02
controller,1,711,0.03
tabs,1,547,0.12
bootloader,1,590,0.21
filter,1,577,0.02
tab,1,393,0.05
studio,1,516,0.21
threed,1,498,0.21
factory,1,454,0.01
gui,1,439,0.05
settings,1,400,0.03
utils,1,215,0.0
cam,1,360,0.12
control,1,342,0.04
data,1,363,0.01
manager,1,359,0.01
writer,1,356,0.03
lab,1,319,0.1
file,1,300,0.01
secheduler,1,294,0.12
slider,1,295,0.07
physics,1,281,0.08
link,1,261,0.04
change,1,257,0.03
channel,1,247,0.03
base,1,235,0.01
menu,1,229,0.02
kinematics,1,224,0.09
dialog,1,217,0.02
graphing,1,214,0.08
loader,1,207,0.01
jog,1,204,0.08
gist,1,205,0.07
firmata,1,168,0.06
output,1,170,0.01
printer,1,156,0.03
engine,1,155,0.01
event,1,150,0.01
transform,1,149,0.02
springy,1,13,0.0
springylib,1,6,0.0
adapter,1,3,0.0
instrumented,1,2,0.0
recycler,1,2,0.0
view,1,2,0.0
example,1,6,0.0
animation,1,2,0.0
type,1,75,0.0
animator,1,2,0.0
list,1,53,0.0
spring,1,1,0.0
media,1,1,0.0
logo,1,1,0.0
