keyword,doc_freq,total_freq,tfidf
utils,2,29,0.01
contour,2,30,0.15
type,2,18,0.01
plot,2,53,0.21
config,2,15,0.01
exception,2,14,0.0
trace,1,72,0.21
api,1,30,0.02
data,1,32,0.01
service,1,23,0.01
viewer,1,10,0.03
chart,1,9,0.02
socket,1,9,0.01
web,1,6,0.01
configuration,1,6,0.0
servlet,1,6,0.01
charts,1,3,0.01
bar,1,3,0.01
scatter,1,3,0.01
histogram,1,3,0.01
generic,1,3,0.01
resource,1,3,0.0
density,1,3,0.02
opened,1,3,0.01
line,1,3,0.0
reset,1,3,0.01
time,1,3,0.0
series,1,3,0.01
axis,1,3,0.01
colour,1,3,0.01
mode,1,3,0.01
advanced,1,3,0.01
creator,1,3,0.01
visibility,1,3,0.01
custom,1,3,0.0
handler,1,3,0.0
connections,1,3,0.01
html,1,3,0.01
object,1,3,0.0
variables,1,3,0.01
server,1,3,0.0
table,1,2,0.0
port,1,2,0.01
not,1,2,0.0
availiable,1,2,0.01
excpetion,1,2,0.01
button,1,2,0.0
model,1,2,0.0
image,1,2,0.0
top,1,1,0.0
builder,1,666,0.54
impl,1,187,0.09
kwargs,1,104,0.67
label,1,52,0.12
text,1,49,0.04
args,1,36,0.12
legend,1,24,0.14
python,1,24,0.11
patch,1,22,0.08
color,1,22,0.04
save,1,22,0.06
fig,1,22,0.14
hist,1,22,0.13
scale,1,20,0.07
subplot,1,18,0.12
conversion,1,12,0.03
numpy,1,12,0.08
command,1,12,0.01
execution,1,12,0.02
composite,1,12,0.04
ticks,1,4,0.02
