keyword,doc_freq,total_freq,tfidf
activity,4,2524,0.09
model,3,2077,0.04
fragment,3,1530,0.09
adapter,3,1563,0.06
receiver,3,1308,0.12
adapters,3,639,0.06
activities,3,1126,0.13
exception,3,604,0.01
test,3,462,0.01
list,2,2851,0.08
item,2,1212,0.05
service,2,1120,0.03
app,2,937,0.04
listener,2,889,0.03
contacts,2,390,0.08
main,2,675,0.02
preference,2,786,0.1
group,2,554,0.03
fragments,2,256,0.03
phone,2,471,0.08
state,2,232,0.01
settings,2,402,0.02
alarm,2,133,0.03
scheduler,2,103,0.01
intro,2,60,0.01
bar,2,201,0.02
create,2,141,0.01
application,2,364,0.01
common,1,3935,0.18
util,1,2379,0.03
utils,1,2138,0.02
view,1,2267,0.06
contact,1,1593,0.25
smil,1,1756,0.59
mms,1,1605,0.36
event,1,1367,0.05
data,1,1412,0.03
pdu,1,1156,0.36
transaction,1,927,0.1
dialog,1,864,0.05
editor,1,865,0.08
notification,1,885,0.09
element,1,798,0.06
exif,1,783,0.23
layout,1,764,0.07
card,1,723,0.1
manager,1,720,0.02
message,1,584,0.03
impl,1,618,0.01
helper,1,624,0.02
picker,1,578,0.09
alt,1,588,0.18
widget,1,586,0.05
color,1,552,0.04
dom,1,567,0.11
events,1,294,0.02
sms,1,532,0.11
account,1,471,0.05
shutup,1,138,0.05
services,1,150,0.01
receivers,1,113,0.03
call,1,329,0.03
broadcast,1,74,0.01
example,1,53,0.0
instrumented,1,53,0.0
ringing,1,8,0.0
answer,1,50,0.01
offhook,1,8,0.0
blacklist,1,8,0.0
reciever,1,15,0.01
start,1,68,0.01
schedcall,1,6,0.0
cand,1,6,0.0
whitelist,1,6,0.0
donatepage,1,6,0.0
bwcontacts,1,6,0.0
sched,1,6,0.0
auto,1,88,0.01
detailed,1,6,0.0
schedule,1,23,0.0
options,1,101,0.01
slide,1,200,0.04
schedulecontacts,1,1,0.0
vibration,1,135,0.05
timing,1,89,0.02
chibe,1,84,0.03
pattern,1,55,0.01
interval,1,28,0.0
seek,1,38,0.01
time,1,426,0.02
boot,1,60,0.01
hour,1,27,0.01
buzzer,1,8,0.0
buzz,1,4,0.0
utilities,1,364,0.03
article,1,211,0.04
views,1,203,0.02
world,1,99,0.01
external,1,97,0.01
file,1,208,0.0
task,1,89,0.0
connection,1,119,0.01
load,1,104,0.01
membership,1,91,0.03
snippet,1,49,0.01
string,1,106,0.0
category,1,54,0.01
bottom,1,80,0.02
edit,1,220,0.02
exceptions,1,41,0.0
reader,1,114,0.01
themed,1,40,0.01
tasks,1,32,0.0
error,1,61,0.0
dropbox,1,34,0.01
compat,1,56,0.01
snippets,1,25,0.01
person,1,31,0.0
image,1,404,0.02
residence,1,26,0.01
place,1,28,0.0
field,1,69,0.0
fields,1,45,0.01
residences,1,25,0.01
select,1,67,0.01
text,1,399,0.02
name,1,146,0.01
invalid,1,121,0.01
concept,1,26,0.01
permission,1,133,0.01
context,1,46,0.0
comdor,1,24,0.01
mention,1,24,0.01
yaml,1,18,0.0
notifications,1,27,0.0
resource,1,20,0.0
json,1,12,0.0
check,1,43,0.0
repo,1,11,0.0
chat,1,12,0.0
command,1,13,0.0
github,1,8,0.0
steps,1,8,0.0
architect,1,6,0.0
architects,1,6,0.0
lookup,1,6,0.0
simplified,1,6,0.0
simple,1,75,0.0
rules,1,6,0.0
issue,1,6,0.0
comment,1,26,0.0
webhook,1,6,0.0
filter,1,282,0.01
input,1,126,0.01
star,1,6,0.0
script,1,6,0.0
send,1,215,0.02
cors,1,6,0.0
last,1,6,0.0
required,1,6,0.0
language,1,6,0.0
social,1,6,0.0
run,1,6,0.0
reply,1,48,0.01
follow,1,6,0.0
user,1,79,0.0
commander,1,6,0.0
rest,1,6,0.0
cached,1,6,0.0
logs,1,6,0.0
english,1,6,0.0
confused,1,6,0.0
conversation,1,289,0.05
hello,1,6,0.0
scripts,1,5,0.0
clone,1,5,0.0
labels,1,3,0.0
