keyword,doc_freq,total_freq,tfidf
vec,2,17,0.12
vector,2,17,0.08
model,2,10,0.01
example,1,211,0.34
reader,1,58,0.12
recordreaderexamples,1,58,0.56
record,1,48,0.16
sentence,1,48,0.34
iterator,1,40,0.15
split,1,40,0.2
service,1,37,0.04
file,1,28,0.02
cook,1,27,0.25
book,1,27,0.14
line,1,26,0.08
controller,1,26,0.04
input,1,20,0.04
retention,1,19,0.16
prediction,1,19,0.16
customer,1,19,0.13
collection,1,18,0.07
classifier,1,17,0.09
api,1,17,0.03
local,1,15,0.04
sequence,1,14,0.05
image,1,14,0.03
transform,1,14,0.06
pre,1,13,0.07
animal,1,13,0.12
executorexamples,1,11,0.11
codec,1,10,0.04
csv,1,10,0.04
jackson,1,10,0.06
execute,1,10,0.06
numbered,1,10,0.1
spark,1,10,0.07
spring,1,9,0.03
application,1,9,0.01
process,1,9,0.03
impl,1,9,0.01
cnn,1,8,0.08
tsne,1,8,0.07
visualization,1,8,0.05
classification,1,8,0.06
data,1,8,0.01
basic,1,8,0.02
google,1,8,0.05
uima,1,8,0.08
paragraph,1,8,0.07
processor,1,8,0.02
learning,1,12,0.1
utils,1,10,0.0
selection,1,7,0.04
strategy,1,7,0.02
action,1,7,0.01
learner,1,7,0.07
actionselection,1,7,0.1
sarsa,1,6,0.09
agent,1,4,0.02
actorcritic,1,3,0.04
actor,1,3,0.02
qlearn,1,3,0.04
rlearn,1,3,0.04
models,1,3,0.01
critic,1,3,0.04
lambda,1,3,0.02
max,1,2,0.01
matrix,1,2,0.01
greedy,1,2,0.03
soft,1,2,0.01
utility,1,1,0.0
epsilon,1,1,0.01
factory,1,1,0.0
index,1,1,0.0
value,1,1,0.0
tuple,1,1,0.01
two,1,1,0.01
eligibility,1,1,0.01
trace,1,1,0.01
update,1,1,0.0
mode,1,1,0.0
gibbs,1,1,0.01
